???????,,,,,,,
,,,,,,,
??,,,,,,2014? 11? 08?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"35,371.68 kWh",????,"1,881.60 kW",?????,,
????,,?? : 19? 00? 98.87 %,????,?? : 13? 00? 97.66 %,"?? : 7,004.40 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
2115,335.76,"1,343.04",69.84,0,97.9,100,
2130,323.04,"1,292.16",64.08,0,98.09,100,
2145,332.16,"1,328.64",73.44,0,97.64,100,
2200,329.04,"1,316.16",69.6,0,97.84,100,
2215,321.84,"1,287.36",66.72,0,97.92,100,
2230,325.2,"1,300.80",69.84,0,97.77,100,
2245,319.92,"1,279.68",69.36,0,97.73,100,
2300,314.16,"1,256.64",69.36,0,97.65,100,
2315,306.72,"1,226.88",64.08,0,97.89,100,
2330,307.92,"1,231.68",66.24,0,97.76,100,
2345,314.64,"1,258.56",73.68,0,97.37,100,
2400,335.28,"1,341.12",81.12,0,97.2,100,
,,,,,,,
???,,,,,,(?),
