사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 11월 09일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"31,902.24 kWh",최대수요,"1,494.72 kW",무효전력량,,
역률최대,,지상 : 18시 30분 98.54 %,역률최소,지상 : 19시 30분 97.39 %,"지상 : 6,360.48 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,212.48","1,248.96",241.2,0,-,100,
2,"1,189.44","1,192.32",217.2,0,-,100,
3,"1,180.80","1,188.48",219.84,0,-,100,
4,"1,195.20","1,206.72",231.36,0,-,100,
5,"1,189.68","1,201.92",206.88,0,-,100,
6,"1,274.40","1,303.68",246.96,0,-,100,
7,"1,347.84","1,357.44",273.12,0,-,100,
8,"1,357.92","1,392.00",275.04,0,-,100,
9,"1,368.48","1,395.84",257.04,0,-,100,
10,"1,405.92","1,433.28",276.24,0,98.12,-,
11,"1,429.44","1,450.56",295.44,0,97.93,-,
12,"1,427.04","1,456.32",286.08,0,98.05,-,
13,"1,407.36","1,436.16",276.24,0,98.13,-,
14,"1,448.40","1,494.72",302.16,0,97.89,-,
15,"1,426.08","1,457.28",300.96,0,97.84,-,
16,"1,352.64","1,416.96",271.92,0,98.04,-,
17,"1,317.36","1,327.68",242.4,0,98.35,-,
18,"1,349.52","1,374.72",258,0,98.22,-,
19,"1,352.88","1,392.00",246.72,0,98.38,-,
20,"1,417.20","1,455.36",313.2,0,97.64,-,
21,"1,384.80","1,413.12",298.32,0,97.76,-,
22,"1,330.32","1,359.36",269.04,0,98.02,-,
23,"1,291.44","1,319.04",281.28,0,97.71,-,
24,"1,245.60","1,278.72",273.84,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,312.24,"1,248.96",65.04,0,97.9,100,
30,298.56,"1,194.24",57.84,0,98.17,100,
45,300,"1,200.00",59.76,0,98.07,100,
100,301.68,"1,206.72",58.56,0,98.17,100,
115,297.6,"1,190.40",52.32,0,98.49,100,
130,298.08,"1,192.32",54.72,0,98.36,100,
145,296.88,"1,187.52",54.72,0,98.34,100,
200,296.88,"1,187.52",55.44,0,98.3,100,
215,293.52,"1,174.08",52.8,0,98.42,100,
230,297.12,"1,188.48",54.24,0,98.37,100,
245,295.44,"1,181.76",56.16,0,98.24,100,
300,294.72,"1,178.88",56.64,0,98.2,100,
315,301.68,"1,206.72",62.16,0,97.94,100,
330,296.4,"1,185.60",56.4,0,98.24,100,
345,299.52,"1,198.08",55.92,0,98.3,100,
400,297.6,"1,190.40",56.88,0,98.22,100,
415,296.16,"1,184.64",52.8,0,98.45,100,
430,300.48,"1,201.92",51.6,0,98.56,100,
445,296.88,"1,187.52",50.88,0,98.56,100,
500,296.16,"1,184.64",51.6,0,98.52,100,
515,311.76,"1,247.04",60.72,0,98.16,100,
530,312.48,"1,249.92",59.04,0,98.26,100,
545,325.92,"1,303.68",65.52,0,98.04,100,
600,324.24,"1,296.96",61.68,0,98.24,100,
615,337.44,"1,349.76",69.84,0,97.92,100,
630,334.56,"1,338.24",69.84,0,97.89,100,
645,339.36,"1,357.44",68.4,0,98.03,100,
700,336.48,"1,345.92",65.04,0,98.18,100,
715,338.88,"1,355.52",68.88,0,98,100,
730,348,"1,392.00",75.6,0,97.72,100,
745,341.04,"1,364.16",70.56,0,97.93,100,
800,330,"1,320.00",60,0,98.39,100,
815,338.88,"1,355.52",65.04,0,98.21,100,
830,341.28,"1,365.12",64.08,0,98.28,100,
845,339.36,"1,357.44",59.76,0,98.48,100,
900,348.96,"1,395.84",68.16,0,98.15,100,
915,358.32,"1,433.28",77.76,0,97.73,100,
930,352.08,"1,408.32",67.2,0,98.23,100,
945,345.12,"1,380.48",66,0,98.22,100,
1000,350.4,"1,401.60",65.28,0,98.31,100,
1015,362.64,"1,450.56",75.84,0,97.88,100,
1030,355.44,"1,421.76",70.56,0,98.09,100,
1045,352.56,"1,410.24",72.72,0,97.94,100,
1100,358.8,"1,435.20",76.32,0,97.81,100,
1115,353.52,"1,414.08",71.04,0,98.04,100,
1130,364.08,"1,456.32",75.84,0,97.9,100,
1145,358.32,"1,433.28",71.52,0,98.07,100,
1200,351.12,"1,404.48",67.68,0,98.19,100,
1215,354.24,"1,416.96",68.88,0,98.16,100,
1230,353.52,"1,414.08",69.84,0,98.1,100,
1245,359.04,"1,436.16",74.64,0,97.91,100,
1300,340.56,"1,362.24",62.88,0,98.34,100,
1315,356.64,"1,426.56",68.88,0,98.19,100,
1330,354.72,"1,418.88",69.6,0,98.13,100,
1345,363.36,"1,453.44",78.72,0,97.73,100,
1400,373.68,"1,494.72",84.96,0,97.51,100,
1415,364.32,"1,457.28",80.88,0,97.62,100,
1430,354.72,"1,418.88",74.64,0,97.86,100,
1445,354.96,"1,419.84",72.96,0,97.95,100,
1500,352.08,"1,408.32",72.48,0,97.95,100,
1515,354.24,"1,416.96",74.64,0,97.85,100,
1530,342.24,"1,368.96",70.8,0,97.93,100,
1545,333.12,"1,332.48",66.24,0,98.08,100,
1600,323.04,"1,292.16",60.24,0,98.31,100,
1615,331.92,"1,327.68",63.12,0,98.24,100,
1630,329.76,"1,319.04",59.76,0,98.4,100,
1645,327.36,"1,309.44",57.6,0,98.49,100,
1700,328.32,"1,313.28",61.92,0,98.27,100,
1715,343.68,"1,374.72",71.04,0,97.93,100,
1730,335.52,"1,342.08",64.08,0,98.22,100,
1745,331.68,"1,326.72",60.24,0,98.39,100,
1800,338.64,"1,354.56",62.64,0,98.33,100,
1815,328.32,"1,313.28",57.12,0,98.52,100,
1830,333.6,"1,334.40",57.36,0,98.55,100,
1845,342.96,"1,371.84",62.4,0,98.38,100,
1900,348,"1,392.00",69.84,0,98.05,100,
1915,358.56,"1,434.24",82.32,0,97.46,100,
1930,363.84,"1,455.36",86.16,0,97.31,100,
1945,346.32,"1,385.28",70.56,0,97.99,100,
2000,348.48,"1,393.92",74.16,0,97.81,100,
2015,351.6,"1,406.40",73.44,0,97.89,100,
2030,340.32,"1,361.28",71.52,0,97.86,100,
2045,339.6,"1,358.40",72.48,0,97.8,100,
2100,353.28,"1,413.12",80.88,0,97.48,100,
2115,339.84,"1,359.36",68.64,0,98.02,100,
2130,333.84,"1,335.36",66.48,0,98.07,100,
2145,334.56,"1,338.24",68.64,0,97.96,100,
2200,322.08,"1,288.32",65.28,0,98.01,100,
2215,323.28,"1,293.12",66.96,0,97.92,100,
2230,329.76,"1,319.04",71.76,0,97.71,100,
2245,320.88,"1,283.52",72.24,0,97.56,100,
2300,317.52,"1,270.08",70.32,0,97.63,100,
2315,308.64,"1,234.56",65.04,0,97.85,100,
2330,319.68,"1,278.72",72,0,97.56,100,
2345,311.76,"1,247.04",69.36,0,97.61,100,
2400,305.52,"1,222.08",67.44,0,97.65,100,
,,,,,,,
확인자,,,,,,(印),
