사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 08월 10일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"41,802.00 kWh",최대수요,"2,074.56 kW",무효전력량,,
역률최대,,지상 : 22시 30분 99.78 %,역률최소,지상 : 11시 00분 97.56 %,"지상 : 7,277.04 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,671.36","1,684.80",290.88,0,-,100,
2,"1,670.88","1,710.72",303.84,0,-,100,
3,"1,643.52","1,649.28",283.92,0,-,100,
4,"1,670.40","1,707.84",319.92,0,-,100,
5,"1,652.16","1,680.00",297.36,0,-,100,
6,"1,811.76","1,834.56",342.96,0,-,100,
7,"1,842.96","1,860.48",331.2,0,-,100,
8,"1,930.56","1,968.00",381.6,0,-,100,
9,"1,946.64","2,035.20",370.8,0,-,100,
10,"1,963.92","1,987.20",375.84,0,98.22,-,
11,"2,057.52","2,074.56",446.4,0,97.73,-,
12,"1,970.40","2,043.84",422.16,0,97.78,-,
13,"1,847.28","1,880.64",369.6,0,98.06,-,
14,"1,830.24","1,858.56",353.76,0,98.18,-,
15,"1,820.88","1,847.04",349.44,0,98.21,-,
16,"1,803.12","1,823.04",331.92,0,98.35,-,
17,"1,794.00","1,811.52",303.12,0,98.6,-,
18,"1,807.68","1,844.16",316.08,0,98.51,-,
19,"1,774.08","1,786.56",297.6,0,98.62,-,
20,"1,757.04","1,796.16",296.4,0,98.61,-,
21,"1,559.52","1,666.56",198.96,0,99.2,-,
22,"1,403.28","1,427.52",122.4,0,99.62,-,
23,"1,308.24","1,340.16",87.12,0,99.78,-,
24,"1,264.56","1,274.88",83.76,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,421.2,"1,684.80",74.88,0,98.46,100,
30,419.76,"1,679.04",71.76,0,98.57,100,
45,417.12,"1,668.48",72.24,0,98.53,100,
100,413.28,"1,653.12",72,0,98.52,100,
115,427.68,"1,710.72",80.64,0,98.27,100,
130,419.04,"1,676.16",75.84,0,98.4,100,
145,411.6,"1,646.40",72.48,0,98.48,100,
200,412.56,"1,650.24",74.88,0,98.39,100,
215,410.64,"1,642.56",69.6,0,98.59,100,
230,412.32,"1,649.28",68.88,0,98.63,100,
245,409.92,"1,639.68",69.84,0,98.58,100,
300,410.64,"1,642.56",75.6,0,98.35,100,
315,420.24,"1,680.96",80.64,0,98.21,100,
330,426.96,"1,707.84",85.92,0,98.03,100,
345,414.48,"1,657.92",76.8,0,98.33,100,
400,408.72,"1,634.88",76.56,0,98.29,100,
415,410.4,"1,641.60",78.48,0,98.22,100,
430,409.44,"1,637.76",73.44,0,98.43,100,
445,412.32,"1,649.28",71.28,0,98.54,100,
500,420,"1,680.00",74.16,0,98.48,100,
515,445.2,"1,780.80",84.96,0,98.23,100,
530,455.76,"1,823.04",88.32,0,98.17,100,
545,458.64,"1,834.56",87.12,0,98.24,100,
600,452.16,"1,808.64",82.56,0,98.37,100,
615,454.56,"1,818.24",80.4,0,98.47,100,
630,460.32,"1,841.28",81.12,0,98.48,100,
645,465.12,"1,860.48",83.52,0,98.43,100,
700,462.96,"1,851.84",86.16,0,98.31,100,
715,483.36,"1,933.44",100.56,0,97.9,100,
730,492,"1,968.00",101.52,0,97.94,100,
745,475.44,"1,901.76",88.56,0,98.31,100,
800,479.76,"1,919.04",90.96,0,98.25,100,
815,477.6,"1,910.40",87.84,0,98.35,100,
830,478.08,"1,912.32",85.44,0,98.44,100,
845,482.16,"1,928.64",90.96,0,98.27,100,
