사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 10월 08일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"40,329.60 kWh",최대수요,"2,258.88 kW",무효전력량,,
역률최대,,지상 : 13시 00분 99.28 %,역률최소,지상 : 15시 00분 97.61 %,"지상 : 5,478.24 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 03시 00분 99.99 %,진상 : 35.28 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,180.08","1,233.60",21.6,5.52,-,100,
2,"1,146.24","1,170.24",10.08,7.92,-,100,
3,"1,140.96","1,176.00",9.36,11.52,-,99.99,
4,"1,130.40","1,142.40",8.88,6.72,-,100,
5,"1,221.84","1,235.52",22.32,2.4,-,100,
6,"1,351.44","1,392.00",17.04,1.2,-,100,
7,"1,528.08","1,554.24",68.64,0,-,100,
8,"1,818.48","1,919.04",192.72,0,-,100,
9,"2,106.72","2,176.32",266.16,0,-,100,
10,"2,203.92","2,227.20",282,0,99.19,-,
11,"2,226.00","2,258.88",278.4,0,99.23,-,
12,"2,201.76","2,233.92",279.36,0,99.2,-,
13,"2,132.16","2,165.76",265.2,0,99.24,-,
14,"2,157.12","2,183.04",308.16,0,98.99,-,
15,"2,181.36","2,222.40",474,0,97.72,-,
16,"2,132.64","2,154.24",462.24,0,97.73,-,
17,"2,097.60","2,141.76",453.12,0,97.75,-,
18,"1,900.08","1,998.72",388.32,0,97.97,-,
19,"1,681.44","1,717.44",326.16,0,98.17,-,
20,"1,568.64","1,616.64",318.72,0,98,-,
21,"1,437.60","1,482.24",272.88,0,98.25,-,
22,"1,375.44","1,471.68",263.52,0,98.21,-,
23,"1,220.64","1,248.00",243.6,0,98.07,-,
24,"1,188.96","1,208.64",245.76,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,297.84,"1,191.36",6.24,0.96,99.98,100,
30,308.4,"1,233.60",12,0,99.92,100,
45,290.4,"1,161.60",1.44,2.16,100,100,
100,283.44,"1,133.76",1.92,2.4,100,100,
115,283.44,"1,133.76",1.68,2.4,100,100,
130,282.72,"1,130.88",1.44,2.4,100,100,
145,287.52,"1,150.08",1.92,2.88,100,99.99,
200,292.56,"1,170.24",5.04,0.24,99.99,100,
215,294,"1,176.00",5.52,0.72,99.98,100,
