사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 10월 05일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"32,073.60 kWh",최대수요,"1,589.76 kW",무효전력량,,
역률최대,,지상 : 23시 00분 99.98 %,역률최소,지상 : 16시 00분 99.58 %,"지상 : 1,465.44 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 14.16 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,176.24","1,207.68",31.92,1.44,-,100,
2,"1,136.88","1,146.24",18.48,1.68,-,100,
3,"1,123.44","1,135.68",14.64,3.12,-,100,
4,"1,140.00","1,168.32",30,1.2,-,100,
5,"1,146.24","1,158.72",16.8,2.16,-,100,
6,"1,247.28","1,278.72",32.16,0.48,-,100,
7,"1,271.76","1,314.24",20.4,3.12,-,100,
8,"1,321.92","1,351.68",49.44,0,-,100,
9,"1,350.24","1,366.08",28.56,0.24,-,100,
10,"1,431.84","1,464.00",62.88,0,99.9,-,
11,"1,463.76","1,493.76",81.36,0,99.85,-,
12,"1,570.80","1,589.76",132.72,0,99.64,-,
13,"1,504.56","1,531.20",101.28,0,99.77,-,
14,"1,477.44","1,528.32",103.2,0,99.76,-,
15,"1,445.52","1,468.80",81.6,0,99.84,-,
16,"1,518.24","1,570.56",119.28,0,99.69,-,
17,"1,493.76","1,512.00",123.12,0,99.66,-,
18,"1,479.36","1,487.04",107.76,0,99.74,-,
19,"1,401.60","1,414.08",72.24,0,99.87,-,
20,"1,370.88","1,416.96",72.24,0,99.86,-,
21,"1,308.24","1,325.76",50.64,0,99.93,-,
22,"1,284.48","1,301.76",51.12,0,99.92,-,
23,"1,219.68","1,251.84",24.72,0.48,99.98,-,
24,"1,189.44","1,202.88",38.88,0.24,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,292.08,"1,168.32",4.56,0.48,99.99,100,
30,285.36,"1,141.44",3.6,0.96,99.99,100,
45,296.88,"1,187.52",10.8,0,99.93,100,
100,301.92,"1,207.68",12.96,0,99.91,100,
115,283.92,"1,135.68",3.12,0.96,99.99,100,
130,285.36,"1,141.44",4.32,0.24,99.99,100,
145,286.56,"1,146.24",6.24,0.24,99.98,100,
200,281.04,"1,124.16",4.8,0.24,99.99,100,
215,282.24,"1,128.96",3.6,0.72,99.99,100,
230,283.92,"1,135.68",3.84,0.96,99.99,100,
245,280.08,"1,120.32",3.84,0.96,99.99,100,
300,277.2,"1,108.80",3.36,0.48,99.99,100,
315,289.44,"1,157.76",11.52,0,99.92,100,
330,292.08,"1,168.32",13.2,0,99.9,100,
345,276.72,"1,106.88",2.4,0.48,100,100,
400,281.76,"1,127.04",2.88,0.72,99.99,100,
415,286.8,"1,147.20",4.32,0.24,99.99,100,
430,286.32,"1,145.28",4.56,0.24,99.99,100,
445,283.44,"1,133.76",3.36,0.96,99.99,100,
500,289.68,"1,158.72",4.56,0.72,99.99,100,
515,302.88,"1,211.52",6.24,0,99.98,100,
530,308.64,"1,234.56",7.44,0,99.97,100,
545,319.68,"1,278.72",10.32,0.24,99.95,100,
600,316.08,"1,264.32",8.16,0.24,99.97,100,
615,310.56,"1,242.24",2.4,1.2,100,100,
630,313.44,"1,253.76",3.84,0.96,99.99,100,
645,319.2,"1,276.80",5.52,0.72,99.99,100,
700,328.56,"1,314.24",8.64,0.24,99.97,100,
715,337.92,"1,351.68",14.4,0,99.91,100,
730,326.88,"1,307.52",11.28,0,99.94,100,
745,326.88,"1,307.52",13.44,0,99.92,100,
800,330.24,"1,320.96",10.32,0,99.95,100,
815,331.92,"1,327.68",6.72,0,99.98,100,
830,341.52,"1,366.08",6.96,0,99.98,100,
845,337.68,"1,350.72",6,0.24,99.98,100,
900,339.12,"1,356.48",8.88,0,99.97,100,
915,344.16,"1,376.64",10.56,0,99.95,100,
930,363.36,"1,453.44",18,0,99.88,100,
945,366,"1,464.00",19.44,0,99.86,100,
1000,358.32,"1,433.28",14.88,0,99.91,100,
1015,361.92,"1,447.68",18,0,99.88,100,
1030,361.92,"1,447.68",18,0,99.88,100,
1045,366.48,"1,465.92",21.84,0,99.82,100,
1100,373.44,"1,493.76",23.52,0,99.8,100,
1115,390,"1,560.00",30.24,0,99.7,100,
1130,396.24,"1,584.96",37.44,0,99.56,100,
1145,397.44,"1,589.76",35.76,0,99.6,100,
1200,387.12,"1,548.48",29.28,0,99.72,100,
1215,382.8,"1,531.20",26.64,0,99.76,100,
1230,378,"1,512.00",24.24,0,99.8,100,
1245,370.56,"1,482.24",23.76,0,99.8,100,
1300,373.2,"1,492.80",26.64,0,99.75,100,
1315,374.16,"1,496.64",29.52,0,99.69,100,
1330,382.08,"1,528.32",35.28,0,99.58,100,
1345,368.64,"1,474.56",24,0,99.79,100,
1400,352.56,"1,410.24",14.4,0,99.92,100,
1415,355.2,"1,420.80",17.04,0,99.89,100,
1430,367.2,"1,468.80",23.28,0,99.8,100,
1445,365.04,"1,460.16",23.04,0,99.8,100,
1500,358.08,"1,432.32",18.24,0,99.87,100,
1515,367.68,"1,470.72",22.8,0,99.81,100,
1530,381.84,"1,527.36",25.92,0,99.77,100,
1545,392.64,"1,570.56",38.64,0,99.52,100,
1600,376.08,"1,504.32",31.92,0,99.64,100,
1615,374.64,"1,498.56",30.48,0,99.67,100,
1630,378,"1,512.00",36.48,0,99.54,100,
1645,369.84,"1,479.36",29.04,0,99.69,100,
1700,371.28,"1,485.12",27.12,0,99.73,100,
1715,368.64,"1,474.56",25.2,0,99.77,100,
1730,370.8,"1,483.20",27.6,0,99.72,100,
1745,371.76,"1,487.04",29.04,0,99.7,100,
1800,368.16,"1,472.64",25.92,0,99.75,100,
1815,353.52,"1,414.08",19.92,0,99.84,100,
1830,350.16,"1,400.64",17.52,0,99.88,100,
1845,350.4,"1,401.60",19.2,0,99.85,100,
1900,347.52,"1,390.08",15.6,0,99.9,100,
1915,343.92,"1,375.68",17.04,0,99.88,100,
1930,354.24,"1,416.96",26.88,0,99.71,100,
1945,338.16,"1,352.64",14.16,0,99.91,100,
2000,334.56,"1,338.24",14.16,0,99.91,100,
2015,328.32,"1,313.28",12.72,0,99.93,100,
2030,331.44,"1,325.76",13.2,0,99.92,100,
2045,327.36,"1,309.44",13.44,0,99.92,100,
2100,321.12,"1,284.48",11.28,0,99.94,100,
2115,325.2,"1,300.80",14.4,0,99.9,100,
2130,325.44,"1,301.76",17.52,0,99.86,100,
2145,322.56,"1,290.24",13.92,0,99.91,100,
2200,311.28,"1,245.12",5.28,0,99.99,100,
2215,312.96,"1,251.84",5.76,0.24,99.98,100,
2230,311.28,"1,245.12",6.72,0,99.98,100,
2245,299.04,"1,196.16",5.76,0,99.98,100,
2300,296.4,"1,185.60",6.48,0.24,99.98,100,
2315,300.72,"1,202.88",8.64,0,99.96,100,
2330,293.04,"1,172.16",6.48,0,99.98,100,
2345,296.64,"1,186.56",10.32,0.24,99.94,100,
2400,299.04,"1,196.16",13.44,0,99.9,100,
,,,,,,,
확인자,,,,,,(印),
