???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 26?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"50,160.96 kWh",????,"2,994.24 kW",?????,,
????,,?? : 23? 00? 99.18 %,????,?? : 13? 00? 97.53 %,"?? : 8,334.48 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,462.56","1,534.08",145.2,0,-,100,
2,"1,261.44","1,274.88",68.88,0,-,100,
3,"1,276.56","1,312.32",90.96,0,-,100,
4,"1,259.52","1,298.88",73.44,0,-,100,
5,"1,352.64","1,402.56",84,0,-,100,
6,"1,536.72","1,602.24",116.4,0,-,100,
7,"1,723.92","1,805.76",186.24,0,-,100,
8,"1,966.32","2,056.32",263.28,0,-,100,
9,"2,249.04","2,291.52",321.84,0,-,100,
10,"2,388.00","2,446.08",350.88,0,98.94,-,
11,"2,806.32","2,994.24",563.04,0,98.05,-,
12,"2,879.28","2,909.76",617.52,0,97.78,-,
13,"2,779.68","2,832.00",611.52,0,97.66,-,
14,"2,828.88","2,845.44",609.36,0,97.76,-,
15,"2,870.40","2,920.32",621.84,0,97.73,-,
16,"2,813.52","2,863.68",612.96,0,97.71,-,
17,"2,676.24","2,711.04",558.48,0,97.89,-,
18,"2,460.48","2,596.80",465.12,0,98.26,-,
19,"2,242.80","2,318.40",422.88,0,98.27,-,
20,"2,111.52","2,119.68",397.2,0,98.28,-,
21,"2,042.64","2,088.96",391.44,0,98.21,-,
22,"1,908.96","1,946.88",336.24,0,98.48,-,
23,"1,683.12","1,794.24",234.48,0,99.04,-,
24,"1,580.40","1,639.68",191.28,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,382.32,"1,529.28",46.32,0,99.27,100,
30,383.52,"1,534.08",47.28,0,99.25,100,
45,354,"1,416.00",28.08,0,99.69,100,
100,342.72,"1,370.88",23.52,0,99.77,100,
115,318.72,"1,274.88",15.84,0,99.88,100,
130,311.76,"1,247.04",15.84,0,99.87,100,
145,314.4,"1,257.60",16.56,0,99.86,100,
200,316.56,"1,266.24",20.64,0,99.79,100,
215,328.08,"1,312.32",30,0,99.58,100,
230,318.48,"1,273.92",21.12,0,99.78,100,
245,315.12,"1,260.48",20.16,0,99.8,100,
300,314.88,"1,259.52",19.68,0,99.81,100,
315,309.6,"1,238.40",19.92,0,99.79,100,
330,315.84,"1,263.36",21.36,0,99.77,100,
345,309.36,"1,237.44",13.68,0,99.9,100,
400,324.72,"1,298.88",18.48,0,99.84,100,
415,331.68,"1,326.72",20.4,0,99.81,100,
430,331.44,"1,325.76",16.32,0,99.88,100,
445,338.88,"1,355.52",20.64,0,99.82,100,
500,350.64,"1,402.56",26.64,0,99.71,100,
515,360,"1,440.00",22.08,0,99.81,100,
530,383.52,"1,534.08",30.24,0,99.69,100,
545,392.64,"1,570.56",29.76,0,99.71,100,
600,400.56,"1,602.24",34.32,0,99.63,100,
615,410.64,"1,642.56",42,0,99.48,100,
630,417.84,"1,671.36",41.52,0,99.51,100,
645,444,"1,776.00",51.12,0,99.34,100,
700,451.44,"1,805.76",51.6,0,99.35,100,
715,470.4,"1,881.60",59.04,0,99.22,100,
730,486.48,"1,945.92",65.76,0,99.1,100,
745,495.36,"1,981.44",63.84,0,99.18,100,
800,514.08,"2,056.32",74.64,0,98.96,100,
815,552.24,"2,208.96",82.32,0,98.91,100,
830,555.6,"2,222.40",80.88,0,98.96,100,
845,568.32,"2,273.28",79.44,0,99.04,100,
900,572.88,"2,291.52",79.2,0,99.06,100,
915,585.36,"2,341.44",86.4,0,98.93,100,
930,595.92,"2,383.68",91.2,0,98.85,100,
945,595.2,"2,380.80",85.2,0,98.99,100,
1000,611.52,"2,446.08",88.08,0,98.98,100,
1015,610.56,"2,442.24",89.04,0,98.95,100,
1030,706.32,"2,825.28",143.28,0,98,100,
1045,748.56,"2,994.24",170.4,0,97.51,100,
1100,740.88,"2,963.52",160.32,0,97.74,100,
1115,720.96,"2,883.84",151.92,0,97.85,100,
1130,727.44,"2,909.76",154.32,0,97.82,100,
1145,717.12,"2,868.48",152.4,0,97.82,100,
1200,713.76,"2,855.04",158.88,0,97.61,100,
1215,684.72,"2,738.88",143.76,0,97.87,100,
1230,686.16,"2,744.64",148.56,0,97.74,100,
1245,700.8,"2,803.20",156.48,0,97.6,100,
1300,708,"2,832.00",162.72,0,97.46,100,
1315,711.36,"2,845.44",157.92,0,97.62,100,
1330,702.72,"2,810.88",150,0,97.8,100,
1345,705.12,"2,820.48",149.04,0,97.84,100,
1400,709.68,"2,838.72",152.4,0,97.77,100,
1415,730.08,"2,920.32",160.08,0,97.68,100,
1430,710.88,"2,843.52",154.08,0,97.73,100,
1445,710.4,"2,841.60",152.64,0,97.77,100,
1500,719.04,"2,876.16",155.04,0,97.75,100,
1515,714.24,"2,856.96",157.92,0,97.64,100,
1530,715.92,"2,863.68",162.24,0,97.53,100,
1545,691.2,"2,764.80",146.88,0,97.82,100,
1600,692.16,"2,768.64",145.92,0,97.85,100,
1615,677.76,"2,711.04",142.8,0,97.85,100,
1630,660.48,"2,641.92",133.2,0,98.03,100,
1645,668.16,"2,672.64",140.16,0,97.87,100,
1700,669.84,"2,679.36",142.32,0,97.82,100,
