???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 27?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"47,245.68 kWh",????,"2,899.20 kW",?????,,
????,,?? : 10? 30? 98.74 %,????,?? : 11? 30? 97.03 %,"?? : 8,021.04 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,332.48","1,383.36",83.52,0,-,100,
2,"1,301.28","1,341.12",89.76,0,-,100,
3,"1,271.52","1,289.28",75.36,0,-,100,
4,"1,256.64","1,268.16",80.4,0,-,100,
5,"1,319.76","1,361.28",79.44,0,-,100,
6,"1,508.40","1,580.16",104.88,0,-,100,
7,"1,664.64","1,715.52",158.16,0,-,100,
8,"1,739.28","1,791.36",185.04,0,-,100,
9,"2,035.92","2,079.36",286.56,0,-,100,
10,"2,252.64","2,295.36",363.36,0,98.72,-,
11,"2,388.00","2,570.88",414.96,0,98.52,-,
12,"2,846.40","2,899.20",702.96,0,97.08,-,
13,"2,635.44","2,752.32",593.04,0,97.56,-,
14,"2,449.44","2,494.08",531.84,0,97.72,-,
15,"2,421.12","2,527.68",528.48,0,97.7,-,
16,"2,395.44","2,418.24",519.36,0,97.73,-,
17,"2,390.88","2,414.40",523.92,0,97.68,-,
18,"2,275.92","2,290.56",495.84,0,97.71,-,
19,"2,220.96","2,246.40",446.4,0,98.04,-,
20,"2,118.72","2,198.40",430.08,0,98,-,
21,"1,969.92","2,024.64",376.56,0,98.22,-,
22,"1,863.12","1,892.16",326.4,0,98.5,-,
23,"1,827.84","1,848.96",324.48,0,98.46,-,
24,"1,759.92","1,794.24",300.24,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,345.84,"1,383.36",24.96,0,99.74,100,
30,334.56,"1,338.24",21.12,0,99.8,100,
45,333.84,"1,335.36",21.12,0,99.8,100,
