사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 07월 09일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"55,797.12 kWh",최대수요,"3,195.84 kW",무효전력량,,
역률최대,,지상 : 17시 30분 96.65 %,역률최소,지상 : 19시 30분 96.05 %,"지상 : 14,472.00 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,688.64","1,833.60",409.2,0,-,100,
2,"1,398.72","1,467.84",262.32,0,-,100,
3,"1,340.88","1,381.44",234,0,-,100,
4,"1,340.16","1,360.32",237.12,0,-,100,
5,"1,398.96","1,447.68",243.12,0,-,100,
6,"1,562.88","1,645.44",286.8,0,-,100,
7,"1,734.48","1,834.56",321.6,0,-,100,
8,"2,112.24","2,297.28",463.68,0,-,100,
9,"2,894.64","3,057.60",793.92,0,-,100,
10,"3,033.84","3,051.84",824.4,0,96.5,-,
11,"3,066.24","3,101.76",870.24,0,96.2,-,
12,"3,091.44","3,115.20",852.48,0,96.4,-,
13,"3,072.00","3,093.12",845.04,0,96.42,-,
14,"3,144.24","3,195.84",897.6,0,96.16,-,
15,"3,116.64","3,171.84",873.6,0,96.29,-,
16,"3,064.08","3,113.28",851.52,0,96.35,-,
17,"2,989.92","3,001.92",818.16,0,96.45,-,
18,"2,750.88","2,887.68",741.84,0,96.55,-,
19,"2,396.88","2,511.36",648.72,0,96.53,-,
20,"2,328.24","2,367.36",668.64,0,96.11,-,
21,"2,231.76","2,263.68",640.8,0,96.12,-,
22,"2,093.04","2,122.56",590.64,0,96.24,-,
23,"2,014.08","2,039.04",560.64,0,96.34,-,
24,"1,932.24","1,938.24",535.92,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,458.4,"1,833.60",122.16,0,96.63,100,
30,449.04,"1,796.16",113.76,0,96.94,100,
45,403.92,"1,615.68",90.48,0,97.58,100,
100,377.28,"1,509.12",82.8,0,97.68,100,
115,366.96,"1,467.84",76.8,0,97.88,100,
130,354.96,"1,419.84",66,0,98.31,100,
145,337.68,"1,350.72",59.04,0,98.51,100,
200,339.12,"1,356.48",60.48,0,98.45,100,
215,345.36,"1,381.44",64.56,0,98.3,100,
230,335.52,"1,342.08",60.48,0,98.41,100,
245,330,"1,320.00",55.44,0,98.62,100,
300,330,"1,320.00",53.52,0,98.71,100,
315,333.12,"1,332.48",57.6,0,98.54,100,
330,329.76,"1,319.04",56.4,0,98.57,100,
345,337.2,"1,348.80",61.68,0,98.37,100,
400,340.08,"1,360.32",61.44,0,98.41,100,
415,336.72,"1,346.88",58.32,0,98.53,100,
430,343.68,"1,374.72",60.24,0,98.5,100,
445,356.64,"1,426.56",63.36,0,98.46,100,
500,361.92,"1,447.68",61.2,0,98.6,100,
515,373.92,"1,495.68",66.72,0,98.45,100,
530,382.08,"1,528.32",69.84,0,98.37,100,
545,395.52,"1,582.08",71.04,0,98.42,100,
600,411.36,"1,645.44",79.2,0,98.2,100,
615,406.08,"1,624.32",74.16,0,98.37,100,
630,425.76,"1,703.04",79.68,0,98.29,100,
645,444,"1,776.00",82.8,0,98.31,100,
700,458.64,"1,834.56",84.96,0,98.33,100,
715,483.84,"1,935.36",102.24,0,97.84,100,
730,509.76,"2,039.04",113.52,0,97.61,100,
745,544.32,"2,177.28",118.56,0,97.71,100,
800,574.32,"2,297.28",129.36,0,97.56,100,
815,651.6,"2,606.40",169.68,0,96.77,100,
830,736.56,"2,946.24",208.56,0,96.22,100,
845,764.4,"3,057.60",214.32,0,96.29,100,
900,742.08,"2,968.32",201.36,0,96.51,100,
915,756.72,"3,026.88",208.8,0,96.4,100,
930,758.88,"3,035.52",207.6,0,96.46,100,
945,755.28,"3,021.12",198,0,96.73,100,
1000,762.96,"3,051.84",210,0,96.41,100,
1015,775.44,"3,101.76",224.4,0,96.06,100,
1030,771.36,"3,085.44",217.44,0,96.25,100,
1045,759.84,"3,039.36",214.8,0,96.23,100,
1100,759.6,"3,038.40",213.6,0,96.27,100,
1115,778.8,"3,115.20",220.32,0,96.22,100,
1130,774,"3,096.00",212.64,0,96.43,100,
1145,767.28,"3,069.12",206.64,0,96.56,100,
1200,771.36,"3,085.44",212.88,0,96.4,100,
1215,757.68,"3,030.72",205.68,0,96.51,100,
1230,773.28,"3,093.12",211.92,0,96.44,100,
1245,769.2,"3,076.80",213.84,0,96.35,100,
1300,771.84,"3,087.36",213.6,0,96.38,100,
1315,768.96,"3,075.84",219.84,0,96.15,100,
1330,777.84,"3,111.36",216.96,0,96.32,100,
1345,798.48,"3,193.92",231.6,0,96.04,100,
1400,798.96,"3,195.84",229.2,0,96.12,100,
1415,792.96,"3,171.84",224.16,0,96.23,100,
1430,770.88,"3,083.52",211.92,0,96.42,100,
1445,774,"3,096.00",216.48,0,96.3,100,
1500,778.8,"3,115.20",221.04,0,96.2,100,
1515,778.32,"3,113.28",226.32,0,96.02,100,
1530,774.48,"3,097.92",219.36,0,96.22,100,
1545,760.32,"3,041.28",207.36,0,96.48,100,
1600,750.96,"3,003.84",198.48,0,96.68,100,
1615,745.44,"2,981.76",202.32,0,96.51,100,
1630,745.92,"2,983.68",204.48,0,96.44,100,
1645,750.48,"3,001.92",205.68,0,96.44,100,
1700,748.08,"2,992.32",205.68,0,96.42,100,
1715,721.92,"2,887.68",193.2,0,96.6,100,
1730,699.6,"2,798.40",184.32,0,96.7,100,
1745,664.08,"2,656.32",178.8,0,96.56,100,
1800,665.28,"2,661.12",185.52,0,96.32,100,
1815,627.84,"2,511.36",169.68,0,96.54,100,
1830,592.56,"2,370.24",156,0,96.7,100,
1845,586.8,"2,347.20",157.92,0,96.56,100,
1900,589.68,"2,358.72",165.12,0,96.3,100,
1915,590.88,"2,363.52",170.88,0,96.06,100,
1930,591.84,"2,367.36",171.6,0,96.04,100,
1945,572.4,"2,289.60",163.2,0,96.17,100,
2000,573.12,"2,292.48",162.96,0,96.19,100,
2015,565.92,"2,263.68",162.24,0,96.13,100,
2030,557.28,"2,229.12",158.4,0,96.19,100,
2045,558.72,"2,234.88",162.96,0,96,100,
2100,549.84,"2,199.36",157.2,0,96.15,100,
2115,530.64,"2,122.56",152.88,0,96.09,100,
2130,530.16,"2,120.64",152.16,0,96.12,100,
2145,523.92,"2,095.68",151.2,0,96.08,100,
2200,508.32,"2,033.28",134.4,0,96.68,100,
2215,506.64,"2,026.56",137.04,0,96.53,100,
2230,504.96,"2,019.84",141.84,0,96.27,100,
2245,509.76,"2,039.04",144.72,0,96.2,100,
2300,492.72,"1,970.88",137.04,0,96.34,100,
2315,484.32,"1,937.28",132,0,96.48,100,
2330,481.44,"1,925.76",133.44,0,96.37,100,
2345,484.56,"1,938.24",135.84,0,96.29,100,
2400,481.92,"1,927.68",134.64,0,96.31,100,
,,,,,,,
확인자,,,,,,(印),
