???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 20?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"43,621.20 kWh",????,"2,620.80 kW",?????,,
????,,?? : 23? 00? 99.41 %,????,?? : 12? 00? 97.73 %,"?? : 6,220.80 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 2.40 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,432.56","1,446.72",115.2,0,-,100,
2,"1,421.76","1,427.52",127.68,0,-,100,
3,"1,249.68","1,266.24",35.28,0,-,100,
4,"1,188.72","1,219.20",23.76,0.96,-,100,
5,"1,220.16","1,278.72",26.88,1.44,-,100,
6,"1,360.56","1,385.28",52.8,0,-,100,
7,"1,463.28","1,514.88",73.2,0,-,100,
8,"1,572.72","1,623.36",103.92,0,-,100,
9,"1,789.68","1,834.56",198.96,0,-,100,
10,"1,968.96","2,140.80",246.72,0,99.22,-,
11,"2,523.60","2,567.04",516.72,0,97.97,-,
12,"2,583.12","2,620.80",550.8,0,97.8,-,
13,"2,434.08","2,587.20",500.64,0,97.95,-,
14,"2,302.08","2,323.20",448.8,0,98.15,-,
15,"2,238.00","2,248.32",443.28,0,98.09,-,
16,"2,261.52","2,326.08",468.48,0,97.92,-,
17,"2,199.60","2,205.12",418.8,0,98.24,-,
18,"2,021.04","2,061.12",361.92,0,98.43,-,
19,"2,009.04","2,025.60",341.52,0,98.59,-,
20,"1,925.04","1,949.76",320.64,0,98.64,-,
21,"1,835.28","1,864.32",305.76,0,98.64,-,
22,"1,767.84","1,802.88",274.56,0,98.82,-,
23,"1,554.48","1,694.40",194.16,0,99.23,-,
24,"1,298.40","1,340.16",70.32,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,361.68,"1,446.72",30.48,0,99.65,100,
