사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 01월 05일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"47,730.96 kWh",최대수요,"2,630.40 kW",무효전력량,,
역률최대,,지상 : 18시 00분 97.45 %,역률최소,지상 : 22시 30분 96.15 %,"지상 : 11,825.52 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,437.60","1,460.16",352.08,0,-,100,
2,"1,419.84","1,427.52",344.4,0,-,100,
3,"1,418.88","1,464.96",357.12,0,-,100,
4,"1,416.00","1,457.28",357.12,0,-,100,
5,"1,524.00","1,566.72",366.96,0,-,100,
6,"1,646.16","1,688.64",384,0,-,100,
7,"1,884.00","1,911.36",459.36,0,-,100,
8,"2,149.44","2,264.64",544.08,0,-,100,
9,"2,468.64","2,544.96",640.56,0,-,100,
10,"2,584.08","2,594.88",647.52,0,97,-,
11,"2,592.96","2,630.40",615.12,0,97.3,-,
12,"2,556.48","2,627.52",611.76,0,97.25,-,
13,"2,484.48","2,552.64",630.24,0,96.93,-,
14,"2,499.36","2,521.92",610.08,0,97.15,-,
15,"2,450.40","2,477.76",610.56,0,97.03,-,
16,"2,466.72","2,491.20",606.24,0,97.11,-,
17,"2,347.92","2,393.28",561.84,0,97.25,-,
18,"2,197.44","2,337.60",514.32,0,97.37,-,
19,"1,980.24","2,003.52",477.12,0,97.22,-,
20,"1,827.12","1,888.32",442.08,0,97.2,-,
21,"1,737.60","1,786.56",456.24,0,96.72,-,
22,"1,634.88","1,647.36",434.16,0,96.65,-,
23,"1,545.36","1,626.24",427.44,0,96.38,-,
24,"1,461.36","1,477.44",375.12,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,365.04,"1,460.16",95.76,0,96.73,100,
30,358.32,"1,433.28",84.96,0,97.3,100,
45,360.24,"1,440.96",86.64,0,97.23,100,
100,354,"1,416.00",84.72,0,97.25,100,
115,356.88,"1,427.52",86.16,0,97.21,100,
130,356.16,"1,424.64",88.08,0,97.08,100,
145,350.88,"1,403.52",84,0,97.25,100,
200,355.92,"1,423.68",86.16,0,97.19,100,
215,350.88,"1,403.52",85.68,0,97.15,100,
230,366.24,"1,464.96",97.44,0,96.64,100,
245,353.52,"1,414.08",86.4,0,97.14,100,
300,348.24,"1,392.96",87.6,0,96.98,100,
315,347.52,"1,390.08",85.2,0,97.12,100,
330,351.6,"1,406.40",88.32,0,96.99,100,
345,352.56,"1,410.24",89.04,0,96.96,100,
400,364.32,"1,457.28",94.56,0,96.79,100,
415,370.08,"1,480.32",91.68,0,97.07,100,
430,374.64,"1,498.56",91.68,0,97.13,100,
445,387.6,"1,550.40",94.56,0,97.15,100,
500,391.68,"1,566.72",89.04,0,97.51,100,
515,396.96,"1,587.84",90.96,0,97.47,100,
530,409.44,"1,637.76",93.84,0,97.47,100,
545,417.6,"1,670.40",96.48,0,97.43,100,
600,422.16,"1,688.64",102.72,0,97.17,100,
615,464.4,"1,857.60",122.16,0,96.71,100,
630,471.84,"1,887.36",115.2,0,97.15,100,
645,469.92,"1,879.68",111.6,0,97.29,100,
700,477.84,"1,911.36",110.4,0,97.43,100,
715,499.44,"1,997.76",117.6,0,97.34,100,
730,528.96,"2,115.84",135.6,0,96.87,100,
745,554.88,"2,219.52",145.68,0,96.72,100,
800,566.16,"2,264.64",145.2,0,96.87,100,
815,593.52,"2,374.08",156,0,96.72,100,
830,615.84,"2,463.36",160.32,0,96.77,100,
845,623.04,"2,492.16",160.56,0,96.84,100,
900,636.24,"2,544.96",163.68,0,96.85,100,
915,648.72,"2,594.88",162,0,97.02,100,
930,639.36,"2,557.44",157.44,0,97.1,100,
945,648.72,"2,594.88",163.44,0,96.97,100,
1000,647.28,"2,589.12",164.64,0,96.91,100,
1015,645.6,"2,582.40",161.28,0,97.02,100,
1030,657.6,"2,630.40",153.84,0,97.37,100,
1045,643.2,"2,572.80",148.32,0,97.44,100,
1100,646.56,"2,586.24",151.68,0,97.36,100,
1115,656.88,"2,627.52",158.64,0,97.21,100,
1130,634.08,"2,536.32",146.88,0,97.42,100,
1145,629.52,"2,518.08",146.88,0,97.38,100,
1200,636,"2,544.00",159.36,0,97,100,
1215,638.16,"2,552.64",165.6,0,96.79,100,
1230,620.16,"2,480.64",157.68,0,96.92,100,
