사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 12월 31일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"46,854.48 kWh",최대수요,"2,556.48 kW",무효전력량,,
역률최대,,지상 : 18시 30분 97.67 %,역률최소,지상 : 16시 30분 96.68 %,"지상 : 11,697.84 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,476.96","1,486.08",374.4,0,-,100,
2,"1,464.48","1,507.20",386.88,0,-,100,
3,"1,476.00","1,504.32",387.12,0,-,100,
4,"1,451.52","1,482.24",357.6,0,-,100,
5,"1,521.84","1,563.84",363.6,0,-,100,
6,"1,653.12","1,720.32",392.16,0,-,100,
7,"1,858.32","1,942.08",431.76,0,-,100,
8,"2,101.68","2,200.32",537.6,0,-,100,
9,"2,332.56","2,459.52",610.56,0,-,100,
10,"2,474.64","2,526.72",618.48,0,97.02,-,
11,"2,484.48","2,521.92",627.12,0,96.96,-,
12,"2,501.04","2,556.48",619.44,0,97.07,-,
13,"2,424.48","2,488.32",617.28,0,96.91,-,
14,"2,473.44","2,524.80",633.12,0,96.88,-,
15,"2,398.32","2,447.04",598.32,0,97.03,-,
16,"2,352.24","2,424.96",601.44,0,96.88,-,
17,"2,305.92","2,374.08",600.72,0,96.77,-,
18,"2,090.64","2,202.24",494.16,0,97.32,-,
19,"1,842.24","1,873.92",415.2,0,97.55,-,
20,"1,795.20","1,826.88",444.72,0,97.07,-,
21,"1,698.72","1,714.56",432.24,0,96.91,-,
22,"1,616.40","1,633.92",387.36,0,97.25,-,
23,"1,549.68","1,563.84",381.36,0,97.1,-,
24,"1,510.56","1,526.40",385.2,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,367.68,"1,470.72",86.88,0,97.32,100,
30,368.88,"1,475.52",93.12,0,96.96,100,
45,371.52,"1,486.08",98.4,0,96.67,100,
100,368.88,"1,475.52",96,0,96.78,100,
115,361.44,"1,445.76",93.36,0,96.82,100,
130,365.52,"1,462.08",97.92,0,96.59,100,
145,376.8,"1,507.20",101.76,0,96.54,100,
200,360.72,"1,442.88",93.84,0,96.78,100,
215,369.36,"1,477.44",99.12,0,96.58,100,
230,366.48,"1,465.92",96.48,0,96.7,100,
245,364.08,"1,456.32",92.88,0,96.9,100,
300,376.08,"1,504.32",98.64,0,96.73,100,
315,364.08,"1,456.32",89.52,0,97.11,100,
330,359.28,"1,437.12",88.8,0,97.08,100,
345,357.6,"1,430.40",86.64,0,97.19,100,
400,370.56,"1,482.24",92.64,0,97.01,100,
415,372,"1,488.00",90.96,0,97.14,100,
430,377.52,"1,510.08",90.96,0,97.22,100,
445,381.36,"1,525.44",89.52,0,97.35,100,
500,390.96,"1,563.84",92.16,0,97.33,100,
515,405.6,"1,622.40",97.68,0,97.22,100,
530,406.08,"1,624.32",98.64,0,97.17,100,
545,411.36,"1,645.44",94.56,0,97.46,100,
600,430.08,"1,720.32",101.28,0,97.34,100,
615,437.52,"1,750.08",98.4,0,97.56,100,
630,458.88,"1,835.52",109.2,0,97.28,100,
645,476.4,"1,905.60",112.08,0,97.34,100,
700,485.52,"1,942.08",112.08,0,97.44,100,
715,498.24,"1,992.96",121.68,0,97.14,100,
730,516,"2,064.00",128.16,0,97.05,100,
745,537.36,"2,149.44",141.12,0,96.72,100,
800,550.08,"2,200.32",146.64,0,96.63,100,
815,573.12,"2,292.48",157.68,0,96.42,100,
830,567.12,"2,268.48",144.96,0,96.89,100,
845,577.44,"2,309.76",144.72,0,97,100,
900,614.88,"2,459.52",163.2,0,96.65,100,
915,617.52,"2,470.08",158.64,0,96.85,100,
930,606.96,"2,427.84",149.28,0,97.11,100,
945,618.48,"2,473.92",148.8,0,97.23,100,
1000,631.68,"2,526.72",161.76,0,96.87,100,
1015,623.28,"2,493.12",158.16,0,96.93,100,
1030,615.6,"2,462.40",154.56,0,96.99,100,
1045,615.12,"2,460.48",151.92,0,97.08,100,
1100,630.48,"2,521.92",162.48,0,96.84,100,
1115,639.12,"2,556.48",163.68,0,96.87,100,
1130,628.56,"2,514.24",156.24,0,97.05,100,
1145,620.16,"2,480.64",150,0,97.2,100,
1200,613.2,"2,452.80",149.52,0,97.15,100,
1215,600.96,"2,403.84",146.88,0,97.14,100,
1230,622.08,"2,488.32",164.16,0,96.69,100,
1245,606.72,"2,426.88",156.96,0,96.81,100,
1300,594.72,"2,378.88",149.28,0,96.99,100,
1315,607.2,"2,428.80",153.6,0,96.95,100,
1330,607.2,"2,428.80",154.8,0,96.9,100,
1345,627.84,"2,511.36",163.2,0,96.78,100,
1400,631.2,"2,524.80",161.52,0,96.88,100,
1415,611.76,"2,447.04",153.12,0,97.01,100,
1430,588.72,"2,354.88",144,0,97.14,100,
1445,597.12,"2,388.48",148.08,0,97.06,100,
1500,600.72,"2,402.88",153.12,0,96.9,100,
1515,606.24,"2,424.96",157.44,0,96.79,100,
1530,583.92,"2,335.68",144.48,0,97.07,100,
1545,577.92,"2,311.68",147.36,0,96.9,100,
1600,584.16,"2,336.64",152.16,0,96.77,100,
1615,593.52,"2,374.08",157.44,0,96.66,100,
1630,569.28,"2,277.12",150,0,96.7,100,
1645,571.68,"2,286.72",148.08,0,96.81,100,
1700,571.44,"2,285.76",145.2,0,96.92,100,
1715,550.56,"2,202.24",131.76,0,97.25,100,
1730,539.52,"2,158.08",128.64,0,97.27,100,
1745,515.04,"2,060.16",123.12,0,97.26,100,
1800,485.52,"1,942.08",110.64,0,97.5,100,
1815,468.48,"1,873.92",103.44,0,97.65,100,
1830,461.28,"1,845.12",100.8,0,97.69,100,
1845,459.6,"1,838.40",105.6,0,97.46,100,
1900,452.88,"1,811.52",105.36,0,97.4,100,
1915,456.72,"1,826.88",113.28,0,97.06,100,
1930,451.44,"1,805.76",111.12,0,97.1,100,
1945,447.12,"1,788.48",108.24,0,97.19,100,
2000,439.92,"1,759.68",112.08,0,96.9,100,
2015,421.92,"1,687.68",103.68,0,97.11,100,
2030,428.64,"1,714.56",109.2,0,96.9,100,
2045,422.64,"1,690.56",106.56,0,96.97,100,
2100,425.52,"1,702.08",112.8,0,96.66,100,
2115,403.44,"1,613.76",98.4,0,97.15,100,
2130,408.48,"1,633.92",98.4,0,97.22,100,
2145,405.36,"1,621.44",96.24,0,97.3,100,
2200,399.12,"1,596.48",94.32,0,97.32,100,
2215,390.96,"1,563.84",93.6,0,97.25,100,
2230,385.44,"1,541.76",92.64,0,97.23,100,
2245,384.96,"1,539.84",94.08,0,97.14,100,
2300,388.32,"1,553.28",101.04,0,96.78,100,
2315,377.76,"1,511.04",93.36,0,97.08,100,
2330,381.6,"1,526.40",98.88,0,96.8,100,
2345,376.08,"1,504.32",97.2,0,96.82,100,
