사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 12월 29일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"47,510.16 kWh",최대수요,"2,592.00 kW",무효전력량,,
역률최대,,지상 : 18시 30분 97.65 %,역률최소,지상 : 23시 00분 96.78 %,"지상 : 11,551.92 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,458.48","1,493.76",392.88,0,-,100,
2,"1,418.64","1,430.40",340.8,0,-,100,
3,"1,435.20","1,454.40",357.84,0,-,100,
4,"1,417.44","1,427.52",342.96,0,-,100,
5,"1,515.84","1,550.40",345.36,0,-,100,
6,"1,662.48","1,691.52",388.8,0,-,100,
7,"1,887.12","1,977.60",461.76,0,-,100,
8,"2,163.84","2,334.72",541.2,0,-,100,
9,"2,444.16","2,508.48",618.24,0,-,100,
10,"2,516.40","2,522.88",625.2,0,97.05,-,
11,"2,558.88","2,592.00",629.28,0,97.11,-,
12,"2,540.64","2,581.44",628.32,0,97.08,-,
13,"2,467.92","2,484.48",613.68,0,97.04,-,
14,"2,460.00","2,495.04",602.88,0,97.13,-,
15,"2,393.28","2,422.08",582.72,0,97.16,-,
16,"2,390.40","2,457.60",581.76,0,97.16,-,
17,"2,328.72","2,372.16",539.52,0,97.42,-,
18,"2,196.96","2,339.52",497.76,0,97.53,-,
19,"1,909.92","1,964.16",429.36,0,97.57,-,
20,"1,897.68","1,945.92",452.64,0,97.27,-,
21,"1,787.52","1,842.24",427.92,0,97.25,-,
22,"1,640.64","1,680.00",388.56,0,97.31,-,
23,"1,550.40","1,565.76",392.16,0,96.95,-,
24,"1,467.60","1,482.24",370.32,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,357.12,"1,428.48",93.36,0,96.75,100,
30,360,"1,440.00",94.32,0,96.73,100,
45,367.92,"1,471.68",99.6,0,96.53,100,
100,373.44,"1,493.76",105.6,0,96.23,100,
115,357.6,"1,430.40",85.92,0,97.23,100,
130,351.36,"1,405.44",83.04,0,97.32,100,
145,357.12,"1,428.48",88.08,0,97.09,100,
200,352.56,"1,410.24",83.76,0,97.29,100,
215,357.12,"1,428.48",87.36,0,97.14,100,
230,351.6,"1,406.40",84.48,0,97.23,100,
245,363.6,"1,454.40",92.64,0,96.9,100,
300,362.88,"1,451.52",93.36,0,96.85,100,
315,355.44,"1,421.76",88.32,0,97.05,100,
330,354.96,"1,419.84",85.44,0,97.22,100,
345,350.16,"1,400.64",82.56,0,97.33,100,
400,356.88,"1,427.52",86.64,0,97.18,100,
415,372.72,"1,490.88",88.8,0,97.28,100,
430,380.4,"1,521.60",87.84,0,97.44,100,
445,375.12,"1,500.48",82.56,0,97.66,100,
500,387.6,"1,550.40",86.16,0,97.62,100,
515,420.48,"1,681.92",100.8,0,97.24,100,
530,411.84,"1,647.36",96.72,0,97.35,100,
545,407.28,"1,629.12",91.92,0,97.55,100,
600,422.88,"1,691.52",99.36,0,97.35,100,
615,444.72,"1,778.88",104.16,0,97.37,100,
630,467.52,"1,870.08",118.32,0,96.94,100,
645,480.48,"1,921.92",117.6,0,97.13,100,
700,494.4,"1,977.60",121.68,0,97.1,100,
715,507.6,"2,030.40",121.2,0,97.27,100,
730,521.04,"2,084.16",128.64,0,97.08,100,
745,551.52,"2,206.08",141.12,0,96.88,100,
800,583.68,"2,334.72",150.24,0,96.84,100,
815,597.36,"2,389.44",152.88,0,96.88,100,
830,600,"2,400.00",153.12,0,96.89,100,
845,619.68,"2,478.72",153.84,0,97.05,100,
900,627.12,"2,508.48",158.4,0,96.96,100,
915,630.72,"2,522.88",163.2,0,96.81,100,
930,630.24,"2,520.96",161.52,0,96.87,100,
945,627.6,"2,510.40",152.4,0,97.18,100,
1000,627.84,"2,511.36",148.08,0,97.33,100,
1015,631.92,"2,527.68",152.4,0,97.21,100,
1030,648,"2,592.00",160.08,0,97.08,100,
1045,635.04,"2,540.16",155.04,0,97.15,100,
1100,643.92,"2,575.68",161.76,0,96.99,100,
1115,645.36,"2,581.44",159.84,0,97.07,100,
1130,637.68,"2,550.72",156.48,0,97.12,100,
1145,636.96,"2,547.84",159.12,0,97.02,100,
1200,620.64,"2,482.56",152.88,0,97.1,100,
1215,610.08,"2,440.32",151.68,0,97.05,100,
1230,616.32,"2,465.28",150.72,0,97.14,100,
1245,621.12,"2,484.48",154.8,0,97.03,100,
1300,620.4,"2,481.60",156.48,0,96.96,100,
1315,610.8,"2,443.20",147.6,0,97.2,100,
1330,607.92,"2,431.68",145.68,0,97.25,100,
1345,617.52,"2,470.08",153.12,0,97.06,100,
1400,623.76,"2,495.04",156.48,0,96.99,100,
1415,605.52,"2,422.08",146.88,0,97.18,100,
1430,594.96,"2,379.84",141.6,0,97.28,100,
1445,594.48,"2,377.92",141.84,0,97.27,100,
1500,598.32,"2,393.28",152.4,0,96.91,100,
1515,614.4,"2,457.60",155.28,0,96.95,100,
1530,599.28,"2,397.12",142.08,0,97.3,100,
1545,589.44,"2,357.76",141.6,0,97.23,100,
1600,587.28,"2,349.12",142.8,0,97.17,100,
1615,593.04,"2,372.16",143.52,0,97.19,100,
1630,574.8,"2,299.20",132.96,0,97.43,100,
1645,572.4,"2,289.60",127.68,0,97.6,100,
1700,588.48,"2,353.92",135.36,0,97.46,100,
1715,584.88,"2,339.52",135.6,0,97.42,100,
1730,561.84,"2,247.36",125.52,0,97.59,100,
1745,535.92,"2,143.68",120.48,0,97.56,100,
1800,514.32,"2,057.28",116.16,0,97.54,100,
1815,491.04,"1,964.16",106.32,0,97.74,100,
1830,477.36,"1,909.44",107.28,0,97.57,100,
1845,471.6,"1,886.40",108.48,0,97.45,100,
1900,469.92,"1,879.68",107.28,0,97.49,100,
1915,486.48,"1,945.92",121.2,0,97.03,100,
1930,474.24,"1,896.96",110.88,0,97.37,100,
1945,469.44,"1,877.76",109.92,0,97.37,100,
2000,467.52,"1,870.08",110.64,0,97.31,100,
2015,460.56,"1,842.24",107.76,0,97.37,100,
2030,441.12,"1,764.48",101.52,0,97.45,100,
2045,439.92,"1,759.68",106.08,0,97.21,100,
2100,445.92,"1,783.68",112.56,0,96.96,100,
2115,420,"1,680.00",100.08,0,97.28,100,
2130,411.84,"1,647.36",97.92,0,97.29,100,
2145,408,"1,632.00",93.84,0,97.46,100,
2200,400.8,"1,603.20",96.72,0,97.21,100,
2215,391.44,"1,565.76",96,0,97.12,100,
2230,387.84,"1,551.36",95.52,0,97.1,100,
2245,386.4,"1,545.60",99.36,0,96.85,100,
2300,384.72,"1,538.88",101.28,0,96.71,100,
2315,370.56,"1,482.24",91.92,0,97.06,100,
2330,367.44,"1,469.76",90,0,97.13,100,
2345,364.08,"1,456.32",91.68,0,96.97,100,
2400,365.52,"1,462.08",96.72,0,96.67,100,
,,,,,,,
확인자,,,,,,(印),
