???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 22?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"49,006.32 kWh",????,"2,918.40 kW",?????,,
????,,?? : 23? 00? 99.28 %,????,?? : 12? 30? 97.75 %,"?? : 7,436.16 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 05? 00? 99.99 %,?? : 14.64 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,198.32","1,247.04",42.72,0.48,-,100,
2,"1,171.92","1,212.48",23.28,1.68,-,100,
3,"1,206.96","1,239.36",37.92,0.72,-,100,
4,"1,142.16","1,182.72",16.56,3.36,-,100,
5,"1,178.88","1,197.12",9.6,8.4,-,100,
6,"1,354.32","1,406.40",52.08,0,-,100,
7,"1,561.68","1,655.04",96.24,0,-,100,
8,"1,856.64","1,965.12",207.6,0,-,100,
9,"2,177.52","2,244.48",298.56,0,-,100,
10,"2,317.92","2,393.28",328.56,0,99.01,-,
11,"2,633.76","2,874.24",457.68,0,98.52,-,
12,"2,865.12","2,917.44",577.68,0,98.03,-,
13,"2,839.44","2,887.68",590.64,0,97.9,-,
14,"2,890.80","2,918.40",615.6,0,97.81,-,
15,"2,864.64","2,908.80",597.84,0,97.89,-,
16,"2,844.72","2,872.32",604.08,0,97.82,-,
17,"2,770.56","2,836.80",565.44,0,97.98,-,
18,"2,541.36","2,725.44",502.56,0,98.1,-,
19,"2,260.56","2,323.20",393.84,0,98.52,-,
20,"2,121.12","2,179.20",357.84,0,98.61,-,
21,"2,001.12","2,072.64",332.4,0,98.65,-,
22,"1,938.48","1,961.28",313.68,0,98.72,-,
23,"1,740.48","1,896.00",245.28,0,99.02,-,
24,"1,527.84","1,628.16",168.48,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,311.76,"1,247.04",16.32,0,99.86,100,
30,298.08,"1,192.32",8.88,0,99.96,100,
45,290.64,"1,162.56",6.48,0.48,99.98,100,
100,297.84,"1,191.36",11.04,0,99.93,100,
115,303.12,"1,212.48",9.36,0,99.95,100,
130,291.84,"1,167.36",6.48,0,99.98,100,
145,289.44,"1,157.76",5.28,0.72,99.98,100,
200,287.52,"1,150.08",2.16,0.96,100,100,
215,297.12,"1,188.48",5.28,0.48,99.98,100,
230,309.84,"1,239.36",15.84,0,99.87,100,
245,302.4,"1,209.60",9.36,0,99.95,100,
300,297.6,"1,190.40",7.44,0.24,99.97,100,
315,295.68,"1,182.72",7.44,0.24,99.97,100,
330,282.96,"1,131.84",3.36,0.96,99.99,100,
345,281.28,"1,125.12",2.4,1.44,100,100,
400,282.24,"1,128.96",3.36,0.72,99.99,100,
415,294.48,"1,177.92",7.2,0.24,99.97,100,
430,291.12,"1,164.48",1.44,1.92,100,100,
445,294,"1,176.00",0.72,3.6,100,99.99,
500,299.28,"1,197.12",0.24,2.64,100,100,
515,336.24,"1,344.96",15.36,0,99.9,100,
530,328.8,"1,315.20",11.28,0,99.94,100,
545,337.68,"1,350.72",9.36,0,99.96,100,
600,351.6,"1,406.40",16.08,0,99.9,100,
615,364.56,"1,458.24",18.72,0,99.87,100,
630,392.4,"1,569.60",29.52,0,99.72,100,
645,390.96,"1,563.84",19.68,0,99.87,100,
700,413.76,"1,655.04",28.32,0,99.77,100,
715,427.2,"1,708.80",35.52,0,99.66,100,
730,458.16,"1,832.64",54,0,99.31,100,
745,480,"1,920.00",60.96,0,99.2,100,
800,491.28,"1,965.12",57.12,0,99.33,100,
815,514.32,"2,057.28",65.52,0,99.2,100,
830,545.28,"2,181.12",74.64,0,99.08,100,
845,561.12,"2,244.48",81.6,0,98.96,100,
900,556.8,"2,227.20",76.8,0,99.06,100,
915,556.56,"2,226.24",78.72,0,99.01,100,
930,573.6,"2,294.40",78.72,0,99.07,100,
945,589.44,"2,357.76",84.48,0,98.99,100,
1000,598.32,"2,393.28",86.64,0,98.97,100,
1015,608.4,"2,433.60",84.96,0,99.04,100,
1030,624,"2,496.00",97.44,0,98.8,100,
1045,682.8,"2,731.20",126.72,0,98.32,100,
1100,718.56,"2,874.24",148.56,0,97.93,100,
1115,729.36,"2,917.44",153.84,0,97.85,100,
1130,721.92,"2,887.68",146.64,0,98,100,
1145,712.8,"2,851.20",139.44,0,98.14,100,
1200,701.04,"2,804.16",137.76,0,98.12,100,
1215,721.92,"2,887.68",159.84,0,97.64,100,
1230,707.52,"2,830.08",148.56,0,97.87,100,
1245,708.72,"2,834.88",146.64,0,97.93,100,
1300,701.28,"2,805.12",135.6,0,98.18,100,
1315,714.48,"2,857.92",150.48,0,97.85,100,
1330,722.64,"2,890.56",159.12,0,97.66,100,
1345,724.08,"2,896.32",155.28,0,97.78,100,
1400,729.6,"2,918.40",150.72,0,97.93,100,
1415,703.92,"2,815.68",138.72,0,98.11,100,
1430,718.8,"2,875.20",150.24,0,97.88,100,
1445,727.2,"2,908.80",156.24,0,97.77,100,
1500,714.72,"2,858.88",152.64,0,97.79,100,
1515,718.08,"2,872.32",158.4,0,97.65,100,
1530,709.2,"2,836.80",148.08,0,97.89,100,
1545,706.8,"2,827.20",146.64,0,97.91,100,
1600,710.64,"2,842.56",150.96,0,97.82,100,
1615,709.2,"2,836.80",151.92,0,97.78,100,
1630,695.28,"2,781.12",140.64,0,98.01,100,
1645,688.8,"2,755.20",138.24,0,98.04,100,
1700,677.28,"2,709.12",134.64,0,98.08,100,
