사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 10월 07일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"41,077.44 kWh",최대수요,"2,286.72 kW",무효전력량,,
역률최대,,지상 : 23시 00분 99.98 %,역률최소,지상 : 12시 00분 98.91 %,"지상 : 3,620.88 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 18.48 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,205.04","1,220.16",36.72,0.72,-,100,
2,"1,174.08","1,190.40",13.68,3.6,-,100,
3,"1,167.60","1,182.72",22.08,2.64,-,100,
4,"1,165.20","1,188.48",20.16,2.16,-,100,
5,"1,252.56","1,298.88",23.52,1.2,-,100,
6,"1,407.12","1,439.04",41.76,0.24,-,100,
7,"1,508.40","1,540.80",55.44,0,-,100,
8,"1,790.64","1,937.28",189.84,0,-,100,
9,"2,114.40","2,161.92",260.16,0,-,100,
10,"2,205.36","2,226.24",265.2,0,99.28,-,
11,"2,241.84","2,273.28",285.12,0,99.2,-,
12,"2,245.20","2,286.72",317.76,0,99.01,-,
13,"2,202.96","2,241.60",277.68,0,99.21,-,
14,"2,228.16","2,263.68",303.84,0,99.08,-,
15,"2,182.32","2,218.56",290.4,0,99.13,-,
16,"2,242.08","2,254.08",307.92,0,99.07,-,
17,"2,163.36","2,223.36",281.76,0,99.16,-,
18,"1,962.24","2,057.28",216.96,0,99.39,-,
19,"1,649.28","1,714.56",106.56,0,99.79,-,
20,"1,571.04","1,604.16",96.72,0,99.81,-,
21,"1,473.36","1,534.08",69.84,0,99.89,-,
22,"1,433.52","1,477.44",81.6,0,99.84,-,
23,"1,289.28","1,353.60",46.56,1.2,99.93,-,
24,"1,202.40","1,231.68",9.6,6.72,-,100,
,,,,,,,
