사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 08월 05일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"62,142.00 kWh",최대수요,"3,457.92 kW",무효전력량,,
역률최대,,지상 : 21시 00분 97.41 %,역률최소,지상 : 10시 00분 96.25 %,"지상 : 15,393.12 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,820.40","1,883.52",373.92,0,-,100,
2,"1,804.80","1,831.68",375.36,0,-,100,
3,"1,779.60","1,783.68",350.4,0,-,100,
4,"1,795.20","1,827.84",363.12,0,-,100,
5,"1,884.00","1,927.68",364.8,0,-,100,
6,"2,083.92","2,131.20",408.24,0,-,100,
7,"2,260.08","2,359.68",468,0,-,100,
8,"2,717.76","2,973.12",671.52,0,-,100,
9,"3,211.68","3,271.68",872.88,0,-,100,
10,"3,386.64","3,457.92",940.32,0,96.35,-,
11,"3,308.40","3,329.28",887.28,0,96.59,-,
12,"3,264.48","3,269.76",882.72,0,96.53,-,
13,"3,284.64","3,298.56",855.84,0,96.77,-,
14,"3,353.04","3,408.96",895.68,0,96.61,-,
15,"3,351.12","3,396.48",920.16,0,96.43,-,
16,"3,342.00","3,396.48",910.08,0,96.49,-,
17,"3,200.64","3,253.44",848.88,0,96.66,-,
18,"2,942.88","3,238.08",774.24,0,96.71,-,
19,"2,490.48","2,547.84",630.24,0,96.94,-,
20,"2,351.28","2,373.12",568.08,0,97.2,-,
21,"2,288.16","2,346.24",550.08,0,97.23,-,
22,"2,191.68","2,233.92",522.48,0,97.27,-,
23,"2,065.68","2,093.76",493.68,0,97.26,-,
24,"1,963.44","1,981.44",465.12,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,470.88,"1,883.52",99.12,0,97.86,100,
30,452.64,"1,810.56",91.2,0,98.03,100,
45,448.8,"1,795.20",90.24,0,98.04,100,
100,448.08,"1,792.32",93.36,0,97.9,100,
115,448.08,"1,792.32",92.64,0,97.93,100,
130,457.92,"1,831.68",99.6,0,97.72,100,
145,447.12,"1,788.48",92.16,0,97.94,100,
200,451.68,"1,806.72",90.96,0,98.03,100,
215,443.52,"1,774.08",86.4,0,98.15,100,
230,445.44,"1,781.76",89.04,0,98.06,100,
245,444.72,"1,778.88",87.12,0,98.13,100,
300,445.92,"1,783.68",87.84,0,98.11,100,
315,456,"1,824.00",98.16,0,97.76,100,
330,440.88,"1,763.52",90.96,0,97.94,100,
345,441.36,"1,765.44",84.96,0,98.2,100,
400,456.96,"1,827.84",89.04,0,98.15,100,
415,461.28,"1,845.12",90.24,0,98.14,100,
430,462.24,"1,848.96",88.56,0,98.21,100,
445,478.56,"1,914.24",94.32,0,98.11,100,
500,481.92,"1,927.68",91.68,0,98.24,100,
515,509.52,"2,038.08",98.88,0,98.17,100,
530,519.36,"2,077.44",100.8,0,98.17,100,
545,522.24,"2,088.96",100.32,0,98.2,100,
600,532.8,"2,131.20",108.24,0,98,100,
615,541.68,"2,166.72",112.8,0,97.9,100,
630,555.84,"2,223.36",111.6,0,98.04,100,
645,572.64,"2,290.56",118.56,0,97.92,100,
