사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 06월 12일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"54,118.08 kWh",최대수요,"3,096.96 kW",무효전력량,,
역률최대,,지상 : 20시 30분 96.72 %,역률최소,지상 : 23시 00분 95.91 %,"지상 : 14,452.56 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,420.32","1,505.28",324.72,0,-,100,
2,"1,357.68","1,379.52",278.16,0,-,100,
3,"1,362.72","1,406.40",274.32,0,-,100,
4,"1,348.32","1,395.84",255.36,0,-,100,
5,"1,421.04","1,436.16",268.08,0,-,100,
6,"1,519.44","1,533.12",298.56,0,-,100,
7,"1,717.68","1,756.80",355.44,0,-,100,
8,"2,138.16","2,546.88",511.2,0,-,100,
9,"2,910.48","2,981.76",845.76,0,-,100,
10,"3,023.52","3,048.96",863.52,0,96.16,-,
11,"3,022.08","3,096.96",858,0,96.2,-,
12,"2,960.88","2,977.92",844.08,0,96.17,-,
13,"2,983.68","3,021.12",863.76,0,96.06,-,
14,"2,991.84","3,014.40",851.76,0,96.18,-,
15,"3,009.12","3,026.88",846.24,0,96.27,-,
16,"3,012.24","3,049.92",857.52,0,96.18,-,
17,"2,896.56","2,991.36",830.4,0,96.13,-,
18,"2,671.20","2,852.16",768.96,0,96.1,-,
19,"2,277.84","2,344.32",642.24,0,96.25,-,
20,"2,171.52","2,232.00",595.2,0,96.44,-,
21,"2,096.16","2,128.32",562.32,0,96.59,-,
22,"1,980.72","2,058.24",557.76,0,96.26,-,
23,"1,950.72","1,977.60",560.88,0,96.11,-,
24,"1,874.16","1,898.88",538.32,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,376.32,"1,505.28",95.04,0,96.96,100,
30,354,"1,416.00",80.16,0,97.53,100,
45,345.84,"1,383.36",74.88,0,97.74,100,
100,344.16,"1,376.64",74.64,0,97.73,100,
115,344.88,"1,379.52",75.6,0,97.68,100,
130,338.88,"1,355.52",68.64,0,98.01,100,
145,339.6,"1,358.40",67.44,0,98.08,100,
200,334.32,"1,337.28",66.48,0,98.08,100,
215,351.6,"1,406.40",76.8,0,97.7,100,
230,339.84,"1,359.36",69.6,0,97.97,100,
245,334.8,"1,339.20",64.8,0,98.18,100,
300,336.48,"1,345.92",63.12,0,98.29,100,
315,331.68,"1,326.72",62.16,0,98.29,100,
330,334.56,"1,338.24",62.4,0,98.3,100,
345,333.12,"1,332.48",62.16,0,98.3,100,
400,348.96,"1,395.84",68.64,0,98.12,100,
415,354.24,"1,416.96",67.92,0,98.21,100,
430,354.48,"1,417.92",66.96,0,98.26,100,
445,353.28,"1,413.12",66.24,0,98.29,100,
500,359.04,"1,436.16",66.96,0,98.31,100,
515,380.64,"1,522.56",81.12,0,97.8,100,
530,380.16,"1,520.64",75.84,0,98.07,100,
545,375.36,"1,501.44",69.6,0,98.32,100,
600,383.28,"1,533.12",72,0,98.28,100,
615,428.88,"1,715.52",96.96,0,97.54,100,
630,421.44,"1,685.76",87.36,0,97.92,100,
645,428.16,"1,712.64",83.04,0,98.17,100,
700,439.2,"1,756.80",88.08,0,98.05,100,
715,463.2,"1,852.80",95.52,0,97.94,100,
730,498.48,"1,993.92",112.32,0,97.55,100,
745,539.76,"2,159.04",128.64,0,97.28,100,
800,636.72,"2,546.88",174.72,0,96.44,100,
815,706.32,"2,825.28",203.04,0,96.11,100,
830,715.2,"2,860.80",210.24,0,95.94,100,
845,745.44,"2,981.76",216.24,0,96.04,100,
900,743.52,"2,974.08",216.24,0,96.02,100,
915,747.12,"2,988.48",214.56,0,96.12,100,
930,754.56,"3,018.24",212.4,0,96.26,100,
945,762.24,"3,048.96",218.88,0,96.12,100,
1000,759.6,"3,038.40",217.68,0,96.13,100,
1015,774.24,"3,096.96",218.4,0,96.24,100,
1030,754.32,"3,017.28",213.12,0,96.23,100,
1045,750.24,"3,000.96",216,0,96.1,100,
1100,743.28,"2,973.12",210.48,0,96.22,100,
1115,738.96,"2,955.84",210.96,0,96.16,100,
1130,744.48,"2,977.92",212.4,0,96.16,100,
1145,741.12,"2,964.48",209.28,0,96.24,100,
1200,736.32,"2,945.28",211.44,0,96.12,100,
1215,748.56,"2,994.24",221.76,0,95.88,100,
1230,736.56,"2,946.24",207.36,0,96.26,100,
1245,743.28,"2,973.12",213.84,0,96.1,100,
1300,755.28,"3,021.12",220.8,0,95.98,100,
1315,747.36,"2,989.44",216,0,96.07,100,
1330,749.52,"2,998.08",215.28,0,96.11,100,
1345,741.36,"2,965.44",206.64,0,96.33,100,
1400,753.6,"3,014.40",213.84,0,96.2,100,
1415,756.72,"3,026.88",211.92,0,96.3,100,
1430,749.52,"2,998.08",208.08,0,96.36,100,
1445,753.84,"3,015.36",212.4,0,96.25,100,
1500,749.04,"2,996.16",213.84,0,96.16,100,
1515,762.48,"3,049.92",222.72,0,95.99,100,
1530,752.88,"3,011.52",212.88,0,96.23,100,
1545,746.16,"2,984.64",210,0,96.26,100,
1600,750.72,"3,002.88",211.92,0,96.24,100,
1615,747.84,"2,991.36",215.28,0,96.1,100,
1630,734.64,"2,938.56",214.8,0,95.98,100,
1645,711.6,"2,846.40",200.64,0,96.25,100,
1700,702.48,"2,809.92",199.68,0,96.19,100,
1715,713.04,"2,852.16",206.16,0,96.07,100,
1730,685.44,"2,741.76",196.8,0,96.12,100,
1745,656.88,"2,627.52",189.6,0,96.08,100,
1800,615.84,"2,463.36",176.4,0,96.13,100,
1815,586.08,"2,344.32",160.8,0,96.44,100,
1830,566.88,"2,267.52",156.96,0,96.37,100,
1845,558.72,"2,234.88",157.2,0,96.26,100,
1900,566.16,"2,264.64",167.28,0,95.9,100,
1915,558,"2,232.00",161.76,0,96.05,100,
1930,546.24,"2,184.96",151.2,0,96.38,100,
1945,533.76,"2,135.04",139.44,0,96.75,100,
2000,533.52,"2,134.08",142.8,0,96.6,100,
2015,532.08,"2,128.32",140.4,0,96.69,100,
2030,519.84,"2,079.36",136.08,0,96.74,100,
2045,520.08,"2,080.32",139.92,0,96.57,100,
2100,524.16,"2,096.64",145.92,0,96.34,100,
2115,514.56,"2,058.24",147.36,0,96.14,100,
2130,497.52,"1,990.08",142.08,0,96.16,100,
2145,486.72,"1,946.88",136.56,0,96.28,100,
2200,481.92,"1,927.68",131.76,0,96.46,100,
2215,482.64,"1,930.56",134.64,0,96.32,100,
2230,486.24,"1,944.96",136.56,0,96.28,100,
2245,494.4,"1,977.60",145.2,0,95.95,100,
2300,487.44,"1,949.76",144.48,0,95.88,100,
2315,469.44,"1,877.76",133.68,0,96.18,100,
2330,466.8,"1,867.20",133.2,0,96.16,100,
2345,463.2,"1,852.80",132.24,0,96.16,100,
2400,474.72,"1,898.88",139.2,0,95.96,100,
,,,,,,,
확인자,,,,,,(印),
