???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 29?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"50,418.24 kWh",????,"3,031.68 kW",?????,,
????,,?? : 23? 00? 99.83 %,????,?? : 11? 30? 97.50 %,"?? : 8,149.44 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,437.84","1,491.84",143.28,0,-,100,
2,"1,319.04","1,352.64",95.04,0,-,100,
3,"1,267.20","1,283.52",65.04,0,-,100,
4,"1,268.64","1,314.24",65.04,0,-,100,
5,"1,388.16","1,424.64",90.24,0,-,100,
6,"1,558.80","1,608.00",127.44,0,-,100,
7,"1,759.68","1,802.88",185.76,0,-,100,
8,"2,067.60","2,184.96",293.04,0,-,100,
9,"2,380.56","2,497.92",362.88,0,-,100,
10,"2,707.44","2,834.88",527.52,0,98.15,-,
11,"2,986.32","2,997.12",654.72,0,97.68,-,
12,"2,982.72","3,031.68",666.72,0,97.59,-,
13,"2,910.72","2,952.00",651.36,0,97.59,-,
14,"2,876.64","2,891.52",618.72,0,97.76,-,
15,"2,843.52","2,871.36",592.32,0,97.9,-,
16,"2,841.12","2,855.04",579.6,0,97.98,-,
17,"2,729.76","2,784.96",525.36,0,98.2,-,
18,"2,491.44","2,627.52",465.6,0,98.3,-,
19,"2,171.76","2,240.64",375.36,0,98.54,-,
20,"2,132.88","2,160.96",399.84,0,98.29,-,
21,"1,998.48","2,064.00",330,0,98.66,-,
22,"1,590.48","1,723.20",162.24,0,99.48,-,
23,"1,375.44","1,422.72",85.92,0,99.81,-,
24,"1,332.00","1,352.64",86.4,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,368.16,"1,472.64",40.56,0,99.4,100,
30,372.96,"1,491.84",42.24,0,99.36,100,
45,356.16,"1,424.64",33.36,0,99.56,100,
100,340.56,"1,362.24",27.12,0,99.68,100,
115,338.16,"1,352.64",27.6,0,99.67,100,
130,325.44,"1,301.76",22.56,0,99.76,100,
145,334.08,"1,336.32",25.68,0,99.71,100,
200,321.36,"1,285.44",19.2,0,99.82,100,
215,320.88,"1,283.52",18.48,0,99.83,100,
230,318,"1,272.00",16.32,0,99.87,100,
245,312,"1,248.00",12.96,0,99.91,100,
300,316.32,"1,265.28",17.28,0,99.85,100,
315,321.12,"1,284.48",20.16,0,99.8,100,
330,308.88,"1,235.52",11.76,0,99.93,100,
345,310.08,"1,240.32",12.72,0,99.92,100,
400,328.56,"1,314.24",20.4,0,99.81,100,
415,344.64,"1,378.56",27.84,0,99.68,100,
430,340.8,"1,363.20",19.2,0,99.84,100,
445,346.56,"1,386.24",20.64,0,99.82,100,
500,356.16,"1,424.64",22.56,0,99.8,100,
515,376.8,"1,507.20",29.76,0,99.69,100,
530,389.76,"1,559.04",33.84,0,99.63,100,
545,390.24,"1,560.96",27.36,0,99.76,100,
600,402,"1,608.00",36.48,0,99.59,100,
615,432.48,"1,729.92",47.76,0,99.4,100,
630,446.88,"1,787.52",52.8,0,99.31,100,
