사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 04월 20일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"41,304.96 kWh",최대수요,"2,241.60 kW",무효전력량,,
역률최대,,지상 : 19시 30분 98.14 %,역률최소,지상 : 21시 30분 97.61 %,"지상 : 8,608.08 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,228.08","1,278.72",275.28,0,-,100,
2,"1,203.12","1,219.20",247.2,0,-,100,
3,"1,164.96","1,173.12",231.84,0,-,100,
4,"1,190.40","1,239.36",230.64,0,-,100,
5,"1,290.00","1,310.40",263.28,0,-,100,
6,"1,392.48","1,418.88",262.32,0,-,100,
7,"1,560.24","1,619.52",321.12,0,-,100,
8,"1,748.40","1,862.40",386.64,0,-,100,
9,"1,938.96","1,995.84",408.48,0,-,100,
10,"2,079.36","2,120.64",438.72,0,97.85,-,
11,"2,201.28","2,241.60",457.2,0,97.91,-,
12,"2,191.20","2,212.80",469.2,0,97.78,-,
13,"2,137.68","2,155.20",451.92,0,97.84,-,
14,"2,145.36","2,159.04",450.24,0,97.87,-,
15,"2,121.60","2,199.36",457.92,0,97.75,-,
16,"2,075.04","2,117.76",437.28,0,97.85,-,
17,"2,042.88","2,081.28",425.04,0,97.9,-,
18,"1,973.04","2,011.20",392.88,0,98.07,-,
19,"1,848.48","1,875.84",382.08,0,97.93,-,
20,"1,751.28","1,773.12",350.64,0,98.05,-,
21,"1,663.20","1,745.28",348.48,0,97.87,-,
22,"1,572.00","1,598.40",349.92,0,97.61,-,
23,"1,437.36","1,488.00",297.6,0,97.92,-,
24,"1,348.56","1,372.80",272.16,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,319.68,"1,278.72",75.6,0,97.32,100,
30,305.04,"1,220.16",69.6,0,97.49,100,
45,301.44,"1,205.76",66.72,0,97.64,100,
100,301.92,"1,207.68",63.36,0,97.87,100,
115,304.8,"1,219.20",60.72,0,98.07,100,
130,296.88,"1,187.52",58.56,0,98.11,100,
145,299.28,"1,197.12",63.6,0,97.82,100,
200,302.16,"1,208.64",64.32,0,97.81,100,
215,292.56,"1,170.24",58.08,0,98.09,100,
230,293.28,"1,173.12",58.32,0,98.08,100,
245,287.76,"1,151.04",57.6,0,98.05,100,
300,291.36,"1,165.44",57.84,0,98.09,100,
315,287.04,"1,148.16",54.96,0,98.22,100,
330,290.16,"1,160.64",56.16,0,98.18,100,
345,303.36,"1,213.44",59.28,0,98.14,100,
400,309.84,"1,239.36",60.24,0,98.16,100,
415,321.6,"1,286.40",70.32,0,97.69,100,
430,320.4,"1,281.60",65.76,0,97.96,100,
445,320.4,"1,281.60",62.64,0,98.14,100,
500,327.6,"1,310.40",64.56,0,98.11,100,
515,335.76,"1,343.04",63.36,0,98.27,100,
530,354.72,"1,418.88",67.68,0,98.23,100,
545,353.52,"1,414.08",65.76,0,98.31,100,
600,348.48,"1,393.92",65.52,0,98.28,100,
615,376.32,"1,505.28",78,0,97.92,100,
630,384.24,"1,536.96",78,0,98,100,
645,394.8,"1,579.20",81.12,0,97.95,100,
700,404.88,"1,619.52",84,0,97.91,100,
715,406.08,"1,624.32",83.04,0,97.97,100,
730,427.44,"1,709.76",96.48,0,97.55,100,
745,449.28,"1,797.12",104.16,0,97.42,100,
800,465.6,"1,862.40",102.96,0,97.64,100,
815,463.92,"1,855.68",99.6,0,97.77,100,
830,484.56,"1,938.24",102.96,0,97.82,100,
845,491.52,"1,966.08",102.24,0,97.9,100,
