사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 10월 19일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"30,914.64 kWh",최대수요,"1,510.08 kW",무효전력량,,
역률최대,,지상 : 18시 30분 98.23 %,역률최소,지상 : 11시 30분 96.93 %,"지상 : 6,767.52 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,138.08","1,181.76",261.6,0,-,100,
2,"1,116.48","1,128.00",251.76,0,-,100,
3,"1,126.80","1,147.20",261.36,0,-,100,
4,"1,125.12","1,134.72",265.68,0,-,100,
5,"1,151.76","1,170.24",270.72,0,-,100,
6,"1,232.64","1,261.44",261.12,0,-,100,
7,"1,261.68","1,266.24",261.84,0,-,100,
8,"1,287.60","1,320.96",276.96,0,-,100,
9,"1,292.16","1,318.08",265.44,0,-,100,
10,"1,340.64","1,349.76",275.28,0,97.96,-,
11,"1,430.16","1,457.28",312.72,0,97.69,-,
12,"1,436.64","1,460.16",352.8,0,97.11,-,
13,"1,437.12","1,445.76",324.24,0,97.55,-,
14,"1,479.12","1,510.08",344.16,0,97.4,-,
15,"1,445.04","1,456.32",334.32,0,97.43,-,
16,"1,471.68","1,496.64",343.68,0,97.38,-,
17,"1,369.68","1,384.32",300.48,0,97.68,-,
18,"1,376.40","1,392.00",285.12,0,97.92,-,
19,"1,321.44","1,341.12",253.68,0,98.21,-,
20,"1,323.12","1,392.96",278.88,0,97.85,-,
21,"1,240.32","1,262.40",253.68,0,97.97,-,
22,"1,219.92","1,247.04",256.32,0,97.86,-,
23,"1,150.32","1,175.04",240,0,97.89,-,
24,"1,140.72","1,168.32",235.68,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,283.92,"1,135.68",62.4,0,97.67,100,
30,295.44,"1,181.76",72.48,0,97.12,100,
45,279.84,"1,119.36",62.16,0,97.62,100,
100,278.88,"1,115.52",64.56,0,97.42,100,
115,282,"1,128.00",63.84,0,97.53,100,
130,277.92,"1,111.68",62.16,0,97.59,100,
145,277.2,"1,108.80",62.64,0,97.54,100,
200,279.36,"1,117.44",63.12,0,97.54,100,
215,285.6,"1,142.40",64.8,0,97.52,100,
230,278.16,"1,112.64",61.44,0,97.65,100,
245,276.24,"1,104.96",63.12,0,97.49,100,
300,286.8,"1,147.20",72,0,96.99,100,
315,281.04,"1,124.16",66.72,0,97.3,100,
330,279.6,"1,118.40",66.48,0,97.29,100,
345,283.68,"1,134.72",66.96,0,97.33,100,
400,280.8,"1,123.20",65.52,0,97.38,100,
415,282.96,"1,131.84",65.52,0,97.42,100,
430,288.96,"1,155.84",67.44,0,97.38,100,
445,292.56,"1,170.24",71.76,0,97.12,100,
500,287.28,"1,149.12",66,0,97.46,100,
515,299.28,"1,197.12",65.76,0,97.67,100,
530,306.72,"1,226.88",66,0,97.76,100,
545,315.36,"1,261.44",62.88,0,98.07,100,
600,311.28,"1,245.12",66.48,0,97.79,100,
615,314.4,"1,257.60",66,0,97.87,100,
630,316.56,"1,266.24",65.28,0,97.94,100,
645,315.12,"1,260.48",65.28,0,97.92,100,
700,315.6,"1,262.40",65.28,0,97.93,100,
715,320.88,"1,283.52",67.44,0,97.86,100,
730,322.32,"1,289.28",70.08,0,97.72,100,
745,330.24,"1,320.96",74.16,0,97.57,100,
800,314.16,"1,256.64",65.28,0,97.91,100,
815,314.64,"1,258.56",60.96,0,98.17,100,
830,322.8,"1,291.20",64.32,0,98.07,100,
845,325.2,"1,300.80",68.88,0,97.83,100,
900,329.52,"1,318.08",71.28,0,97.74,100,
915,330.72,"1,322.88",66.48,0,98.04,100,
930,336.96,"1,347.84",71.76,0,97.81,100,
945,337.44,"1,349.76",68.4,0,98.01,100,
1000,335.52,"1,342.08",68.64,0,97.97,100,
1015,352.32,"1,409.28",77.28,0,97.68,100,
1030,364.32,"1,457.28",78.24,0,97.77,100,
1045,354.72,"1,418.88",76.32,0,97.76,100,
1100,358.8,"1,435.20",80.88,0,97.55,100,
1115,363.84,"1,455.36",90.72,0,97.03,100,
1130,365.04,"1,460.16",94.08,0,96.84,100,
1145,348.48,"1,393.92",82.08,0,97.34,100,
1200,359.28,"1,437.12",85.92,0,97.26,100,
1215,356.4,"1,425.60",78.24,0,97.67,100,
1230,361.44,"1,445.76",83.76,0,97.42,100,
1245,359.52,"1,438.08",79.68,0,97.63,100,
1300,359.76,"1,439.04",82.56,0,97.47,100,
1315,358.56,"1,434.24",82.56,0,97.45,100,
1330,377.52,"1,510.08",91.68,0,97.18,100,
1345,374.4,"1,497.60",84.48,0,97.55,100,
1400,368.64,"1,474.56",85.44,0,97.42,100,
1415,355.68,"1,422.72",80.64,0,97.52,100,
1430,364.08,"1,456.32",83.76,0,97.45,100,
1445,363.84,"1,455.36",85.44,0,97.35,100,
1500,361.44,"1,445.76",84.48,0,97.38,100,
1515,370.56,"1,482.24",86.64,0,97.37,100,
1530,374.16,"1,496.64",90,0,97.23,100,
1545,367.92,"1,471.68",82.56,0,97.57,100,
1600,359.04,"1,436.16",84.48,0,97.34,100,
1615,346.08,"1,384.32",77.04,0,97.61,100,
1630,338.4,"1,353.60",73.44,0,97.73,100,
1645,343.92,"1,375.68",74.64,0,97.73,100,
1700,341.28,"1,365.12",75.36,0,97.65,100,
1715,346.32,"1,385.28",74.64,0,97.76,100,
1730,345.6,"1,382.40",74.88,0,97.73,100,
1745,348,"1,392.00",73.2,0,97.86,100,
1800,336.48,"1,345.92",62.4,0,98.32,100,
1815,335.28,"1,341.12",65.52,0,98.14,100,
1830,326.64,"1,306.56",60.72,0,98.32,100,
1845,331.2,"1,324.80",64.08,0,98.18,100,
1900,328.32,"1,313.28",63.36,0,98.19,100,
1915,328.08,"1,312.32",66,0,98.04,100,
1930,348.24,"1,392.96",82.32,0,97.32,100,
1945,324.48,"1,297.92",66,0,97.99,100,
2000,322.32,"1,289.28",64.56,0,98.05,100,
2015,315.6,"1,262.40",63.6,0,98.03,100,
2030,315.12,"1,260.48",64.8,0,97.95,100,
2045,304.08,"1,216.32",61.2,0,98.03,100,
2100,305.52,"1,222.08",64.08,0,97.87,100,
