???????,,,,,,,
,,,,,,,
??,,,,,,2014? 11? 21?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"42,077.04 kWh",????,"2,352.96 kW",?????,,
????,,?? : 19? 00? 98.33 %,????,?? : 11? 30? 97.22 %,"?? : 9,055.68 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,304.64","1,364.16",269.76,0,-,100,
2,"1,288.56","1,306.56",262.32,0,-,100,
3,"1,270.32","1,307.52",252,0,-,100,
4,"1,269.36","1,284.48",252.96,0,-,100,
5,"1,385.76","1,434.24",282.72,0,-,100,
6,"1,487.52","1,567.68",292.8,0,-,100,
7,"1,671.12","1,713.60",340.08,0,-,100,
8,"1,935.84","2,134.08",451.92,0,-,100,
9,"2,181.12","2,259.84",517.2,0,-,100,
10,"2,252.16","2,301.12",504.72,0,97.58,-,
11,"2,274.48","2,352.96",525.84,0,97.43,-,
12,"2,258.16","2,297.28",540.48,0,97.25,-,
13,"2,154.24","2,211.84",499.2,0,97.42,-,
14,"2,154.72","2,169.60",489.6,0,97.51,-,
15,"2,127.12","2,156.16",457.2,0,97.77,-,
16,"2,064.48","2,104.32",431.76,0,97.88,-,
17,"2,023.44","2,079.36",430.56,0,97.81,-,
18,"1,920.24","2,012.16",385.2,0,98.05,-,
19,"1,724.64","1,777.92",335.04,0,98.16,-,
20,"1,651.20","1,690.56",334.08,0,98.01,-,
21,"1,572.48","1,633.92",320.88,0,97.98,-,
22,"1,466.64","1,559.04",307.68,0,97.87,-,
23,"1,350.24","1,403.52",289.2,0,97.78,-,
24,"1,288.56","1,316.16",282.48,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,341.04,"1,364.16",75.6,0,97.63,100,
30,329.52,"1,318.08",68.88,0,97.88,100,
45,316.56,"1,266.24",62.16,0,98.13,100,
100,317.52,"1,270.08",63.12,0,98.08,100,
115,326.64,"1,306.56",66.24,0,98.01,100,
130,321.84,"1,287.36",64.8,0,98.03,100,
145,317.52,"1,270.08",65.52,0,97.94,100,
200,322.56,"1,290.24",65.76,0,97.98,100,
215,326.88,"1,307.52",66.96,0,97.97,100,
230,314.64,"1,258.56",61.92,0,98.12,100,
245,312.48,"1,249.92",61.2,0,98.14,100,
300,316.32,"1,265.28",61.92,0,98.14,100,
315,319.2,"1,276.80",64.8,0,98,100,
330,313.2,"1,252.80",62.16,0,98.09,100,
345,315.84,"1,263.36",61.92,0,98.13,100,
400,321.12,"1,284.48",64.08,0,98.07,100,
415,333.36,"1,333.44",64.32,0,98.19,100,
430,343.92,"1,375.68",66.72,0,98.17,100,
445,358.56,"1,434.24",78.48,0,97.69,100,
500,349.92,"1,399.68",73.2,0,97.88,100,
515,358.56,"1,434.24",70.08,0,98.14,100,
530,366.24,"1,464.96",72.72,0,98.09,100,
545,370.8,"1,483.20",71.04,0,98.21,100,
600,391.92,"1,567.68",78.96,0,98.03,100,
615,405.36,"1,621.44",85.44,0,97.85,100,
630,420.24,"1,680.96",88.56,0,97.85,100,
645,417.12,"1,668.48",80.88,0,98.17,100,
700,428.4,"1,713.60",85.2,0,98.08,100,
715,436.32,"1,745.28",91.44,0,97.87,100,
730,467.28,"1,869.12",107.04,0,97.48,100,
745,498.72,"1,994.88",120.48,0,97.2,100,
800,533.52,"2,134.08",132.96,0,97.03,100,
