???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 24?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"48,750.72 kWh",????,"2,900.16 kW",?????,,
????,,?? : 23? 00? 99.48 %,????,?? : 15? 00? 97.79 %,"?? : 7,078.32 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.48 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,397.04","1,503.36",116.16,0,-,100,
2,"1,234.32","1,286.40",49.68,0.24,-,100,
3,"1,225.92","1,241.28",42.24,0,-,100,
4,"1,226.64","1,258.56",42.96,0,-,100,
5,"1,308.24","1,329.60",45.12,0.24,-,100,
6,"1,525.20","1,608.96",102.72,0,-,100,
7,"1,727.76","1,763.52",141.84,0,-,100,
8,"1,997.04","2,100.48",274.32,0,-,100,
9,"2,318.88","2,376.00",327.12,0,-,100,
10,"2,462.16","2,550.72",388.08,0,98.78,-,
11,"2,476.32","2,544.96",377.28,0,98.86,-,
12,"2,444.88","2,498.88",392.16,0,98.74,-,
13,"2,403.60","2,434.56",353.04,0,98.94,-,
14,"2,865.36","2,900.16",600,0,97.88,-,
15,"2,849.76","2,874.24",599.52,0,97.86,-,
16,"2,804.16","2,832.00",584.16,0,97.9,-,
17,"2,752.56","2,784.96",546.48,0,98.09,-,
18,"2,521.20","2,640.96",485.52,0,98.2,-,
19,"2,238.96","2,273.28",380.64,0,98.59,-,
20,"2,113.92","2,144.64",357.84,0,98.6,-,
21,"2,046.72","2,088.00",374.64,0,98.37,-,
22,"1,798.80","1,928.64",241.68,0,99.11,-,
23,"1,595.28","1,638.72",170.16,0,99.44,-,
24,"1,416.00","1,521.60",84.96,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,375.84,"1,503.36",42.72,0,99.36,100,
30,360.48,"1,441.92",30.24,0,99.65,100,
45,340.56,"1,362.24",24.48,0,99.74,100,
100,320.16,"1,280.64",18.72,0,99.83,100,
115,321.6,"1,286.40",18,0,99.84,100,
130,307.68,"1,230.72",10.32,0,99.94,100,
145,297.36,"1,189.44",7.2,0.24,99.97,100,
200,307.68,"1,230.72",14.16,0,99.89,100,
215,310.32,"1,241.28",13.68,0,99.9,100,
230,304.08,"1,216.32",11.04,0,99.93,100,
245,305.52,"1,222.08",8.4,0,99.96,100,
300,306,"1,224.00",9.12,0,99.96,100,
315,299.52,"1,198.08",7.44,0,99.97,100,
330,307.44,"1,229.76",11.76,0,99.93,100,
345,314.64,"1,258.56",15.84,0,99.87,100,
400,305.04,"1,220.16",7.92,0,99.97,100,
415,326.64,"1,306.56",12.24,0,99.93,100,
430,324.96,"1,299.84",11.04,0,99.94,100,
445,324.24,"1,296.96",10.56,0,99.95,100,
500,332.4,"1,329.60",11.28,0.24,99.94,100,
515,360.96,"1,443.84",19.2,0,99.86,100,
530,378.24,"1,512.96",24.96,0,99.78,100,
545,383.76,"1,535.04",25.68,0,99.78,100,
600,402.24,"1,608.96",32.88,0,99.67,100,
615,416.64,"1,666.56",36.72,0,99.61,100,
630,435.12,"1,740.48",32.88,0,99.72,100,
645,435.12,"1,740.48",33.36,0,99.71,100,
700,440.88,"1,763.52",38.88,0,99.61,100,
715,474.72,"1,898.88",63.12,0,99.13,100,
730,495.36,"1,981.44",68.16,0,99.07,100,
745,501.84,"2,007.36",70.56,0,99.03,100,
800,525.12,"2,100.48",72.48,0,99.06,100,
815,554.88,"2,219.52",75.12,0,99.1,100,
830,582,"2,328.00",86.4,0,98.92,100,
845,594,"2,376.00",85.68,0,98.98,100,
900,588,"2,352.00",79.92,0,99.09,100,
915,593.76,"2,375.04",86.4,0,98.96,100,
930,614.16,"2,456.64",95.76,0,98.81,100,
945,637.68,"2,550.72",106.56,0,98.63,100,
1000,616.56,"2,466.24",99.36,0,98.73,100,
1015,608.4,"2,433.60",88.56,0,98.96,100,
1030,606.96,"2,427.84",86.16,0,99.01,100,
1045,624.72,"2,498.88",96.96,0,98.82,100,
1100,636.24,"2,544.96",105.6,0,98.65,100,
1115,624.72,"2,498.88",106.32,0,98.58,100,
1130,617.28,"2,469.12",99.12,0,98.74,100,
1145,597.6,"2,390.40",91.92,0,98.84,100,
1200,605.28,"2,421.12",94.8,0,98.8,100,
1215,608.64,"2,434.56",96.24,0,98.77,100,
1230,604.08,"2,416.32",85.44,0,99.01,100,
1245,591.6,"2,366.40",82.56,0,99.04,100,
1300,599.28,"2,397.12",88.8,0,98.92,100,
1315,712.32,"2,849.28",151.44,0,97.81,100,
1330,725.04,"2,900.16",153.6,0,97.83,100,
1345,710.64,"2,842.56",144.96,0,97.98,100,
1400,717.36,"2,869.44",150,0,97.88,100,
1415,709.2,"2,836.80",143.52,0,98.01,100,
1430,711.6,"2,846.40",150.72,0,97.83,100,
1445,718.56,"2,874.24",153.6,0,97.79,100,
1500,710.4,"2,841.60",151.68,0,97.8,100,
1515,698.4,"2,793.60",143.04,0,97.97,100,
1530,698.88,"2,795.52",141.84,0,98,100,
1545,698.88,"2,795.52",147.12,0,97.86,100,
1600,708,"2,832.00",152.16,0,97.77,100,
1615,696.24,"2,784.96",144,0,97.93,100,
1630,684.24,"2,736.96",134.88,0,98.11,100,
1645,691.44,"2,765.76",134.64,0,98.16,100,
1700,680.64,"2,722.56",132.96,0,98.14,100,
1715,660.24,"2,640.96",132.96,0,98.03,100,
1730,650.64,"2,602.56",127.2,0,98.14,100,
1745,617.76,"2,471.04",114.96,0,98.31,100,
1800,592.56,"2,370.24",110.4,0,98.31,100,
1815,568.32,"2,273.28",94.32,0,98.65,100,
1830,552.24,"2,208.96",87.84,0,98.76,100,
1845,554.64,"2,218.56",95.76,0,98.54,100,
1900,563.76,"2,255.04",102.72,0,98.38,100,
1915,536.16,"2,144.64",92.88,0,98.53,100,
1930,528.72,"2,114.88",87.12,0,98.67,100,
1945,524.64,"2,098.56",87.6,0,98.63,100,
2000,524.4,"2,097.60",90.24,0,98.55,100,
2015,522,"2,088.00",96.24,0,98.34,100,
2030,515.76,"2,063.04",98.64,0,98.22,100,
2045,513.6,"2,054.40",94.56,0,98.35,100,
2100,495.36,"1,981.44",85.2,0,98.55,100,
2115,482.16,"1,928.64",79.92,0,98.65,100,
2130,460.8,"1,843.20",65.52,0,99,100,
2145,425.52,"1,702.08",44.16,0,99.47,100,
2200,430.32,"1,721.28",52.08,0,99.28,100,
2215,409.68,"1,638.72",46.32,0,99.37,100,
2230,401.28,"1,605.12",43.44,0,99.42,100,
2245,393.12,"1,572.48",40.56,0,99.47,100,
2300,391.2,"1,564.80",39.84,0,99.49,100,
2315,380.4,"1,521.60",32.88,0,99.63,100,
2330,350.4,"1,401.60",16.8,0,99.89,100,
2345,339.6,"1,358.40",14.16,0,99.91,100,
2400,345.6,"1,382.40",21.12,0,99.81,100,
,,,,,,,
???,,,,,,(?),
