사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 07월 16일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"56,397.36 kWh",최대수요,"3,140.16 kW",무효전력량,,
역률최대,,지상 : 21시 30분 96.37 %,역률최소,지상 : 18시 00분 95.64 %,"지상 : 16,486.80 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,814.16","1,854.72",530.4,0,-,100,
2,"1,794.00","1,838.40",533.04,0,-,100,
3,"1,679.04","1,788.48",492.24,0,-,100,
4,"1,578.00","1,612.80",473.52,0,-,100,
5,"1,643.76","1,680.00",492.24,0,-,100,
6,"1,786.80","1,855.68",514.32,0,-,100,
7,"1,921.20","2,008.32",507.6,0,-,100,
8,"2,318.64","2,497.92",656.64,0,-,100,
9,"2,917.44","3,019.20",838.08,0,-,100,
10,"2,994.24","3,011.52",859.92,0,96.11,-,
11,"3,003.36","3,030.72",863.52,0,96.11,-,
12,"3,095.28","3,140.16",944.88,0,95.64,-,
13,"3,020.16","3,075.84",901.68,0,95.82,-,
14,"3,015.60","3,053.76",892.8,0,95.89,-,
15,"3,020.40","3,035.52",886.32,0,95.95,-,
16,"2,980.32","3,011.52",865.2,0,96.04,-,
17,"2,897.04","2,964.48",864.72,0,95.82,-,
18,"2,685.60","2,883.84",819.36,0,95.65,-,
19,"2,300.40","2,342.40",652.56,0,96.2,-,
20,"2,253.60","2,340.48",666.96,0,95.89,-,
21,"2,088.00","2,134.08",604.32,0,96.06,-,
22,"1,955.04","2,003.52",555.84,0,96.19,-,
23,"1,854.00","1,864.32",536.64,0,96.06,-,
24,"1,781.28","1,826.88",534,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,463.68,"1,854.72",138,0,95.85,100,
30,450.96,"1,803.84",132,0,95.97,100,
45,450,"1,800.00",131.04,0,96.01,100,
100,449.52,"1,798.08",129.36,0,96.1,100,
115,444.72,"1,778.88",127.92,0,96.1,100,
130,447.36,"1,789.44",133.44,0,95.83,100,
145,442.32,"1,769.28",130.8,0,95.9,100,
200,459.6,"1,838.40",140.88,0,95.61,100,
215,447.12,"1,788.48",134.16,0,95.78,100,
230,441.12,"1,764.48",127.92,0,96.04,100,
