???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 19?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"48,491.28 kWh",????,"2,952.96 kW",?????,,
????,,?? : 22? 30? 99.46 %,????,?? : 12? 00? 97.66 %,"?? : 7,243.92 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 18.72 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,192.32","1,261.44",18.72,5.28,-,100,
2,"1,179.12","1,197.12",24.72,2.88,-,100,
3,"1,157.52","1,179.84",16.32,3.84,-,100,
4,"1,153.68","1,165.44",20.4,2.4,-,100,
5,"1,196.88","1,249.92",12.72,4.32,-,100,
6,"1,402.80","1,446.72",60.96,0,-,100,
7,"1,574.40","1,675.20",85.92,0,-,100,
8,"1,860.96","2,033.28",205.68,0,-,100,
9,"2,169.84","2,208.96",290.16,0,-,100,
10,"2,322.24","2,375.04",318.72,0,99.07,-,
11,"2,847.36","2,951.04",559.44,0,98.12,-,
12,"2,921.76","2,952.96",628.08,0,97.77,-,
13,"2,839.68","2,884.80",585.36,0,97.94,-,
14,"2,844.24","2,863.68",587.28,0,97.93,-,
15,"2,856.24","2,897.28",588.72,0,97.94,-,
16,"2,749.44","2,786.88",561.6,0,97.98,-,
17,"2,704.56","2,742.72",545.52,0,98.03,-,
18,"2,543.04","2,657.28",519.36,0,97.98,-,
19,"2,146.56","2,222.40",369.6,0,98.55,-,
20,"2,040.96","2,056.32",351.84,0,98.55,-,
21,"1,931.28","1,972.80",306.72,0,98.76,-,
22,"1,796.88","1,894.08",268.56,0,98.9,-,
23,"1,566.24","1,591.68",166.8,0,99.44,-,
24,"1,493.28","1,532.16",150.72,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,315.36,"1,261.44",9.6,0.24,99.95,100,
30,287.04,"1,148.16",1.92,2.64,100,100,
45,295.68,"1,182.72",4.8,1.2,99.99,100,
100,294.24,"1,176.96",2.4,1.2,100,100,
115,299.28,"1,197.12",6.96,0,99.97,100,
130,297.36,"1,189.44",11.28,0,99.93,100,
145,293.28,"1,173.12",4.8,0.24,99.99,100,
200,289.2,"1,156.80",1.68,2.64,100,100,
215,288.96,"1,155.84",2.4,1.2,100,100,
230,292.32,"1,169.28",4.8,0.72,99.99,100,
245,294.96,"1,179.84",7.44,0,99.97,100,
300,281.28,"1,125.12",1.68,1.92,100,100,
315,285.84,"1,143.36",3.84,1.2,99.99,100,
330,287.28,"1,149.12",4.32,0.96,99.99,100,
345,289.2,"1,156.80",6,0,99.98,100,
400,291.36,"1,165.44",6.24,0.24,99.98,100,
415,287.04,"1,148.16",1.68,1.44,100,100,
430,296.64,"1,186.56",3.6,1.2,99.99,100,
445,300.72,"1,202.88",2.88,1.2,100,100,
500,312.48,"1,249.92",4.56,0.48,99.99,100,
515,341.52,"1,366.08",18.48,0,99.85,100,
530,347.76,"1,391.04",17.52,0,99.87,100,
545,361.68,"1,446.72",16.08,0,99.9,100,
600,351.84,"1,407.36",8.88,0,99.97,100,
615,366.72,"1,466.88",11.04,0,99.95,100,
630,385.44,"1,541.76",17.76,0,99.89,100,
