사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 11월 16일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"31,242.00 kWh",최대수요,"1,511.04 kW",무효전력량,,
역률최대,,지상 : 18시 30분 98.47 %,역률최소,지상 : 12시 30분 97.55 %,"지상 : 6,363.84 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,296.00","1,309.44",294.24,0,-,100,
2,"1,310.16","1,331.52",307.92,0,-,100,
3,"1,283.52","1,302.72",295.68,0,-,100,
4,"1,278.72","1,292.16",297.12,0,-,100,
5,"1,297.68","1,318.08",285.6,0,-,100,
6,"1,334.88","1,359.36",270.96,0,-,100,
7,164.64,599.04,38.64,0,-,100,
8,"1,397.76","1,439.04",270.48,0,-,100,
9,"1,368.48","1,396.80",251.04,0,-,100,
10,"1,422.72","1,440.00",276.72,0,98.16,-,
11,"1,454.88","1,511.04",286.08,0,98.12,-,
12,"1,427.28","1,442.88",282.24,0,98.1,-,
13,"1,431.36","1,458.24",312.48,0,97.7,-,
14,"1,398.24","1,455.36",285.84,0,97.97,-,
15,"1,411.68","1,448.64",297.84,0,97.85,-,
16,"1,423.20","1,447.68",298.8,0,97.87,-,
17,"1,428.00","1,447.68",286.56,0,98.05,-,
18,"1,434.96","1,488.96",287.76,0,98.05,-,
19,"1,410.00","1,437.12",250.56,0,98.46,-,
20,"1,368.48","1,424.64",256.8,0,98.28,-,
21,"1,273.44","1,290.24",229.44,0,98.42,-,
22,"1,248.48","1,280.64",246,0,98.11,-,
23,"1,200.72","1,214.40",218.64,0,98.38,-,
24,"1,176.72","1,207.68",236.4,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,327.36,"1,309.44",75.36,0,97.45,100,
30,323.76,"1,295.04",72.48,0,97.58,100,
45,322.08,"1,288.32",72.72,0,97.54,100,
100,322.8,"1,291.20",73.68,0,97.49,100,
115,327.12,"1,308.48",74.64,0,97.49,100,
130,328.08,"1,312.32",77.28,0,97.34,100,
145,332.88,"1,331.52",82.08,0,97.09,100,
200,322.08,"1,288.32",73.92,0,97.47,100,
215,324,"1,296.00",75.84,0,97.37,100,
230,318.24,"1,272.96",72.72,0,97.49,100,
245,325.68,"1,302.72",77.28,0,97.3,100,
300,315.6,"1,262.40",69.84,0,97.64,100,
315,319.2,"1,276.80",72.96,0,97.49,100,
330,317.28,"1,269.12",73.68,0,97.41,100,
345,319.2,"1,276.80",74.16,0,97.41,100,
400,323.04,"1,292.16",76.32,0,97.32,100,
415,329.52,"1,318.08",77.28,0,97.36,100,
430,317.76,"1,271.04",68.4,0,97.76,100,
445,322.56,"1,290.24",70.56,0,97.69,100,
500,327.84,"1,311.36",69.36,0,97.83,100,
515,334.8,"1,339.20",68.4,0,97.98,100,
530,339.84,"1,359.36",70.32,0,97.93,100,
545,338.88,"1,355.52",70.56,0,97.9,100,
600,321.36,"1,285.44",61.68,0,98.21,100,
615,14.88,59.52,4.08,0,96.44,100,
630,0,0,0,0,0,0,
645,0,0,0,0,0,0,
700,149.76,599.04,34.56,0,97.44,100,
715,359.76,"1,439.04",72,0,98.06,100,
730,351.84,"1,407.36",70.32,0,98.06,100,
745,342.96,"1,371.84",64.56,0,98.27,100,
800,343.2,"1,372.80",63.6,0,98.33,100,
815,336.48,"1,345.92",60.48,0,98.42,100,
830,338.16,"1,352.64",57.6,0,98.58,100,
845,344.64,"1,378.56",60.96,0,98.47,100,
900,349.2,"1,396.80",72,0,97.94,100,
915,360,"1,440.00",74.16,0,97.94,100,
930,353.52,"1,414.08",68.4,0,98.18,100,
945,354,"1,416.00",66.48,0,98.28,100,
1000,355.2,"1,420.80",67.68,0,98.23,100,
1015,354.48,"1,417.92",65.04,0,98.36,100,
1030,366.48,"1,465.92",72.96,0,98.08,100,
1045,377.76,"1,511.04",81.12,0,97.77,100,
1100,356.16,"1,424.64",66.96,0,98.28,100,
1115,358.56,"1,434.24",68.4,0,98.23,100,
1130,355.2,"1,420.80",68.16,0,98.21,100,
1145,352.8,"1,411.20",68.16,0,98.18,100,
1200,360.72,"1,442.88",77.52,0,97.77,100,
1215,364.56,"1,458.24",80.16,0,97.67,100,
1230,360.24,"1,440.96",83.28,0,97.43,100,
1245,354.24,"1,416.96",76.8,0,97.73,100,
1300,352.32,"1,409.28",72.24,0,97.96,100,
1315,346.32,"1,385.28",67.68,0,98.14,100,
1330,342.72,"1,370.88",69.84,0,97.99,100,
1345,345.36,"1,381.44",69.6,0,98.03,100,
1400,363.84,"1,455.36",78.72,0,97.74,100,
1415,362.16,"1,448.64",80.16,0,97.64,100,
1430,357.6,"1,430.40",73.44,0,97.96,100,
1445,345.36,"1,381.44",71.04,0,97.95,100,
1500,346.56,"1,386.24",73.2,0,97.84,100,
1515,355.92,"1,423.68",74.4,0,97.88,100,
1530,349.68,"1,398.72",70.56,0,98.02,100,
1545,355.68,"1,422.72",73.68,0,97.92,100,
1600,361.92,"1,447.68",80.16,0,97.63,100,
1615,355.68,"1,422.72",72.72,0,97.97,100,
1630,350.88,"1,403.52",70.08,0,98.06,100,
1645,359.52,"1,438.08",71.28,0,98.09,100,
1700,361.92,"1,447.68",72.48,0,98.05,100,
1715,354.48,"1,417.92",70.08,0,98.1,100,
1730,350.4,"1,401.60",67.92,0,98.17,100,
1745,372.24,"1,488.96",78.96,0,97.82,100,
1800,357.84,"1,431.36",70.8,0,98.1,100,
1815,351.84,"1,407.36",61.68,0,98.5,100,
1830,359.28,"1,437.12",64.08,0,98.45,100,
1845,350.88,"1,403.52",61.68,0,98.49,100,
1900,348,"1,392.00",63.12,0,98.39,100,
1915,351.12,"1,404.48",64.8,0,98.34,100,
1930,356.16,"1,424.64",70.56,0,98.09,100,
1945,336.48,"1,345.92",62.16,0,98.34,100,
2000,324.72,"1,298.88",59.28,0,98.37,100,
2015,322.56,"1,290.24",57.6,0,98.44,100,
2030,318.24,"1,272.96",57.12,0,98.43,100,
2045,315.36,"1,261.44",55.68,0,98.48,100,
2100,317.28,"1,269.12",59.04,0,98.31,100,
2115,320.16,"1,280.64",66.48,0,97.91,100,
2130,310.56,"1,242.24",60,0,98.18,100,
2145,307.92,"1,231.68",57.84,0,98.28,100,
2200,309.84,"1,239.36",61.68,0,98.08,100,
2215,303.6,"1,214.40",56.64,0,98.3,100,
2230,303.36,"1,213.44",56.4,0,98.32,100,
2245,299.76,"1,199.04",56.16,0,98.29,100,
2300,294,"1,176.00",49.44,0,98.62,100,
2315,293.76,"1,175.04",54.96,0,98.29,100,
2330,301.92,"1,207.68",65.04,0,97.76,100,
2345,286.56,"1,146.24",55.2,0,98.19,100,
2400,294.48,"1,177.92",61.2,0,97.91,100,
,,,,,,,
확인자,,,,,,(印),
