???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 23?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"49,290.24 kWh",????,"2,905.92 kW",?????,,
????,,?? : 10? 00? 99.00 %,????,?? : 13? 30? 97.80 %,"?? : 7,468.56 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 4.08 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,277.28","1,321.92",37.2,0.48,-,100,
2,"1,235.04","1,265.28",48,0.24,-,100,
3,"1,189.92","1,203.84",25.68,0.72,-,100,
4,"1,181.52","1,237.44",25.44,2.4,-,100,
5,"1,299.12","1,360.32",46.08,0.24,-,100,
6,"1,436.40","1,509.12",56.16,0,-,100,
7,"1,687.20","1,772.16",143.28,0,-,100,
8,"1,922.88","2,052.48",222,0,-,100,
9,"2,275.92","2,367.36",322.32,0,-,100,
10,"2,425.68","2,444.16",357.36,0,98.93,-,
11,"2,523.12","2,576.64",392.16,0,98.81,-,
12,"2,870.88","2,905.92",598.08,0,97.9,-,
13,"2,822.64","2,848.32",586.32,0,97.91,-,
14,"2,845.20","2,882.88",601.2,0,97.84,-,
15,"2,750.40","2,784.00",528,0,98.21,-,
16,"2,759.52","2,764.80",555.12,0,98.04,-,
17,"2,748.96","2,779.20",563.04,0,97.97,-,
18,"2,529.84","2,637.12",487.2,0,98.2,-,
19,"2,238.72","2,368.32",414.72,0,98.33,-,
20,"2,086.80","2,116.80",370.8,0,98.46,-,
21,"1,964.16","1,979.52",319.2,0,98.71,-,
22,"1,859.04","1,946.88",292.32,0,98.79,-,
23,"1,761.84","1,811.52",268.8,0,98.86,-,
24,"1,598.16","1,740.48",208.08,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,330.48,"1,321.92",14.64,0,99.9,100,
30,323.04,"1,292.16",9.6,0,99.96,100,
45,316.56,"1,266.24",7.2,0,99.97,100,
100,307.2,"1,228.80",5.76,0.48,99.98,100,
115,312.48,"1,249.92",11.76,0,99.93,100,
130,306.96,"1,227.84",10.32,0,99.94,100,
145,299.28,"1,197.12",8.16,0.24,99.96,100,
200,316.32,"1,265.28",17.76,0,99.84,100,
215,300.96,"1,203.84",7.68,0.48,99.97,100,
230,296.64,"1,186.56",5.76,0,99.98,100,
245,299.28,"1,197.12",6.48,0.24,99.98,100,
300,293.04,"1,172.16",5.76,0,99.98,100,
315,286.08,"1,144.32",3.12,1.44,99.99,100,
330,293.04,"1,172.16",5.28,0.24,99.98,100,
345,293.04,"1,172.16",5.52,0.48,99.98,100,
400,309.36,"1,237.44",11.52,0.24,99.93,100,
415,315.12,"1,260.48",9.6,0,99.95,100,
430,314.88,"1,259.52",6.48,0.24,99.98,100,
445,329.04,"1,316.16",12.72,0,99.93,100,
500,340.08,"1,360.32",17.28,0,99.87,100,
515,345.84,"1,383.36",13.44,0,99.92,100,
530,350.16,"1,400.64",13.68,0,99.92,100,
545,363.12,"1,452.48",13.68,0,99.93,100,
600,377.28,"1,509.12",15.36,0,99.92,100,
615,393.84,"1,575.36",26.88,0,99.77,100,
630,415.2,"1,660.80",31.2,0,99.72,100,
645,435.12,"1,740.48",42,0,99.54,100,
700,443.04,"1,772.16",43.2,0,99.53,100,
715,444,"1,776.00",35.04,0,99.69,100,
730,477.12,"1,908.48",56.16,0,99.31,100,
745,488.64,"1,954.56",60.96,0,99.23,100,
800,513.12,"2,052.48",69.84,0,99.09,100,
815,538.08,"2,152.32",74.4,0,99.06,100,
830,564.72,"2,258.88",80.88,0,98.99,100,
845,581.28,"2,325.12",80.16,0,99.06,100,
900,591.84,"2,367.36",86.88,0,98.94,100,
915,598.8,"2,395.20",91.2,0,98.86,100,
930,611.04,"2,444.16",92.88,0,98.86,100,
945,605.52,"2,422.08",84,0,99.05,100,
1000,610.32,"2,441.28",89.28,0,98.95,100,
1015,621.12,"2,484.48",96,0,98.83,100,
1030,625.92,"2,503.68",94.8,0,98.87,100,
1045,631.92,"2,527.68",96.72,0,98.85,100,
1100,644.16,"2,576.64",104.64,0,98.71,100,
1115,721.2,"2,884.80",146.88,0,97.99,100,
1130,726.48,"2,905.92",152.4,0,97.87,100,
1145,721.44,"2,885.76",153.84,0,97.8,100,
1200,701.76,"2,807.04",144.96,0,97.93,100,
1215,700.8,"2,803.20",144.48,0,97.94,100,
1230,699.84,"2,799.36",142.8,0,97.98,100,
1245,709.92,"2,839.68",150.24,0,97.83,100,
1300,712.08,"2,848.32",148.8,0,97.89,100,
1315,707.76,"2,831.04",151.2,0,97.79,100,
1330,706.08,"2,824.32",150.48,0,97.8,100,
1345,720.72,"2,882.88",152.64,0,97.83,100,
1400,710.64,"2,842.56",146.88,0,97.93,100,
1415,696,"2,784.00",136.32,0,98.14,100,
1430,682.08,"2,728.32",130.8,0,98.21,100,
1445,685.2,"2,740.80",127.92,0,98.3,100,
1500,687.12,"2,748.48",132.96,0,98.18,100,
1515,691.2,"2,764.80",143.28,0,97.92,100,
1530,689.76,"2,759.04",137.28,0,98.08,100,
1545,690,"2,760.00",134.4,0,98.16,100,
1600,688.56,"2,754.24",140.16,0,97.99,100,
1615,694.8,"2,779.20",145.44,0,97.88,100,
1630,688.32,"2,753.28",138.48,0,98.04,100,
1645,693.12,"2,772.48",143.28,0,97.93,100,
1700,672.72,"2,690.88",135.84,0,98.02,100,
1715,659.28,"2,637.12",124.32,0,98.27,100,
1730,653.04,"2,612.16",126.48,0,98.18,100,
1745,622.8,"2,491.20",119.76,0,98.2,100,
1800,594.72,"2,378.88",116.64,0,98.13,100,
1815,592.08,"2,368.32",122.88,0,97.91,100,
1830,562.56,"2,250.24",104.64,0,98.31,100,
1845,548.88,"2,195.52",94.8,0,98.54,100,
1900,535.2,"2,140.80",92.4,0,98.54,100,
1915,529.2,"2,116.80",94.32,0,98.45,100,
1930,525.84,"2,103.36",95.76,0,98.38,100,
1945,524.64,"2,098.56",96,0,98.37,100,
2000,507.12,"2,028.48",84.72,0,98.63,100,
2015,494.88,"1,979.52",82.08,0,98.65,100,
2030,494.4,"1,977.60",80.88,0,98.69,100,
2045,488.4,"1,953.60",74.64,0,98.85,100,
2100,486.48,"1,945.92",81.6,0,98.62,100,
