사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 10월 02일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"46,436.88 kWh",최대수요,"2,875.20 kW",무효전력량,,
역률최대,,지상 : 22시 00분 99.87 %,역률최소,지상 : 15시 30분 97.58 %,"지상 : 6,370.56 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.72 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,258.32","1,275.84",46.08,0,-,100,
2,"1,243.44","1,253.76",45.12,0.24,-,100,
3,"1,225.68","1,239.36",46.8,0,-,100,
4,"1,240.32","1,257.60",55.2,0,-,100,
5,"1,336.08","1,358.40",71.04,0,-,100,
6,"1,509.36","1,556.16",99.36,0,-,100,
7,"1,699.68","1,754.88",144.48,0,-,100,
8,"1,956.72","2,088.00",260.88,0,-,100,
9,"2,316.00","2,444.16",347.52,0,-,100,
10,"2,392.32","2,437.44",357.12,0,98.9,-,
11,"2,409.36","2,436.48",369.36,0,98.85,-,
12,"2,441.76","2,462.40",392.64,0,98.73,-,
13,"2,428.56","2,560.32",405.12,0,98.64,-,
14,"2,855.28","2,875.20",623.28,0,97.7,-,
15,"2,778.72","2,793.60",580.8,0,97.88,-,
16,"2,806.32","2,845.44",613.44,0,97.69,-,
17,"2,703.36","2,731.20",561.84,0,97.91,-,
18,"2,479.68","2,605.44",489.12,0,98.11,-,
19,"2,038.56","2,170.56",333.6,0,98.69,-,
20,"1,745.52","1,901.76",213.12,0,99.26,-,
21,"1,523.04","1,571.52",107.04,0,99.75,-,
22,"1,436.40","1,469.76",80.16,0,99.84,-,
23,"1,332.72","1,360.32",72.48,0,99.85,-,
24,"1,279.68","1,312.32",54.96,0.48,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,318.96,"1,275.84",12.48,0,99.92,100,
30,313.92,"1,255.68",12.72,0,99.92,100,
45,310.8,"1,243.20",8.64,0,99.96,100,
100,314.64,"1,258.56",12.24,0,99.92,100,
115,313.44,"1,253.76",12.48,0,99.92,100,
130,308.64,"1,234.56",7.68,0,99.97,100,
145,309.12,"1,236.48",10.32,0.24,99.94,100,
200,312.24,"1,248.96",14.64,0,99.89,100,
215,307.2,"1,228.80",10.56,0,99.94,100,
230,302.16,"1,208.64",8.88,0,99.96,100,
245,306.48,"1,225.92",12,0,99.92,100,
300,309.84,"1,239.36",15.36,0,99.88,100,
315,306.72,"1,226.88",13.68,0,99.9,100,
330,309.84,"1,239.36",15.36,0,99.88,100,
345,309.36,"1,237.44",12.48,0,99.92,100,
400,314.4,"1,257.60",13.68,0,99.91,100,
415,324.96,"1,299.84",18.24,0,99.84,100,
430,339.6,"1,358.40",21.6,0,99.8,100,
445,331.92,"1,327.68",13.44,0,99.92,100,
500,339.6,"1,358.40",17.76,0,99.86,100,
515,355.44,"1,421.76",22.08,0,99.81,100,
530,377.04,"1,508.16",26.4,0,99.76,100,
545,387.84,"1,551.36",24.72,0,99.8,100,
600,389.04,"1,556.16",26.16,0,99.77,100,
615,410.88,"1,643.52",31.68,0,99.7,100,
630,424.08,"1,696.32",37.2,0,99.62,100,
645,426,"1,704.00",36.24,0,99.64,100,
700,438.72,"1,754.88",39.36,0,99.6,100,
715,449.28,"1,797.12",44.88,0,99.5,100,
730,488.88,"1,955.52",67.44,0,99.06,100,
745,496.56,"1,986.24",71.76,0,98.97,100,
800,522,"2,088.00",76.8,0,98.93,100,
815,545.52,"2,182.08",80.4,0,98.93,100,
830,570,"2,280.00",84.24,0,98.93,100,
845,589.44,"2,357.76",88.56,0,98.89,100,
900,611.04,"2,444.16",94.32,0,98.83,100,
915,596.4,"2,385.60",84.72,0,99.01,100,
930,597.36,"2,389.44",87.12,0,98.95,100,
945,589.2,"2,356.80",85.44,0,98.96,100,
1000,609.36,"2,437.44",99.84,0,98.68,100,
1015,599.28,"2,397.12",93.84,0,98.8,100,
1030,597.84,"2,391.36",89.52,0,98.9,100,
1045,603.12,"2,412.48",91.92,0,98.86,100,
1100,609.12,"2,436.48",94.08,0,98.83,100,
1115,615.6,"2,462.40",101.04,0,98.68,100,
1130,613.92,"2,455.68",100.32,0,98.69,100,
1145,608.64,"2,434.56",96.96,0,98.75,100,
1200,603.6,"2,414.40",94.32,0,98.8,100,
1215,589.44,"2,357.76",91.2,0,98.82,100,
1230,601.92,"2,407.68",100.8,0,98.63,100,
1245,597.12,"2,388.48",96,0,98.73,100,
1300,640.08,"2,560.32",117.12,0,98.37,100,
1315,709.68,"2,838.72",154.8,0,97.7,100,
1330,714.72,"2,858.88",154.8,0,97.73,100,
1345,718.8,"2,875.20",155.76,0,97.73,100,
1400,712.08,"2,848.32",157.92,0,97.63,100,
1415,698.4,"2,793.60",141.12,0,98.02,100,
1430,694.56,"2,778.24",141.12,0,98,100,
1445,689.04,"2,756.16",144,0,97.89,100,
1500,696.72,"2,786.88",154.56,0,97.63,100,
1515,708,"2,832.00",162,0,97.48,100,
1530,711.36,"2,845.44",156.24,0,97.67,100,
1545,705.6,"2,822.40",153.12,0,97.73,100,
1600,681.36,"2,725.44",142.08,0,97.89,100,
1615,677.76,"2,711.04",140.16,0,97.93,100,
1630,682.8,"2,731.20",143.04,0,97.88,100,
1645,674.16,"2,696.64",141.6,0,97.86,100,
1700,668.64,"2,674.56",137.04,0,97.96,100,
1715,651.36,"2,605.44",130.08,0,98.06,100,
1730,634.08,"2,536.32",122.88,0,98.17,100,
1745,607.68,"2,430.72",119.76,0,98.11,100,
1800,586.56,"2,346.24",116.4,0,98.09,100,
1815,542.64,"2,170.56",94.32,0,98.52,100,
