사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 12월 17일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"50,617.44 kWh",최대수요,"2,795.52 kW",무효전력량,,
역률최대,,지상 : 15시 00분 97.77 %,역률최소,지상 : 23시 00분 96.44 %,"지상 : 12,476.88 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,519.68","1,549.44",402,0,-,100,
2,"1,482.24","1,499.52",390.72,0,-,100,
3,"1,466.64","1,483.20",378.96,0,-,100,
4,"1,480.32","1,504.32",386.88,0,-,100,
5,"1,573.20","1,589.76",388.32,0,-,100,
6,"1,680.00","1,733.76",378.48,0,-,100,
7,"1,887.12","1,975.68",436.32,0,-,100,
8,"2,230.32","2,401.92",570.24,0,-,100,
9,"2,570.40","2,692.80",654,0,-,100,
10,"2,747.76","2,764.80",671.52,0,97.14,-,
11,"2,740.32","2,772.48",650.16,0,97.3,-,
12,"2,754.48","2,795.52",651.84,0,97.31,-,
13,"2,684.64","2,721.60",658.08,0,97.12,-,
14,"2,700.24","2,752.32",661.2,0,97.13,-,
15,"2,676.48","2,765.76",604.8,0,97.54,-,
16,"2,619.84","2,647.68",637.92,0,97.16,-,
17,"2,553.84","2,575.68",613.44,0,97.23,-,
18,"2,387.04","2,497.92",564,0,97.32,-,
19,"2,108.64","2,187.84",508.08,0,97.22,-,
20,"1,998.96","2,032.32",515.76,0,96.83,-,
21,"1,892.64","1,938.24",490.32,0,96.8,-,
22,"1,740.24","1,822.08",452.16,0,96.79,-,
23,"1,603.92","1,617.60",422.88,0,96.7,-,
24,"1,518.48","1,525.44",388.8,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,376.8,"1,507.20",99.36,0,96.69,100,
30,376.8,"1,507.20",98.64,0,96.74,100,
45,378.72,"1,514.88",98.4,0,96.79,100,
100,387.36,"1,549.44",105.6,0,96.48,100,
115,374.88,"1,499.52",98.4,0,96.72,100,
130,368.16,"1,472.64",95.76,0,96.78,100,
145,372.24,"1,488.96",99.84,0,96.59,100,
200,366.96,"1,467.84",96.72,0,96.7,100,
215,370.8,"1,483.20",98.88,0,96.62,100,
230,368.64,"1,474.56",95.52,0,96.8,100,
245,360.96,"1,443.84",90.96,0,96.97,100,
300,366.24,"1,464.96",93.6,0,96.89,100,
315,367.44,"1,469.76",96.24,0,96.74,100,
330,376.08,"1,504.32",102.24,0,96.5,100,
345,365.04,"1,460.16",91.68,0,96.99,100,
400,371.76,"1,487.04",96.72,0,96.78,100,
415,386.16,"1,544.64",96.72,0,97,100,
430,397.44,"1,589.76",102.24,0,96.85,100,
445,394.32,"1,577.28",96.96,0,97.11,100,
500,395.28,"1,581.12",92.4,0,97.37,100,
515,403.68,"1,614.72",93.12,0,97.44,100,
530,417.12,"1,668.48",94.56,0,97.53,100,
545,433.44,"1,733.76",99.84,0,97.45,100,
600,425.76,"1,703.04",90.96,0,97.79,100,
615,446.16,"1,784.64",102,0,97.48,100,
630,461.76,"1,847.04",98.64,0,97.79,100,
645,485.28,"1,941.12",112.8,0,97.4,100,
700,493.92,"1,975.68",122.88,0,97.04,100,
715,511.92,"2,047.68",126.96,0,97.06,100,
730,546.48,"2,185.92",138.72,0,96.93,100,
745,571.44,"2,285.76",144,0,96.97,100,
800,600.48,"2,401.92",160.56,0,96.61,100,
815,612.72,"2,450.88",160.8,0,96.72,100,
830,631.92,"2,527.68",160.8,0,96.91,100,
845,652.56,"2,610.24",161.76,0,97.06,100,
900,673.2,"2,692.80",170.64,0,96.93,100,
915,688.56,"2,754.24",175.2,0,96.91,100,
930,691.2,"2,764.80",168.96,0,97.14,100,
945,688.32,"2,753.28",165.12,0,97.24,100,
1000,679.68,"2,718.72",162.24,0,97.27,100,
1015,678.48,"2,713.92",162.48,0,97.25,100,
1030,676.08,"2,704.32",160.08,0,97.31,100,
1045,692.64,"2,770.56",163.92,0,97.31,100,
1100,693.12,"2,772.48",163.68,0,97.32,100,
1115,685.92,"2,743.68",160.08,0,97.38,100,
1130,698.88,"2,795.52",167.52,0,97.25,100,
1145,687.12,"2,748.48",160.32,0,97.38,100,
1200,682.56,"2,730.24",163.92,0,97.24,100,
1215,666.48,"2,665.92",155.28,0,97.39,100,
1230,660.48,"2,641.92",158.4,0,97.24,100,
1245,680.4,"2,721.60",171.6,0,96.96,100,
1300,677.28,"2,709.12",172.8,0,96.9,100,
1315,674.16,"2,696.64",170.4,0,96.95,100,
1330,666.72,"2,666.88",160.56,0,97.22,100,
1345,671.28,"2,685.12",161.04,0,97.24,100,
1400,688.08,"2,752.32",169.2,0,97.11,100,
1415,691.44,"2,765.76",172.32,0,97.03,100,
1430,665.52,"2,662.08",148.8,0,97.59,100,
1445,663.84,"2,655.36",143.04,0,97.76,100,
1500,655.68,"2,622.72",140.64,0,97.78,100,
1515,661.92,"2,647.68",161.28,0,97.16,100,
1530,658.08,"2,632.32",161.04,0,97.13,100,
1545,649.68,"2,598.72",156.72,0,97.21,100,
1600,650.16,"2,600.64",158.88,0,97.14,100,
1615,640.56,"2,562.24",154.56,0,97.21,100,
1630,643.92,"2,575.68",155.52,0,97.21,100,
1645,634.08,"2,536.32",150.96,0,97.28,100,
1700,635.28,"2,541.12",152.4,0,97.24,100,
1715,624.48,"2,497.92",145.44,0,97.39,100,
1730,615.12,"2,460.48",144,0,97.37,100,
1745,580.56,"2,322.24",135.84,0,97.37,100,
1800,566.88,"2,267.52",138.72,0,97.13,100,
1815,546.96,"2,187.84",132,0,97.21,100,
1830,523.92,"2,095.68",124.56,0,97.29,100,
1845,522,"2,088.00",125.04,0,97.25,100,
1900,515.76,"2,063.04",126.48,0,97.12,100,
1915,504.72,"2,018.88",127.44,0,96.96,100,
1930,508.08,"2,032.32",134.64,0,96.66,100,
1945,493.68,"1,974.72",123.12,0,97.03,100,
2000,492.48,"1,969.92",130.56,0,96.66,100,
2015,484.56,"1,938.24",125.76,0,96.79,100,
2030,474.48,"1,897.92",118.56,0,97.02,100,
2045,466.08,"1,864.32",120.24,0,96.83,100,
2100,467.52,"1,870.08",125.76,0,96.57,100,
2115,455.52,"1,822.08",122.4,0,96.57,100,
2130,435.84,"1,743.36",113.76,0,96.76,100,
2145,427.2,"1,708.80",110.88,0,96.79,100,
2200,421.68,"1,686.72",105.12,0,97.03,100,
2215,401.76,"1,607.04",100.56,0,97.01,100,
2230,399.12,"1,596.48",102,0,96.89,100,
2245,404.4,"1,617.60",110.4,0,96.47,100,
2300,398.64,"1,594.56",109.92,0,96.4,100,
2315,379.92,"1,519.68",94.56,0,97.04,100,
2330,378.72,"1,514.88",94.56,0,97.02,100,
2345,378.48,"1,513.92",96,0,96.93,100,
2400,381.36,"1,525.44",103.68,0,96.5,100,
,,,,,,,
확인자,,,,,,(印),
