???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 25?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"50,587.68 kWh",????,"3,004.80 kW",?????,,
????,,?? : 23? 00? 98.91 %,????,?? : 15? 00? 97.52 %,"?? : 8,238.48 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,295.28","1,339.20",56.88,0,-,100,
2,"1,243.92","1,263.36",35.04,0,-,100,
3,"1,240.32","1,268.16",54,0,-,100,
4,"1,206.72","1,216.32",40.56,0,-,100,
5,"1,294.56","1,317.12",49.44,0,-,100,
6,"1,473.36","1,515.84",77.04,0,-,100,
7,"1,718.16","1,850.88",176.16,0,-,100,
8,"1,920.96","2,025.60",266.88,0,-,100,
9,"2,370.96","2,504.64",373.68,0,-,100,
10,"2,694.96","2,905.92",491.04,0,98.38,-,
11,"2,903.28","2,926.08",605.52,0,97.89,-,
12,"2,846.40","2,935.68",599.28,0,97.85,-,
13,"2,770.32","2,786.88",576.96,0,97.9,-,
14,"2,838.72","2,858.88",577.92,0,97.99,-,
15,"2,933.04","3,004.80",655.2,0,97.59,-,
16,"2,901.12","2,929.92",610.32,0,97.86,-,
17,"2,777.28","2,834.88",550.8,0,98.09,-,
18,"2,567.52","2,728.32",497.04,0,98.18,-,
19,"2,181.36","2,201.28",376.8,0,98.54,-,
20,"2,088.96","2,117.76",371.04,0,98.46,-,
21,"2,036.88","2,074.56",363.12,0,98.45,-,
22,"1,933.92","1,973.76",333.12,0,98.55,-,
23,"1,752.72","1,855.68",278.88,0,98.76,-,
24,"1,596.96","1,621.44",221.76,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,334.8,"1,339.20",18.24,0,99.85,100,
30,325.2,"1,300.80",16.56,0,99.87,100,
45,317.28,"1,269.12",11.04,0,99.94,100,
100,318,"1,272.00",11.04,0,99.94,100,
115,315.84,"1,263.36",9.36,0,99.96,100,
130,309.6,"1,238.40",7.68,0,99.97,100,
145,310.08,"1,240.32",9.12,0,99.96,100,
200,308.4,"1,233.60",8.88,0,99.96,100,
215,312.48,"1,249.92",12.48,0,99.92,100,
230,317.04,"1,268.16",17.52,0,99.85,100,
245,309.36,"1,237.44",15.12,0,99.88,100,
300,301.44,"1,205.76",8.88,0,99.96,100,
315,304.08,"1,216.32",11.52,0,99.93,100,
330,301.44,"1,205.76",10.32,0,99.94,100,
345,297.6,"1,190.40",8.88,0,99.96,100,
400,303.6,"1,214.40",9.84,0,99.95,100,
415,319.68,"1,278.72",14.4,0,99.9,100,
430,321.36,"1,285.44",12.72,0,99.92,100,
445,324.24,"1,296.96",11.28,0,99.94,100,
500,329.28,"1,317.12",11.04,0,99.94,100,
515,356.4,"1,425.60",21.36,0,99.82,100,
530,369.6,"1,478.40",18.96,0,99.87,100,
545,368.4,"1,473.60",17.28,0,99.89,100,
600,378.96,"1,515.84",19.44,0,99.87,100,
615,396.72,"1,586.88",24.48,0,99.81,100,
630,420,"1,680.00",33.36,0,99.69,100,
645,438.72,"1,754.88",50.88,0,99.33,100,
700,462.72,"1,850.88",67.44,0,98.95,100,
715,457.44,"1,829.76",62.4,0,99.08,100,
730,472.08,"1,888.32",63.12,0,99.12,100,
745,485.04,"1,940.16",69.6,0,98.99,100,
800,506.4,"2,025.60",71.76,0,99.01,100,
815,531.84,"2,127.36",71.04,0,99.12,100,
830,596.16,"2,384.64",94.08,0,98.78,100,
845,626.16,"2,504.64",109.44,0,98.51,100,
900,616.8,"2,467.20",99.12,0,98.73,100,
915,629.04,"2,516.16",99.36,0,98.78,100,
930,643.92,"2,575.68",106.56,0,98.66,100,
945,695.52,"2,782.08",134.88,0,98.17,100,
1000,726.48,"2,905.92",150.24,0,97.93,100,
1015,726.72,"2,906.88",149.04,0,97.96,100,
1030,724.32,"2,897.28",147.84,0,97.98,100,
1045,720.72,"2,882.88",150.24,0,97.9,100,
1100,731.52,"2,926.08",158.4,0,97.73,100,
1115,733.92,"2,935.68",162.24,0,97.64,100,
1130,713.04,"2,852.16",145.44,0,97.98,100,
1145,712.08,"2,848.32",150,0,97.85,100,
1200,687.36,"2,749.44",141.6,0,97.94,100,
1215,696.72,"2,786.88",145.44,0,97.89,100,
1230,691.92,"2,767.68",149.76,0,97.74,100,
1245,691.2,"2,764.80",141.6,0,97.97,100,
1300,690.48,"2,761.92",140.16,0,98,100,
1315,701.52,"2,806.08",143.76,0,97.96,100,
1330,708.24,"2,832.96",147.84,0,97.89,100,
1345,714.72,"2,858.88",142.32,0,98.07,100,
1400,714.24,"2,856.96",144,0,98.03,100,
1415,720,"2,880.00",151.44,0,97.86,100,
1430,751.2,"3,004.80",172.32,0,97.47,100,
1445,741.6,"2,966.40",176.4,0,97.29,100,
1500,720.24,"2,880.96",155.04,0,97.76,100,
1515,712.56,"2,850.24",149.28,0,97.88,100,
1530,726.24,"2,904.96",150,0,97.93,100,
1545,732.48,"2,929.92",153.36,0,97.88,100,
1600,729.84,"2,919.36",157.68,0,97.74,100,
1615,708.72,"2,834.88",144.72,0,97.98,100,
1630,697.68,"2,790.72",137.28,0,98.12,100,
1645,686.64,"2,746.56",134.4,0,98.14,100,
1700,684.24,"2,736.96",134.4,0,98.12,100,
1715,682.08,"2,728.32",134.64,0,98.11,100,
1730,674.16,"2,696.64",139.2,0,97.93,100,
1745,615.12,"2,460.48",113.04,0,98.35,100,
1800,596.16,"2,384.64",110.16,0,98.34,100,
1815,550.32,"2,201.28",92.64,0,98.61,100,
1830,539.04,"2,156.16",88.08,0,98.69,100,
1845,547.2,"2,188.80",97.2,0,98.46,100,
1900,544.8,"2,179.20",98.88,0,98.39,100,
1915,529.44,"2,117.76",96.48,0,98.38,100,
1930,520.32,"2,081.28",92.4,0,98.46,100,
1945,520.8,"2,083.20",90.72,0,98.52,100,
2000,518.4,"2,073.60",91.44,0,98.48,100,
2015,518.64,"2,074.56",92.88,0,98.43,100,
2030,516.48,"2,065.92",96,0,98.32,100,
2045,502.8,"2,011.20",88.08,0,98.5,100,
2100,498.96,"1,995.84",86.16,0,98.54,100,
2115,483.84,"1,935.36",81.6,0,98.61,100,
2130,473.76,"1,895.04",79.92,0,98.61,100,
2145,482.88,"1,931.52",81.6,0,98.6,100,
2200,493.44,"1,973.76",90,0,98.38,100,
2215,463.92,"1,855.68",79.44,0,98.57,100,
2230,450.48,"1,801.92",74.88,0,98.65,100,
2245,436.08,"1,744.32",68.4,0,98.79,100,
2300,402.24,"1,608.96",56.16,0,99.04,100,
2315,400.56,"1,602.24",54.48,0,99.09,100,
2330,404.64,"1,618.56",55.68,0,99.07,100,
2345,405.36,"1,621.44",62.16,0,98.84,100,
2400,386.4,"1,545.60",49.44,0,99.19,100,
,,,,,,,
???,,,,,,(?),
