사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 05월 12일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"38,370.00 kWh",최대수요,"2,091.84 kW",무효전력량,,
역률최대,,지상 : 18시 30분 98.28 %,역률최소,지상 : 13시 00분 97.55 %,"지상 : 7,951.44 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,211.76","1,217.28",276,0,-,100,
2,"1,198.80","1,213.44",271.2,0,-,100,
3,"1,178.40","1,207.68",257.28,0,-,100,
4,"1,176.00","1,202.88",250.8,0,-,100,
5,"1,246.80","1,276.80",261.12,0,-,100,
6,"1,298.88","1,314.24",229.2,0,-,100,
7,"1,426.56","1,509.12",247.68,0,-,100,
8,"1,680.48","1,751.04",373.44,0,-,100,
9,"1,914.96","1,954.56",404.4,0,-,100,
10,"2,046.72","2,070.72",424.56,0,97.92,-,
11,"2,012.16","2,044.80",404.4,0,98.04,-,
12,"2,061.36","2,091.84",420.96,0,97.98,-,
13,"2,040.00","2,048.64",459.12,0,97.56,-,
14,"1,996.08","2,034.24",424.08,0,97.82,-,
15,"1,961.76","1,995.84",382.8,0,98.15,-,
16,"1,958.88","1,996.80",403.92,0,97.94,-,
17,"1,930.56","1,947.84",410.64,0,97.81,-,
18,"1,764.96","1,917.12",367.44,0,97.9,-,
19,"1,522.80","1,566.72",289.92,0,98.24,-,
20,"1,481.76","1,497.60",291.36,0,98.12,-,
21,"1,453.92","1,470.72",297.36,0,97.97,-,
22,"1,361.76","1,412.16",280.32,0,97.95,-,
23,"1,255.68","1,299.84",276,0,97.67,-,
24,"1,188.96","1,214.40",247.44,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,304.32,"1,217.28",67.68,0,97.62,100,
30,300.96,"1,203.84",71.52,0,97.29,100,
45,302.4,"1,209.60",69.84,0,97.44,100,
100,304.08,"1,216.32",66.96,0,97.66,100,
115,303.36,"1,213.44",67.92,0,97.58,100,
130,298.32,"1,193.28",67.68,0,97.52,100,
145,295.92,"1,183.68",66.96,0,97.53,100,
200,301.2,"1,204.80",68.64,0,97.5,100,
215,301.92,"1,207.68",68.4,0,97.53,100,
230,290.16,"1,160.64",60.96,0,97.86,100,
245,292.32,"1,169.28",63.12,0,97.75,100,
300,294,"1,176.00",64.8,0,97.66,100,
315,288,"1,152.00",61.68,0,97.78,100,
330,289.44,"1,157.76",62.64,0,97.74,100,
345,300.72,"1,202.88",63.12,0,97.87,100,
400,297.84,"1,191.36",63.36,0,97.81,100,
415,300.24,"1,200.96",61.68,0,97.95,100,
430,319.2,"1,276.80",69.84,0,97.69,100,
445,312,"1,248.00",66.24,0,97.82,100,
500,315.36,"1,261.44",63.36,0,98.04,100,
515,322.32,"1,289.28",62.4,0,98.18,100,
