사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 07월 20일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"59,347.20 kWh",최대수요,"3,304.32 kW",무효전력량,,
역률최대,,지상 : 14시 00분 96.54 %,역률최소,지상 : 22시 30분 95.30 %,"지상 : 17,225.28 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,775.52","1,800.00",542.16,0,-,100,
2,"1,772.64","1,804.80",535.44,0,-,100,
3,"1,660.80","1,728.00",506.64,0,-,100,
4,"1,575.84","1,579.20",480.72,0,-,100,
5,"1,669.20","1,731.84",507.36,0,-,100,
6,"1,787.28","1,807.68",496.32,0,-,100,
7,"2,000.16","2,081.28",540,0,-,100,
8,"2,488.80","2,773.44",742.08,0,-,100,
9,"3,043.68","3,109.44",911.52,0,-,100,
10,"3,183.60","3,251.52",923.76,0,96.04,-,
11,"3,162.72","3,182.40",887.52,0,96.28,-,
12,"3,162.96","3,203.52",881.04,0,96.33,-,
13,"3,129.12","3,158.40",867.12,0,96.37,-,
14,"3,138.96","3,151.68",864.96,0,96.41,-,
15,"3,186.72","3,205.44",882.24,0,96.37,-,
16,"3,222.72","3,304.32",905.76,0,96.27,-,
17,"3,139.20","3,246.72",902.64,0,96.11,-,
18,"2,864.16","3,010.56",825.84,0,96.09,-,
19,"2,475.60","2,541.12",702.96,0,96.2,-,
20,"2,391.36","2,435.52",705.6,0,95.91,-,
21,"2,256.48","2,293.44",651.6,0,96.07,-,
22,"2,164.32","2,198.40",657.12,0,95.69,-,
23,"2,079.60","2,112.00",660.48,0,95.31,-,
24,"2,015.76","2,054.40",644.4,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,445.44,"1,781.76",139.2,0,95.45,100,
30,439.2,"1,756.80",134.16,0,95.64,100,
45,440.88,"1,763.52",132.72,0,95.76,100,
100,450,"1,800.00",136.08,0,95.72,100,
115,444.96,"1,779.84",133.68,0,95.77,100,
130,439.44,"1,757.76",130.08,0,95.89,100,
145,451.2,"1,804.80",141.12,0,95.44,100,
200,437.04,"1,748.16",130.56,0,95.82,100,
215,432,"1,728.00",127.68,0,95.9,100,
230,420.72,"1,682.88",126.24,0,95.78,100,
245,408.96,"1,635.84",126,0,95.57,100,
300,399.12,"1,596.48",126.72,0,95.31,100,
315,394.8,"1,579.20",119.52,0,95.71,100,
330,394.8,"1,579.20",120,0,95.68,100,
345,391.68,"1,566.72",118.56,0,95.71,100,
400,394.56,"1,578.24",122.64,0,95.49,100,
415,405.12,"1,620.48",126.96,0,95.42,100,
430,412.32,"1,649.28",126.96,0,95.57,100,
445,418.8,"1,675.20",124.8,0,95.84,100,
500,432.96,"1,731.84",128.64,0,95.86,100,
515,442.08,"1,768.32",129.6,0,95.96,100,
530,448.8,"1,795.20",126.96,0,96.22,100,
545,444.48,"1,777.92",120.72,0,96.5,100,
600,451.92,"1,807.68",119.04,0,96.7,100,
