사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 11월 15일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"38,409.12 kWh",최대수요,"2,030.40 kW",무효전력량,,
역률최대,,지상 : 15시 00분 98.13 %,역률최소,지상 : 09시 30분 97.15 %,"지상 : 8,494.08 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,318.56","1,327.68",324.48,0,-,100,
2,"1,315.68","1,328.64",282.48,0,-,100,
3,"1,335.12","1,366.08",290.16,0,-,100,
4,"1,364.88","1,398.72",301.92,0,-,100,
5,"1,439.28","1,471.68",320.16,0,-,100,
6,"1,488.48","1,506.24",317.76,0,-,100,
7,"1,671.12","1,779.84",365.52,0,-,100,
8,"1,833.60","1,904.64",457.2,0,-,100,
9,"1,942.32","1,954.56",472.32,0,-,100,
10,"1,962.48","1,985.28",466.8,0,97.29,-,
11,"1,952.88","2,025.60",455.52,0,97.39,-,
12,"1,961.52","2,030.40",456.96,0,97.39,-,
13,"1,796.88","1,842.24",410.64,0,97.49,-,
14,"1,745.28","1,775.04",380.64,0,97.7,-,
15,"1,646.16","1,742.40",330.48,0,98.04,-,
16,"1,567.68","1,578.24",314.4,0,98.05,-,
17,"1,618.32","1,649.28",335.04,0,97.92,-,
18,"1,610.64","1,640.64",328.08,0,97.99,-,
19,"1,560.48","1,598.40",323.76,0,97.91,-,
20,"1,561.92","1,616.64",336,0,97.76,-,
21,"1,531.20","1,553.28",312.48,0,97.98,-,
22,"1,462.80","1,504.32",306.96,0,97.87,-,
23,"1,368.72","1,395.84",291.36,0,97.81,-,
24,"1,353.12","1,383.36",312.96,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,331.92,"1,327.68",81.6,0,97.11,100,
30,329.04,"1,316.16",81.12,0,97.09,100,
45,329.76,"1,319.04",82.32,0,97.02,100,
100,327.84,"1,311.36",79.44,0,97.19,100,
115,327.36,"1,309.44",70.56,0,97.75,100,
130,332.16,"1,328.64",72,0,97.73,100,
145,327.6,"1,310.40",70.56,0,97.76,100,
200,328.56,"1,314.24",69.36,0,97.84,100,
215,330.96,"1,323.84",68.88,0,97.9,100,
230,333.6,"1,334.40",72.24,0,97.73,100,
245,341.52,"1,366.08",78.48,0,97.46,100,
300,329.04,"1,316.16",70.56,0,97.78,100,
315,330,"1,320.00",72.24,0,97.69,100,
330,338.4,"1,353.60",75.12,0,97.62,100,
345,346.8,"1,387.20",77.04,0,97.62,100,
400,349.68,"1,398.72",77.52,0,97.63,100,
415,365.28,"1,461.12",85.44,0,97.37,100,
430,350.16,"1,400.64",75.84,0,97.73,100,
445,355.92,"1,423.68",76.8,0,97.75,100,
500,367.92,"1,471.68",82.08,0,97.6,100,
