사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 03월 25일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"42,266.16 kWh",최대수요,"2,396.16 kW",무효전력량,,
역률최대,,지상 : 14시 30분 98.05 %,역률최소,지상 : 11시 00분 96.99 %,"지상 : 9,891.84 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,346.40","1,361.28",347.04,0,-,100,
2,"1,322.64","1,334.40",322.56,0,-,100,
3,"1,307.76","1,333.44",323.76,0,-,100,
4,"1,317.36","1,324.80",325.2,0,-,100,
5,"1,410.00","1,453.44",327.6,0,-,100,
6,"1,548.00","1,574.40",367.44,0,-,100,
7,"1,692.96","1,826.88",402.48,0,-,100,
8,"2,002.32","2,131.20",495.84,0,-,100,
9,"2,255.28","2,284.80",561.12,0,-,100,
10,"2,294.16","2,333.76",540.72,0,97.33,-,
11,"2,324.16","2,374.08",565.92,0,97.16,-,
12,"2,336.64","2,396.16",565.92,0,97.19,-,
13,"2,198.16","2,275.20",523.68,0,97.28,-,
14,"2,111.04","2,150.40",478.56,0,97.53,-,
15,"2,022.72","2,046.72",412.08,0,97.99,-,
16,"1,991.28","2,040.00",424.8,0,97.8,-,
17,"1,952.64","1,999.68",412.32,0,97.84,-,
18,"1,858.32","1,933.44",426.48,0,97.47,-,
19,"1,679.04","1,726.08",359.28,0,97.79,-,
20,"1,633.44","1,675.20",367.92,0,97.56,-,
21,"1,543.92","1,589.76",347.04,0,97.57,-,
22,"1,463.28","1,490.88",346.56,0,97.31,-,
23,"1,344.24","1,376.64",322.8,0,97.24,-,
24,"1,310.40","1,340.16",324.72,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,340.32,"1,361.28",88.08,0,96.81,100,
30,340.32,"1,361.28",89.76,0,96.69,100,
45,338.4,"1,353.60",89.52,0,96.67,100,
100,327.36,"1,309.44",79.68,0,97.16,100,
115,333.6,"1,334.40",80.4,0,97.22,100,
130,332.64,"1,330.56",81.84,0,97.1,100,
145,329.28,"1,317.12",80.88,0,97.11,100,
200,327.12,"1,308.48",79.44,0,97.18,100,
215,329.04,"1,316.16",79.68,0,97.19,100,
230,321.12,"1,284.48",78.24,0,97.16,100,
245,333.36,"1,333.44",86.16,0,96.82,100,
300,324.24,"1,296.96",79.68,0,97.11,100,
315,327.6,"1,310.40",81.6,0,97.04,100,
330,330.48,"1,321.92",84,0,96.92,100,
345,328.08,"1,312.32",80.16,0,97.14,100,
400,331.2,"1,324.80",79.44,0,97.24,100,
415,342,"1,368.00",79.2,0,97.42,100,
430,351.84,"1,407.36",78.24,0,97.62,100,
445,352.8,"1,411.20",83.76,0,97.3,100,
500,363.36,"1,453.44",86.4,0,97.29,100,
515,377.52,"1,510.08",91.68,0,97.18,100,
530,393.6,"1,574.40",98.64,0,97,100,
545,389.04,"1,556.16",91.2,0,97.36,100,
600,387.84,"1,551.36",85.92,0,97.63,100,
615,394.8,"1,579.20",90,0,97.5,100,
630,411.36,"1,645.44",95.76,0,97.4,100,
645,430.08,"1,720.32",102.48,0,97.28,100,
700,456.72,"1,826.88",114.24,0,97.01,100,
715,467.04,"1,868.16",112.56,0,97.22,100,
730,495.36,"1,981.44",122.4,0,97.08,100,
745,507.12,"2,028.48",127.92,0,96.96,100,
800,532.8,"2,131.20",132.96,0,97.02,100,
815,560.16,"2,240.64",144.96,0,96.81,100,
830,571.2,"2,284.80",143.28,0,97,100,
845,564,"2,256.00",138.24,0,97.13,100,
900,559.92,"2,239.68",134.64,0,97.23,100,
915,564.48,"2,257.92",135.36,0,97.24,100,
930,563.76,"2,255.04",131.04,0,97.4,100,
945,583.44,"2,333.76",136.8,0,97.36,100,
1000,582.48,"2,329.92",137.52,0,97.32,100,
1015,572.88,"2,291.52",133.2,0,97.4,100,
1030,576.48,"2,305.92",138,0,97.25,100,
1045,581.28,"2,325.12",145.44,0,97.01,100,
1100,593.52,"2,374.08",149.28,0,96.98,100,
1115,599.04,"2,396.16",149.76,0,97.01,100,
1130,589.68,"2,358.72",145.68,0,97.08,100,
1145,578.4,"2,313.60",136.8,0,97.32,100,
1200,569.52,"2,278.08",133.68,0,97.35,100,
1215,568.8,"2,275.20",138.96,0,97.14,100,
1230,558.96,"2,235.84",133.92,0,97.25,100,
1245,534,"2,136.00",125.28,0,97.36,100,
1300,536.4,"2,145.60",125.52,0,97.37,100,
1315,537.12,"2,148.48",126.72,0,97.33,100,
1330,537.6,"2,150.40",130.56,0,97.18,100,
1345,523.92,"2,095.68",114,0,97.71,100,
1400,512.4,"2,049.60",107.28,0,97.88,100,
1415,505.2,"2,020.80",101.04,0,98.06,100,
1430,510.72,"2,042.88",102.48,0,98.05,100,
1445,511.68,"2,046.72",106.56,0,97.9,100,
1500,495.12,"1,980.48",102,0,97.94,100,
1515,510,"2,040.00",111.12,0,97.71,100,
1530,497.76,"1,991.04",102,0,97.96,100,
1545,490.32,"1,961.28",103.92,0,97.83,100,
1600,493.2,"1,972.80",107.76,0,97.7,100,
1615,490.32,"1,961.28",105.36,0,97.77,100,
1630,499.92,"1,999.68",108.24,0,97.74,100,
1645,485.76,"1,943.04",101.52,0,97.89,100,
1700,476.64,"1,906.56",97.2,0,97.98,100,
1715,483.36,"1,933.44",107.52,0,97.61,100,
1730,473.28,"1,893.12",105.12,0,97.62,100,
1745,461.76,"1,847.04",107.76,0,97.38,100,
1800,439.92,"1,759.68",106.08,0,97.21,100,
1815,431.52,"1,726.08",99.36,0,97.45,100,
1830,417.12,"1,668.48",87.6,0,97.87,100,
1845,408.24,"1,632.96",81.84,0,98.05,100,
1900,422.16,"1,688.64",90.48,0,97.78,100,
1915,418.8,"1,675.20",94.56,0,97.54,100,
1930,410.88,"1,643.52",93.6,0,97.5,100,
1945,408,"1,632.00",93.36,0,97.48,100,
