???????,,,,,,,
,,,,,,,
??,,,,,,2014? 10? 25?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"35,076.48 kWh",????,"1,938.24 kW",?????,,
????,,?? : 21? 00? 97.96 %,????,?? : 23? 00? 96.82 %,"?? : 7,889.76 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,247.04","1,272.00",289.68,0,-,100,
2,"1,175.52","1,197.12",243.84,0,-,100,
3,"1,164.96","1,193.28",244.56,0,-,100,
4,"1,177.20","1,216.32",243.6,0,-,100,
5,"1,260.00","1,297.92",256.56,0,-,100,
6,"1,411.20","1,458.24",308.88,0,-,100,
7,"1,497.84","1,543.68",330.48,0,-,100,
8,"1,677.36","1,718.40",404.16,0,-,100,
9,"1,832.16","1,919.04",462,0,-,100,
10,"1,818.72","1,849.92",439.2,0,97.21,-,
11,"1,898.64","1,938.24",456,0,97.23,-,
12,"1,868.64","1,888.32",451.68,0,97.2,-,
13,"1,702.56","1,853.76",413.04,0,97.18,-,
14,"1,499.28","1,501.44",317.76,0,97.83,-,
15,"1,473.36","1,518.72",311.04,0,97.84,-,
16,"1,466.64","1,494.72",316.56,0,97.75,-,
17,"1,485.84","1,524.48",334.8,0,97.55,-,
18,"1,450.80","1,464.96",306.48,0,97.84,-,
19,"1,445.52","1,480.32",307.2,0,97.82,-,
20,"1,382.16","1,400.64",284.16,0,97.95,-,
21,"1,332.72","1,370.88",278.16,0,97.89,-,
22,"1,270.80","1,281.60",270.48,0,97.81,-,
23,"1,289.52","1,326.72",313.44,0,97.17,-,
24,"1,248.00","1,262.40",306,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,318,"1,272.00",78,0,97.12,100,
30,316.32,"1,265.28",75.84,0,97.24,100,
45,315.12,"1,260.48",72.24,0,97.47,100,
100,297.6,"1,190.40",63.6,0,97.79,100,
115,299.28,"1,197.12",63.84,0,97.8,100,
130,295.2,"1,180.80",64.56,0,97.69,100,
145,290.88,"1,163.52",57.12,0,98.13,100,
200,290.16,"1,160.64",58.32,0,98.04,100,
215,288.24,"1,152.96",60.48,0,97.87,100,
230,295.92,"1,183.68",63.36,0,97.78,100,
245,298.32,"1,193.28",65.28,0,97.69,100,
300,282.48,"1,129.92",55.44,0,98.13,100,
315,290.4,"1,161.60",60.24,0,97.92,100,
330,286.56,"1,146.24",59.76,0,97.89,100,
345,296.16,"1,184.64",59.04,0,98.07,100,
400,304.08,"1,216.32",64.56,0,97.82,100,
415,306.72,"1,226.88",63.84,0,97.9,100,
430,315.84,"1,263.36",66.48,0,97.86,100,
445,312.96,"1,251.84",61.92,0,98.1,100,
500,324.48,"1,297.92",64.32,0,98.09,100,
515,347.76,"1,391.04",78.96,0,97.52,100,
530,354.24,"1,416.96",77.76,0,97.67,100,
545,364.56,"1,458.24",80.88,0,97.63,100,
600,344.64,"1,378.56",71.28,0,97.93,100,
615,361.92,"1,447.68",76.8,0,97.82,100,
630,372,"1,488.00",81.12,0,97.7,100,
645,378,"1,512.00",82.56,0,97.7,100,
700,385.92,"1,543.68",90,0,97.39,100,
715,415.92,"1,663.68",102.24,0,97.11,100,
730,411.6,"1,646.40",99.6,0,97.19,100,
745,420.24,"1,680.96",98.88,0,97.34,100,
800,429.6,"1,718.40",103.44,0,97.22,100,
815,436.08,"1,744.32",104.4,0,97.25,100,
830,453.36,"1,813.44",113.76,0,96.99,100,
845,462.96,"1,851.84",115.92,0,97.01,100,
900,479.76,"1,919.04",127.92,0,96.62,100,
915,454.32,"1,817.28",114.24,0,96.98,100,
930,449.52,"1,798.08",109.92,0,97.14,100,
945,452.4,"1,809.60",104.88,0,97.42,100,
1000,462.48,"1,849.92",110.16,0,97.28,100,
1015,464.4,"1,857.60",107.04,0,97.45,100,
1030,474.24,"1,896.96",113.04,0,97.27,100,
1045,484.56,"1,938.24",119.76,0,97.08,100,
1100,475.44,"1,901.76",116.16,0,97.14,100,
1115,465.84,"1,863.36",112.32,0,97.21,100,
1130,472.08,"1,888.32",115.2,0,97.15,100,
1145,466.8,"1,867.20",110.88,0,97.29,100,
1200,463.92,"1,855.68",113.28,0,97.15,100,
1215,463.44,"1,853.76",118.56,0,96.88,100,
1230,427.44,"1,709.76",99.84,0,97.38,100,
1245,413.76,"1,655.04",100.32,0,97.18,100,
1300,397.92,"1,591.68",94.32,0,97.3,100,
1315,375.36,"1,501.44",81.6,0,97.72,100,
1330,374.88,"1,499.52",78.72,0,97.87,100,
