사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2014년 08월 30일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"46,146.00 kWh",최대수요,"2,703.36 kW",무효전력량,,
역률최대,,지상 : 22시 30분 98.62 %,역률최소,지상 : 11시 00분 97.74 %,"지상 : 7,350.00 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 1.20 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,416.96","1,648.32",112.08,0,-,100,
2,"1,255.44","1,270.08",48.72,0.24,-,100,
3,"1,248.48","1,287.36",40.08,0.72,-,100,
4,"1,260.72","1,290.24",49.2,0.24,-,100,
5,"1,331.76","1,367.04",63.6,0,-,100,
6,"1,497.84","1,544.64",101.76,0,-,100,
7,"1,536.48","1,607.04",101.52,0,-,100,
8,"1,795.20","1,888.32",213.36,0,-,100,
9,"2,441.52","2,527.68",515.28,0,-,100,
10,"2,546.40","2,594.88",535.2,0,97.86,-,
11,"2,659.68","2,703.36",562.8,0,97.83,-,
12,"2,618.40","2,651.52",556.08,0,97.82,-,
13,"2,433.84","2,551.68",498,0,97.97,-,
14,"2,296.08","2,343.36",435.12,0,98.25,-,
15,"2,223.60","2,269.44",401.28,0,98.41,-,
16,"2,180.64","2,308.80",413.52,0,98.25,-,
17,"2,099.52","2,138.88",387.84,0,98.34,-,
18,"2,042.88","2,055.36",375.12,0,98.36,-,
19,"2,000.40","2,012.16",342.24,0,98.57,-,
20,"1,995.36","2,016.00",350.64,0,98.49,-,
21,"1,906.32","1,930.56",321.84,0,98.6,-,
22,"1,858.32","1,878.72",322.8,0,98.52,-,
23,"1,777.20","1,809.60",302.16,0,98.59,-,
24,"1,722.96","1,738.56",299.76,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,412.08,"1,648.32",56.88,0,99.06,100,
30,357.12,"1,428.48",27.12,0,99.71,100,
45,328.32,"1,313.28",13.44,0,99.92,100,
100,319.44,"1,277.76",14.64,0,99.9,100,
115,317.52,"1,270.08",14.16,0,99.9,100,
130,310.56,"1,242.24",10.08,0.24,99.95,100,
145,311.52,"1,246.08",10.56,0,99.94,100,
200,315.84,"1,263.36",13.92,0,99.9,100,
215,321.84,"1,287.36",17.04,0,99.86,100,
230,310.08,"1,240.32",8.4,0.48,99.96,100,
245,306,"1,224.00",5.76,0.24,99.98,100,
300,310.56,"1,242.24",8.88,0,99.96,100,
315,308.88,"1,235.52",9.6,0,99.95,100,
330,311.28,"1,245.12",12.24,0.24,99.92,100,
345,322.56,"1,290.24",15.36,0,99.89,100,
400,318,"1,272.00",12,0,99.93,100,
415,325.68,"1,302.72",14.4,0,99.9,100,
430,331.2,"1,324.80",15.36,0,99.89,100,
445,333.12,"1,332.48",15.84,0,99.89,100,
500,341.76,"1,367.04",18,0,99.86,100,
515,354.24,"1,416.96",19.68,0,99.85,100,
530,374.88,"1,499.52",24.24,0,99.79,100,
545,386.16,"1,544.64",26.4,0,99.77,100,
600,382.56,"1,530.24",31.44,0,99.66,100,
615,381.84,"1,527.36",28.8,0,99.72,100,
630,378.24,"1,512.96",20.88,0,99.85,100,
645,374.64,"1,498.56",20.64,0,99.85,100,
700,401.76,"1,607.04",31.2,0,99.7,100,
715,420.24,"1,680.96",41.52,0,99.52,100,
730,444,"1,776.00",52.8,0,99.3,100,
745,458.88,"1,835.52",59.28,0,99.18,100,
800,472.08,"1,888.32",59.76,0,99.21,100,
815,563.28,"2,253.12",111.6,0,98.09,100,
830,617.76,"2,471.04",135.6,0,97.67,100,
845,628.56,"2,514.24",135.6,0,97.75,100,
900,631.92,"2,527.68",132.48,0,97.87,100,
915,634.32,"2,537.28",138.48,0,97.7,100,
930,627.36,"2,509.44",129.12,0,97.95,100,
945,636,"2,544.00",130.8,0,97.95,100,
1000,648.72,"2,594.88",136.8,0,97.85,100,
1015,659.76,"2,639.04",135.12,0,97.97,100,
1030,661.2,"2,644.80",138.24,0,97.88,100,
1045,675.84,"2,703.36",147.84,0,97.69,100,
1100,662.88,"2,651.52",141.6,0,97.79,100,
1115,652.08,"2,608.32",136.56,0,97.88,100,
1130,652.32,"2,609.28",137.04,0,97.86,100,
1145,662.88,"2,651.52",142.08,0,97.78,100,
1200,651.12,"2,604.48",140.4,0,97.75,100,
1215,637.92,"2,551.68",140.16,0,97.67,100,
1230,613.68,"2,454.72",126.72,0,97.93,100,
1245,595.92,"2,383.68",118.32,0,98.09,100,
1300,586.32,"2,345.28",112.8,0,98.2,100,
1315,565.92,"2,263.68",102.24,0,98.41,100,
1330,568.08,"2,272.32",103.92,0,98.37,100,
1345,576.24,"2,304.96",111.6,0,98.18,100,
1400,585.84,"2,343.36",117.36,0,98.05,100,
1415,567.36,"2,269.44",102,0,98.42,100,
1430,559.44,"2,237.76",100.32,0,98.43,100,
1445,547.44,"2,189.76",98.16,0,98.43,100,
1500,549.36,"2,197.44",100.8,0,98.36,100,
1515,577.2,"2,308.80",118.32,0,97.96,100,
1530,539.28,"2,157.12",97.44,0,98.41,100,
1545,525.84,"2,103.36",94.32,0,98.43,100,
1600,538.32,"2,153.28",103.44,0,98.2,100,
1615,534.72,"2,138.88",103.92,0,98.16,100,
1630,525.6,"2,102.40",95.52,0,98.39,100,
1645,519.12,"2,076.48",91.92,0,98.47,100,
1700,520.08,"2,080.32",96.48,0,98.32,100,
1715,513.84,"2,055.36",94.56,0,98.35,100,
1730,509.76,"2,039.04",92.64,0,98.39,100,
1745,510,"2,040.00",94.08,0,98.34,100,
1800,509.28,"2,037.12",93.84,0,98.34,100,
1815,502.8,"2,011.20",89.28,0,98.46,100,
1830,498.48,"1,993.92",83.52,0,98.63,100,
1845,503.04,"2,012.16",84,0,98.63,100,
1900,496.08,"1,984.32",85.44,0,98.55,100,
1915,491.76,"1,967.04",84.96,0,98.54,100,
1930,499.2,"1,996.80",88.08,0,98.48,100,
1945,504,"2,016.00",88.8,0,98.48,100,
2000,500.4,"2,001.60",88.8,0,98.46,100,
2015,482.64,"1,930.56",81.12,0,98.62,100,
2030,478.32,"1,913.28",80.4,0,98.62,100,
2045,478.56,"1,914.24",81.84,0,98.57,100,
2100,466.8,"1,867.20",78.48,0,98.62,100,
2115,465.36,"1,861.44",79.44,0,98.57,100,
2130,469.68,"1,878.72",84.96,0,98.4,100,
2145,467.04,"1,868.16",83.52,0,98.44,100,
2200,456.24,"1,824.96",74.88,0,98.68,100,
2215,452.4,"1,809.60",75.6,0,98.63,100,
2230,442.08,"1,768.32",74.4,0,98.61,100,
2245,444.72,"1,778.88",75.84,0,98.58,100,
2300,438,"1,752.00",76.32,0,98.52,100,
2315,433.68,"1,734.72",72.96,0,98.61,100,
2330,434.64,"1,738.56",79.44,0,98.37,100,
2345,427.92,"1,711.68",74.64,0,98.51,100,
2400,426.72,"1,706.88",72.72,0,98.58,100,
,,,,,,,
확인자,,,,,,(印),
