???????,,,,,,,
,,,,,,,
??,,,,,,2014? 12? 16?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"48,018.96 kWh",????,"2,660.16 kW",?????,,
????,,?? : 14? 00? 97.60 %,????,?? : 23? 00? 96.83 %,"?? : 11,551.68 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,418.88","1,451.52",365.28,0,-,100,
2,"1,390.80","1,406.40",339.12,0,-,100,
3,"1,400.40","1,416.00",362.88,0,-,100,
4,"1,379.28","1,392.00",353.76,0,-,100,
5,"1,448.64","1,474.56",356.88,0,-,100,
6,"1,573.92","1,612.80",360.24,0,-,100,
7,"1,787.28","1,888.32",393.36,0,-,100,
8,"2,119.92","2,250.24",526.8,0,-,100,
9,"2,450.40","2,513.28",614.88,0,-,100,
10,"2,567.28","2,600.64",610.08,0,97.29,-,
11,"2,608.08","2,660.16",621.36,0,97.28,-,
12,"2,625.12","2,638.08",630.48,0,97.23,-,
13,"2,547.12","2,598.72",612.72,0,97.23,-,
14,"2,529.12","2,573.76",577.92,0,97.49,-,
15,"2,509.92","2,593.92",578.64,0,97.44,-,
16,"2,417.52","2,432.64",561.36,0,97.41,-,
17,"2,411.52","2,462.40",558.24,0,97.42,-,
18,"2,315.28","2,472.96",554.4,0,97.25,-,
19,"2,050.56","2,106.24",487.2,0,97.29,-,
20,"1,913.28","1,920.96",458.4,0,97.25,-,
21,"1,808.64","1,850.88",454.08,0,96.99,-,
22,"1,668.48","1,716.48",405.12,0,97.18,-,
23,"1,567.68","1,590.72",395.52,0,96.96,-,
24,"1,509.84","1,525.44",372.96,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,356.88,"1,427.52",91.44,0,96.87,100,
30,362.88,"1,451.52",98.88,0,96.48,100,
45,352.8,"1,411.20",92.4,0,96.74,100,
100,346.32,"1,385.28",82.56,0,97.27,100,
115,351.6,"1,406.40",84.48,0,97.23,100,
130,348,"1,392.00",84.48,0,97.18,100,
145,344.88,"1,379.52",84,0,97.16,100,
200,346.32,"1,385.28",86.16,0,97.04,100,
215,344.64,"1,378.56",85.2,0,97.08,100,
230,348.24,"1,392.96",87.84,0,96.96,100,
245,353.52,"1,414.08",94.8,0,96.59,100,
300,354,"1,416.00",95.04,0,96.58,100,
315,348,"1,392.00",89.52,0,96.85,100,
330,340.08,"1,360.32",86.16,0,96.94,100,
345,346.56,"1,386.24",89.04,0,96.85,100,
400,344.64,"1,378.56",89.04,0,96.82,100,
415,357.12,"1,428.48",93.12,0,96.76,100,
430,357.12,"1,428.48",88.56,0,97.06,100,
445,365.76,"1,463.04",88.32,0,97.21,100,
500,368.64,"1,474.56",86.88,0,97.33,100,
515,378.24,"1,512.96",87.12,0,97.45,100,
530,389.28,"1,557.12",92.64,0,97.28,100,
545,403.2,"1,612.80",92.88,0,97.45,100,
600,403.2,"1,612.80",87.6,0,97.72,100,
615,431.76,"1,727.04",101.76,0,97.33,100,
630,432.48,"1,729.92",90.24,0,97.89,100,
645,450.96,"1,803.84",94.08,0,97.89,100,
700,472.08,"1,888.32",107.28,0,97.51,100,
715,510.48,"2,041.92",128.64,0,96.97,100,
