사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 05월 09일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"34,569.84 kWh",최대수요,"1,877.76 kW",무효전력량,,
역률최대,,지상 : 20시 00분 98.25 %,역률최소,지상 : 13시 00분 97.11 %,"지상 : 7,375.92 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,144.32","1,155.84",250.56,0,-,100,
2,"1,140.72","1,162.56",249.36,0,-,100,
3,"1,143.36","1,167.36",249.6,0,-,100,
4,"1,128.24","1,151.04",225.84,0,-,100,
5,"1,164.72","1,190.40",223.68,0,-,100,
6,"1,277.04","1,316.16",228,0,-,100,
7,"1,345.68","1,358.40",237.84,0,-,100,
8,"1,478.16","1,560.96",296.64,0,-,100,
9,"1,619.52","1,664.64",339.84,0,-,100,
10,"1,781.76","1,790.40",386.16,0,97.73,-,
11,"1,814.16","1,877.76",405.36,0,97.59,-,
12,"1,813.20","1,827.84",404.16,0,97.6,-,
13,"1,784.88","1,831.68",420.48,0,97.34,-,
14,"1,643.76","1,654.08",359.04,0,97.7,-,
15,"1,666.08","1,704.96",379.2,0,97.51,-,
16,"1,607.76","1,629.12",358.32,0,97.61,-,
17,"1,631.28","1,659.84",378.48,0,97.41,-,
18,"1,493.28","1,571.52",327.84,0,97.67,-,
19,"1,466.40","1,492.80",307.44,0,97.87,-,
20,"1,394.40","1,445.76",275.76,0,98.1,-,
21,"1,362.48","1,393.92",279.84,0,97.96,-,
22,"1,267.92","1,284.48",275.04,0,97.73,-,
23,"1,230.96","1,256.64",267.36,0,97.72,-,
24,"1,169.76","1,188.48",250.08,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,285.6,"1,142.40",64.32,0,97.56,100,
30,288.96,"1,155.84",63.6,0,97.66,100,
45,282.96,"1,131.84",59.52,0,97.86,100,
100,286.8,"1,147.20",63.12,0,97.66,100,
115,282.24,"1,128.96",60,0,97.81,100,
130,285.84,"1,143.36",62.16,0,97.72,100,
145,290.64,"1,162.56",65.52,0,97.55,100,
200,282,"1,128.00",61.68,0,97.69,100,
215,291.84,"1,167.36",69.84,0,97.25,100,
