???????,,,,,,,
,,,,,,,
??,,,,,,2014? 09? 28?,
????,,,,,,01-35375163,
??,,,,,,***,
??,,,,,,??????????,
,,,,,,,
????,,"42,413.04 kWh",????,"2,239.68 kW",?????,,
????,,?? : 09? 30? 99.19 %,????,?? : 12? 30? 98.06 %,"?? : 6,165.60 kVarh",,
,,?? : 24? 00? 100.00 %,,?? : 24? 00? 100.00 %,?? : 0.00 kVarh,,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
1,"1,520.16","1,649.28",198,0,-,100,
2,"1,310.64","1,395.84",92.16,0,-,100,
3,"1,274.64","1,280.64",81.84,0,-,100,
4,"1,296.72","1,316.16",107.04,0,-,100,
5,"1,274.40","1,285.44",70.08,0,-,100,
6,"1,375.68","1,434.24",90,0,-,100,
7,"1,455.60","1,466.88",111.6,0,-,100,
8,"1,534.08","1,577.28",134.16,0,-,100,
9,"1,653.84","1,685.76",193.92,0,-,100,
10,"1,844.88","1,918.08",248.88,0,99.1,-,
11,"1,908.24","1,920.00",261.6,0,99.07,-,
12,"2,021.52","2,239.68",323.28,0,98.75,-,
13,"2,194.56","2,238.72",431.76,0,98.12,-,
14,"2,221.44","2,235.84",428.64,0,98.19,-,
15,"2,162.16","2,184.96",403.92,0,98.3,-,
16,"2,204.40","2,231.04",429.84,0,98.15,-,
17,"2,049.60","2,067.84",368.16,0,98.42,-,
18,"2,063.52","2,130.24",379.92,0,98.35,-,
19,"1,968.72","1,987.20",318.48,0,98.72,-,
20,"1,916.40","1,973.76",320.88,0,98.63,-,
21,"1,852.56","1,871.04",308.4,0,98.64,-,
22,"1,832.88","1,887.36",304.8,0,98.65,-,
23,"1,785.84","1,822.08",290.16,0,98.71,-,
24,"1,690.56","1,781.76",268.08,0,-,100,
,,,,,,,
?,??? (kWh),???? (kW),???? (kVarh),,??(%),,
,,,??,??,??,??,
15,412.32,"1,649.28",66,0,98.74,100,
30,388.8,"1,555.20",54.96,0,99.02,100,
45,357.6,"1,430.40",36.24,0,99.49,100,
100,361.44,"1,445.76",40.8,0,99.37,100,
115,348.96,"1,395.84",35.04,0,99.5,100,
130,324.96,"1,299.84",19.2,0,99.83,100,
145,322.56,"1,290.24",20.16,0,99.81,100,
200,314.16,"1,256.64",17.76,0,99.84,100,
215,318,"1,272.00",18.96,0,99.82,100,
230,318.48,"1,273.92",20.64,0,99.79,100,
245,320.16,"1,280.64",21.84,0,99.77,100,
300,318,"1,272.00",20.4,0,99.79,100,
315,323.52,"1,294.08",26.4,0,99.67,100,
330,322.08,"1,288.32",27.12,0,99.65,100,
345,322.08,"1,288.32",26.16,0,99.67,100,
400,329.04,"1,316.16",27.36,0,99.66,100,
415,319.2,"1,276.80",18.24,0,99.84,100,
430,318.24,"1,272.96",15.84,0,99.88,100,
445,315.6,"1,262.40",16.08,0,99.87,100,
500,321.36,"1,285.44",19.92,0,99.81,100,
515,331.68,"1,326.72",19.92,0,99.82,100,
530,335.76,"1,343.04",19.44,0,99.83,100,
545,349.68,"1,398.72",21.84,0,99.81,100,
600,358.56,"1,434.24",28.8,0,99.68,100,
615,362.64,"1,450.56",30,0,99.66,100,
