사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 06월 11일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"54,346.32 kWh",최대수요,"3,149.76 kW",무효전력량,,
역률최대,,지상 : 18시 30분 96.92 %,역률최소,지상 : 11시 30분 96.14 %,"지상 : 14,132.40 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,478.88","1,588.80",334.8,0,-,100,
2,"1,424.64","1,431.36",294,0,-,100,
3,"1,414.80","1,442.88",295.2,0,-,100,
4,"1,421.52","1,449.60",288.96,0,-,100,
5,"1,471.68","1,487.04",300.48,0,-,100,
6,"1,592.40","1,613.76",312.48,0,-,100,
7,"1,745.04","1,854.72",344.4,0,-,100,
8,"2,142.48","2,249.28",504.48,0,-,100,
9,"2,913.12","3,052.80",799.68,0,-,100,
10,"3,010.80","3,060.48",808.08,0,96.58,-,
11,"3,073.68","3,149.76",843.6,0,96.43,-,
12,"3,045.60","3,090.24",857.04,0,96.26,-,
13,"3,032.40","3,056.64",838.56,0,96.38,-,
14,"2,992.80","3,048.96",835.2,0,96.32,-,
15,"2,965.92","2,989.44",814.08,0,96.43,-,
16,"2,977.92","3,055.68",837.84,0,96.26,-,
17,"2,900.40","2,941.44",819.6,0,96.23,-,
18,"2,630.16","2,803.20",729.84,0,96.36,-,
19,"2,283.36","2,322.24",611.04,0,96.6,-,
20,"2,151.12","2,205.12",590.64,0,96.43,-,
21,"2,072.40","2,120.64",556.56,0,96.58,-,
22,"1,970.40","1,997.76",522,0,96.67,-,
23,"1,893.60","1,919.04",526.32,0,96.35,-,
24,"1,741.20","1,829.76",467.52,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,397.2,"1,588.80",97.92,0,97.09,100,
30,371.52,"1,486.08",85.2,0,97.47,100,
45,354.72,"1,418.88",75.12,0,97.83,100,
100,355.44,"1,421.76",76.56,0,97.76,100,
115,356.4,"1,425.60",74.16,0,97.9,100,
130,356.16,"1,424.64",72.72,0,97.98,100,
145,354.24,"1,416.96",72.24,0,97.98,100,
200,357.84,"1,431.36",74.88,0,97.88,100,
215,360.72,"1,442.88",78.72,0,97.7,100,
230,354,"1,416.00",73.68,0,97.9,100,
245,351.6,"1,406.40",74.16,0,97.85,100,
300,348.48,"1,393.92",68.64,0,98.11,100,
315,354,"1,416.00",72.24,0,97.98,100,
330,349.92,"1,399.68",68.88,0,98.12,100,
345,362.4,"1,449.60",73.2,0,98.02,100,
400,355.2,"1,420.80",74.64,0,97.86,100,
415,364.56,"1,458.24",74.64,0,97.97,100,
430,369.36,"1,477.44",76.32,0,97.93,100,
445,366,"1,464.00",74.88,0,97.97,100,
500,371.76,"1,487.04",74.64,0,98.04,100,
515,390.24,"1,560.96",77.04,0,98.11,100,
530,402,"1,608.00",83.28,0,97.92,100,
545,403.44,"1,613.76",80.64,0,98.06,100,
600,396.72,"1,586.88",71.52,0,98.41,100,
615,422.88,"1,691.52",82.32,0,98.16,100,
630,420.24,"1,680.96",78,0,98.32,100,
645,438.24,"1,752.96",85.92,0,98.13,100,
700,463.68,"1,854.72",98.16,0,97.83,100,
715,498.72,"1,994.88",119.28,0,97.26,100,
730,539.04,"2,156.16",132.48,0,97.11,100,
745,542.4,"2,169.60",127.68,0,97.34,100,
800,562.32,"2,249.28",125.04,0,97.62,100,
815,649.2,"2,596.80",168.24,0,96.8,100,
830,738.72,"2,954.88",202.32,0,96.45,100,
845,762,"3,048.00",213.84,0,96.28,100,
900,763.2,"3,052.80",215.28,0,96.24,100,
915,744.48,"2,977.92",202.56,0,96.49,100,
930,744,"2,976.00",198.24,0,96.63,100,
945,757.2,"3,028.80",198.72,0,96.72,100,
1000,765.12,"3,060.48",208.56,0,96.48,100,
1015,787.44,"3,149.76",216.96,0,96.41,100,
1030,773.28,"3,093.12",207.36,0,96.59,100,
1045,756.72,"3,026.88",210,0,96.36,100,
1100,756.24,"3,024.96",209.28,0,96.38,100,
1115,756.24,"3,024.96",215.04,0,96.19,100,
1130,772.56,"3,090.24",222.48,0,96.09,100,
1145,758.64,"3,034.56",215.76,0,96.19,100,
1200,758.16,"3,032.64",203.76,0,96.57,100,
1215,760.8,"3,043.20",207.84,0,96.47,100,
1230,759.12,"3,036.48",205.44,0,96.53,100,
1245,764.16,"3,056.64",216.96,0,96.2,100,
1300,748.32,"2,993.28",208.32,0,96.34,100,
1315,738.48,"2,953.92",206.64,0,96.3,100,
1330,733.68,"2,934.72",203.76,0,96.35,100,
1345,758.4,"3,033.60",211.68,0,96.32,100,
1400,762.24,"3,048.96",213.12,0,96.31,100,
1415,744,"2,976.00",204.24,0,96.43,100,
1430,743.28,"2,973.12",204,0,96.43,100,
1445,731.28,"2,925.12",197.04,0,96.56,100,
1500,747.36,"2,989.44",208.8,0,96.31,100,
1515,763.92,"3,055.68",220.56,0,96.08,100,
1530,743.76,"2,975.04",208.8,0,96.28,100,
1545,735.12,"2,940.48",204.48,0,96.34,100,
1600,735.12,"2,940.48",204,0,96.36,100,
1615,735.36,"2,941.44",206.64,0,96.27,100,
1630,731.04,"2,924.16",209.04,0,96.15,100,
1645,724.56,"2,898.24",202.56,0,96.31,100,
1700,709.44,"2,837.76",201.36,0,96.2,100,
1715,700.8,"2,803.20",197.76,0,96.24,100,
1730,675.84,"2,703.36",189.36,0,96.29,100,
1745,644.64,"2,578.56",179.76,0,96.33,100,
1800,608.88,"2,435.52",162.96,0,96.6,100,
1815,580.56,"2,322.24",148.32,0,96.89,100,
1830,564.48,"2,257.92",142.56,0,96.96,100,
1845,569.52,"2,278.08",155.28,0,96.48,100,
1900,568.8,"2,275.20",164.88,0,96.05,100,
1915,551.28,"2,205.12",158.4,0,96.11,100,
1930,534.48,"2,137.92",146.16,0,96.46,100,
1945,535.92,"2,143.68",142.8,0,96.63,100,
2000,529.44,"2,117.76",143.28,0,96.53,100,
2015,530.16,"2,120.64",147.12,0,96.36,100,
2030,520.56,"2,082.24",139.44,0,96.59,100,
2045,515.76,"2,063.04",135.84,0,96.7,100,
2100,505.92,"2,023.68",134.16,0,96.66,100,
2115,499.44,"1,997.76",132.96,0,96.63,100,
2130,490.8,"1,963.20",128.16,0,96.76,100,
2145,488.88,"1,955.52",126.48,0,96.81,100,
2200,491.28,"1,965.12",134.4,0,96.46,100,
2215,479.76,"1,919.04",133.68,0,96.33,100,
2230,471.6,"1,886.40",127.92,0,96.51,100,
2245,475.44,"1,901.76",134.16,0,96.24,100,
2300,466.8,"1,867.20",130.56,0,96.3,100,
2315,457.44,"1,829.76",120.72,0,96.69,100,
2330,449.76,"1,799.04",118.08,0,96.72,100,
2345,421.68,"1,686.72",113.76,0,96.55,100,
2400,412.32,"1,649.28",114.96,0,96.33,100,
,,,,,,,
확인자,,,,,,(印),
