사용량종합현황,,,,,,,
,,,,,,,
일시,,,,,,2015년 07월 21일,
고객번호,,,,,,01-35375163,
성명,,,,,,***,
상호,,,,,,한양대학교병원　　　,
,,,,,,,
총사용량,,"61,563.84 kWh",최대수요,"3,316.80 kW",무효전력량,,
역률최대,,지상 : 19시 00분 96.42 %,역률최소,지상 : 21시 30분 95.78 %,"지상 : 17,892.48 kVarh",,
,,진상 : 24시 00분 100.00 %,,진상 : 24시 00분 100.00 %,진상 : 0.00 kVarh,,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
1,"1,914.00","1,954.56",612.72,0,-,100,
2,"1,814.40","1,860.48",555.12,0,-,100,
3,"1,816.08","1,833.60",561.6,0,-,100,
4,"1,806.00","1,848.96",561.84,0,-,100,
5,"1,903.20","1,927.68",558.96,0,-,100,
6,"2,064.72","2,137.92",579.12,0,-,100,
7,"2,217.60","2,279.04",600.72,0,-,100,
8,"2,661.12","2,861.76",789.12,0,-,100,
9,"3,141.84","3,235.20",961.92,0,-,100,
10,"3,194.88","3,239.04",924.72,0,96.06,-,
11,"3,235.68","3,255.36",916.32,0,96.22,-,
12,"3,239.04","3,316.80",924.72,0,96.16,-,
13,"3,230.16","3,258.24",937.68,0,96.04,-,
14,"3,244.80","3,267.84",933.6,0,96.1,-,
15,"3,222.00","3,264.00",906.48,0,96.26,-,
16,"3,200.88","3,231.36",908.4,0,96.2,-,
17,"3,132.48","3,215.04",904.08,0,96.08,-,
18,"2,914.08","3,039.36",835.68,0,96.13,-,
19,"2,533.44","2,657.28",705.36,0,96.34,-,
20,"2,463.12","2,511.36",701.52,0,96.18,-,
21,"2,341.44","2,411.52",663.12,0,96.22,-,
22,"2,215.68","2,250.24",658.8,0,95.85,-,
23,"2,132.64","2,165.76",632.64,0,95.87,-,
24,"1,924.56","1,962.24",558.24,0,-,100,
,,,,,,,
시,사용량 (kWh),최대수요 (kW),무효전력 (kVarh),,역률(%),,
,,,지상,진상,지상,진상,
15,488.64,"1,954.56",158.16,0,95.14,100,
30,475.44,"1,901.76",150.72,0,95.32,100,
45,471.84,"1,887.36",148.56,0,95.38,100,
100,478.08,"1,912.32",155.28,0,95.11,100,
115,465.12,"1,860.48",148.32,0,95.27,100,
130,452.64,"1,810.56",134.88,0,95.84,100,
145,446.16,"1,784.64",132.72,0,95.85,100,
200,450.48,"1,801.92",139.2,0,95.54,100,
215,458.4,"1,833.60",145.92,0,95.29,100,
230,447.6,"1,790.40",135.84,0,95.69,100,
245,453.6,"1,814.40",139.68,0,95.57,100,
