time,energy,WS,TA,HM
45,438,2,23,99.9
100,447.84,9,22.8,99.9
115,459.36,1,22.8,99.9
130,438.96,1,22.7,99.9
145,437.52,0,22.9,99.9
200,435.6,0,22.7,99.9
215,453.6,3,22.6,99.9
230,432,0,22.7,99.9
245,433.68,0,22.6,99.9
300,438,0,22.5,99.9
315,434.4,1,22.5,99.9
330,429.6,2,22.6,99.9
345,441.36,3,22.5,99.9
400,438.72,0,22.4,99.9
415,447.12,0,22.5,99.9
430,461.52,4,22.5,99.9
445,462.72,3,22.5,99.9
500,467.28,6,22.4,99.9
515,487.2,0,22.3,99.9
530,501.6,0,22.2,99.9
545,504.48,2,22.2,99.9
600,515.04,2,22.1,99.9
615,544.08,4,22.2,99.9
630,541.68,4,22.2,99.9
645,550.56,1,22.3,99.9
700,575.04,3,22.6,99.9
715,616.8,4,22.8,99.9
730,647.52,9,23.3,99.9
745,672.48,9,23.7,99.3
800,715.68,11,24.2,97.8
815,753.12,7,24.6,95.6
830,776.64,12,25.2,92.6
845,792.24,8,26,88.1
900,790.8,1,26.8,84.7
915,789.12,7,27.4,79.7
930,807.6,0,27.9,77.1
945,815.04,5,28.7,72.6
1000,836.64,3,29,74.1
1015,832.56,8,29.8,71.6
1030,837.12,18,29.8,72.4
1045,828.48,7,30,70.1
1100,833.28,3,30.1,67.9
1115,843.12,12,30.2,68.5
1130,834.48,3,30.5,65
1145,820.32,2,30.7,68.1
1200,814.8,20,31.3,68.4
1215,832.56,4,31.6,65.7
1230,830.4,15,32.7,59.3
1245,820.8,11,32.9,56.7
1300,813.6,8,33.2,55
1315,808.8,7,33.1,57
1330,818.16,14,33.9,57.1
1345,823.2,15,34.1,52.3
1400,813.6,28,33.6,50.3
1415,816,11,34.3,48.9
1430,815.04,9,34.2,49.5
1445,819.12,7,34.5,50.7
1500,823.2,3,33.6,54.2
1515,817.2,22,33.2,53.7
1530,805.68,7,33.2,57.1
1545,803.28,2,32.4,63
1600,801.6,19,33.2,59.3
1615,806.4,7,32.7,63.5
1630,792.48,4,32.7,60.9
1645,783.12,6,31.9,62.8
1700,777.6,9,31.8,64.1
1715,761.52,7,31.2,68.1
1730,753.36,12,30.9,69
1745,725.52,14,30.9,65
1800,674.16,3,30.3,70.4
1815,646.56,2,29.7,74.2
1830,625.2,2,29.1,76
1845,632.64,4,29.1,72.9
1900,615.12,3,28.7,76
1915,590.88,4,28.4,75.2
1930,567.84,7,27.9,75.7
1945,563.04,3,27.7,73.8
2000,554.16,2,27.9,72.6
2015,542.16,2,27.4,73.6
2030,542.64,5,27,72.1
2045,535.92,2,26.9,73.2
2100,528,9,27,73.9
2115,519.84,1,26.7,74.9
2130,509.76,2,26.9,75.9
2145,498,4,26.8,76.2
2200,494.16,0,26.9,77.6
2215,509.76,5,27,76.7
2230,487.68,4,26.8,78.5
2245,479.28,4,27.3,75.9
2300,482.64,4,27,78.4
2315,471.36,0,26.8,80
2330,469.2,4,26.7,80.6
2345,469.92,8,26.5,78.6
2400,475.44,7,26.6,78
45,456.72,1,26.7,77.3
100,459.36,4,26.3,79.3
115,458.64,3,26.2,78.3
130,453.36,2,26,79.5
145,449.76,3,26.1,78.7
200,452.16,5,26.1,78.5
215,460.8,4,26.1,77.7
230,448.56,5,26.7,73.2
245,445.68,3,26.7,72.3
300,444.72,1,26.5,74.7
315,437.76,2,26.5,75.3
330,442.08,0,26.3,76.1
345,438.24,2,26.2,77
400,443.04,6,26.6,74.6
415,452.16,3,26.5,77.6
430,464.16,1,26.3,77.1
445,457.92,6,26.3,78.6
500,463.92,2,26.4,77.9
515,486.48,3,26.5,75.8
530,513.84,2,26.5,76.8
545,519.36,0,26.6,75.4
600,526.56,0,26.4,77.9
615,541.2,6,26.4,76.6
630,546,2,26.1,77.8
645,541.2,2,26,79.7
700,548.16,3,25.7,81.9
715,565.2,0,26.1,78.4
730,611.28,2,26.2,80
745,638.64,1,26.5,77.6
800,663.36,0,26,82.6
815,674.64,2,26.4,83.4
830,682.32,6,26.4,83.1
845,687.36,5,26.8,79.6
900,687.84,6,27.4,77.7
915,697.92,7,27.7,77.6
930,698.88,5,28.2,77.2
945,692.64,6,29.9,65.6
1000,685.68,8,30.3,64
1015,697.92,1,29.4,69.8
1030,721.2,3,29.1,71.3
1045,725.52,1,29.5,71.6
1100,713.04,14,29.8,67
1115,709.92,13,30.5,61.5
1130,702.72,17,31.9,58.1
1145,711.12,4,32.6,56.7
1200,726.72,34,32.9,54.7
1215,716.4,14,33.3,54.6
1230,696,8,33.5,53.4
1245,685.44,24,33.6,54.9
1300,664.08,26,34.2,54.7
1315,635.52,31,34.1,54.1
1330,643.44,12,34.3,53.6
1345,639.36,19,34.2,54.4
1400,625.92,12,34,55.9
1415,630.72,11,33.6,56.7
1430,622.56,29,34.7,54.6
1445,603.84,22,34.4,54.7
1500,603.36,42,34.4,54.5
1515,611.04,3,33.2,58.3
1530,607.44,5,32.9,61.2
1545,615.84,8,32.3,67.3
1600,603.84,16,32.5,62.2
1615,601.44,37,33,59.6
1630,613.68,64,33.1,55.8
1645,595.68,31,33.1,55.4
1700,585.36,32,32.9,56.7
1715,583.68,4,32.4,58.9
1730,594,18,32.8,56.9
1745,586.08,5,32.3,57.7
1800,578.88,41,32.6,56.8
1815,575.52,17,32,59.8
1830,557.76,20,32.1,59.9
1845,556.8,13,31.9,61.3
1900,554.16,19,31.7,60.1
1915,562.8,23,31.9,57.6
1930,568.8,12,31.7,58.5
1945,561.36,11,31.6,57.3
2000,553.2,10,31.6,57.3
2015,541.2,22,31.4,57.2
2030,554.16,8,31.5,57.7
2045,539.28,13,31.3,58.7
2100,526.8,11,30.7,61.1
2115,529.92,15,30.9,59.1
2130,524.88,9,30.8,58.5
2145,510.72,17,31.1,56.6
2200,510,14,31,55.2
2215,507.36,25,30.9,55.5
2230,496.32,15,30.6,55.6
2245,490.8,38,30.6,55.2
2300,497.28,12,30.6,54.7
2315,485.52,3,30.3,56.5
2330,483.12,-999,-99.9,-99.9
2345,476.4,16,30.2,57.4
2400,476.16,18,30.2,57
45,479.52,31,29.9,59.9
100,462.96,17,30.1,56.8
115,441.36,19,30.1,57.1
130,440.4,21,29.9,57.5
145,436.56,33,29.7,58.4
200,439.92,12,29.4,60.9
215,444.48,16,28.7,63.5
230,437.28,24,28,68.5
245,435.6,8,26.9,74.8
300,436.32,10,25.2,88.3
315,445.2,11,25,88.4
330,445.68,6,24.4,92.6
345,433.92,6,24.1,96.5
400,431.52,6,24,95
415,438.96,7,24.4,91.9
430,446.88,19,24.3,91.7
445,445.92,11,24.2,91.3
500,457.92,31,24.9,88
515,463.2,34,25.4,83.9
530,474.48,6,25.2,85
545,480.48,4,24.9,87.8
600,475.92,8,23.8,93.7
615,480.96,33,24,93.8
630,486.72,6,23.7,95.9
645,496.8,8,23.8,95.4
700,494.16,17,23.9,95.1
715,512.88,3,23.6,96.3
730,507.84,2,23.9,95.7
745,499.44,14,24.3,92.1
800,507.84,25,24.3,92.1
815,515.52,40,24.5,90.3
830,509.04,15,24.9,87.6
845,519.84,4,25,87.3
900,543.36,18,25.1,87.2
915,529.92,27,25.6,83.2
930,529.44,24,25.4,85
945,534.72,12,25.2,88.2
1000,534.96,11,24.9,91
1015,541.44,1,25.5,86.1
1030,544.8,19,25.6,85.6
1045,566.16,6,24.9,91.4
1100,557.76,14,25.3,88.5
1115,547.2,5,25.3,89
1130,548.64,2,25.4,87.8
1145,546.24,14,25.2,89.7
1200,548.88,5,25.3,89.4
1215,541.2,21,25.6,86.8
1230,549.36,11,26.2,85.4
1245,544.56,7,27.6,78.1
1300,541.44,28,27.8,77.7
1315,544.32,26,28.5,74
1330,536.64,9,28.8,72.3
1345,542.88,19,28.6,73.9
1400,545.76,13,28.6,74.9
1415,546.96,10,28.3,74.6
1430,551.04,12,28.7,73.3
1445,540.48,8,28.6,73.9
1500,529.68,8,28.7,72.8
1515,534.48,6,28.8,74.5
1530,534,10,28.7,72.8
1545,542.64,26,28.5,75
1600,538.08,21,28.4,76
1615,544.08,24,28.2,76.9
1630,536.16,22,28.2,76.7
1645,525.36,10,27.8,78.1
1700,524.64,13,27.8,78.2
1715,525.84,9,27.4,81.2
1730,530.16,12,26.6,85.8
1745,522.72,11,26.5,87.5
1800,534.24,5,26,91.5
1815,537.36,11,25.6,94.6
1830,525.12,5,25.6,93.8
1845,520.32,4,25.7,93.3
1900,511.68,6,25.5,95.6
1915,508.32,0,25.4,96.6
1930,513.36,3,25.2,97.3
1945,516.96,11,25.2,97.5
2000,515.28,4,25.1,98.1
2015,506.16,0,24.8,99.7
2030,509.52,2,24.6,99.9
2045,491.28,6,24.5,99.9
2100,491.52,3,24.6,99.9
2115,487.68,8,24.4,99.9
2130,485.52,4,24.5,99.9
2145,493.68,7,24.4,99.9
2200,475.92,9,24.4,99.9
2215,476.64,7,24.3,99.9
2230,477.36,2,24.3,99.9
2245,464.16,6,24.5,99.9
2300,463.92,3,24.4,99.9
2315,458.16,6,24.3,99.9
2330,458.64,8,24.4,99.9
2345,461.04,9,24.3,99.9
2400,450.24,9,24.2,99.9
45,442.08,3,24.4,99.9
100,448.32,0,24.3,99.9
115,438.24,6,24.2,99.9
130,441.6,4,24.2,99.9
145,446.64,2,24.1,99.9
200,446.64,10,24,99.9
215,433.92,12,24.1,99.9
230,430.56,8,23.9,99.9
245,432.24,0,23.9,99.9
300,427.68,5,24,99.9
315,435.12,4,23.8,99.9
330,430.56,6,23.8,99.9
345,430.08,7,23.9,99.9
400,442.08,9,23.8,99.9
415,463.2,8,23.8,99.9
430,471.36,7,23.7,99.9
445,469.2,4,23.7,99.9
500,468.48,8,23.7,99.9
515,500.64,3,23.7,99.9
530,507.84,7,23.6,99.9
545,517.68,0,23.6,99.9
600,528.24,4,23.6,99.9
615,547.44,8,23.6,99.9
630,557.28,10,23.6,99.9
645,563.04,6,23.6,99.9
700,598.56,3,23.6,99.9
715,629.04,7,23.6,99.9
730,679.68,6,23.7,99.9
745,717.84,8,23.6,99.9
800,728.16,2,23.7,99.9
815,749.76,2,23.7,99.9
830,771.36,0,23.7,99.9
845,786.96,3,23.7,99.9
900,792.72,1,23.8,99.9
915,783.36,6,23.8,99.9
930,788.88,7,23.8,99.9
945,805.2,6,23.9,99.9
1000,816.96,3,24.3,99.9
1015,799.2,6,24.2,99.9
1030,807.12,3,24.3,99.9
1045,810.72,2,24.6,99.9
1100,836.16,3,24.8,99.9
1115,829.92,4,25,99.3
1130,806.88,7,24.9,99.9
1145,808.08,1,24.9,99.9
1200,796.08,6,24.8,99.8
1215,794.88,12,25,99.6
1230,800.16,5,25.3,99.9
1245,787.68,2,25.4,99.3
1300,801.12,0,25.9,95.8
1315,809.76,10,26.3,91.7
1330,828.96,3,26.7,91
1345,817.68,10,26.2,89.5
1400,800.4,16,26.5,88.1
1415,800.64,9,26.6,87.5
1430,816,6,27.2,84.5
1445,818.88,7,27.4,83.6
1500,809.04,10,27.5,84.8
1515,798.24,14,26.8,87.8
1530,796.32,9,26.4,90.2
1545,808.32,7,26.6,90.3
1600,815.52,11,27.1,87
1615,789.6,13,27,87.2
1630,780.72,2,27.4,87.7
1645,779.28,4,27.5,87.3
1700,771.6,0,27.7,86
1715,776.16,1,28.3,83.6
1730,756.96,1,28.5,83.4
1745,698.88,5,28.4,83.8
1800,655.44,1,28.7,80.7
1815,650.16,6,28.5,80.9
1830,637.2,0,28.6,84.7
1845,627.36,7,28.2,85.3
1900,616.32,2,28.6,82.9
1915,620.88,0,28.6,81.4
1930,606.96,11,28.9,81
1945,606.72,3,28.7,86
2000,600.96,8,28.3,84.1
2015,590.64,17,28.5,85.3
2030,584.88,10,27.5,93.9
2045,569.52,17,27.2,97.4
2100,588.24,4,26.9,97.5
2115,571.68,5,26.6,98.8
2130,547.2,5,26.3,99.7
2145,553.2,3,26.1,99.2
2200,562.08,3,26.3,98.2
2215,558.96,6,26.1,98.8
2230,550.08,3,26,99.3
2245,537.84,9,26.5,95.9
2300,515.52,15,26.5,94.8
2315,499.92,13,26.3,92.4
2330,492.24,17,26.2,91.3
2345,493.44,6,26.2,91.6
2400,492.72,7,25.4,95.2
45,448.8,8,25.3,96.4
100,448.08,0,25.7,94.2
115,448.08,0,25.3,95.7
130,457.92,9,25.1,96.9
145,447.12,2,25.2,98
200,451.68,3,25.2,98.3
215,443.52,7,25,99.3
230,445.44,3,25,99.3
245,444.72,0,24.9,99.8
300,445.92,3,24.6,98.9
315,456,0,24.7,98
330,440.88,4,24.4,98.1
345,441.36,5,24.5,96.7
400,456.96,7,24.7,94.9
415,461.28,1,24.2,95.7
430,462.24,6,24.4,95.8
445,478.56,6,24.5,95.6
500,481.92,4,23.9,97
515,509.52,2,23.8,98.1
530,519.36,1,23.9,98.4
545,522.24,7,23.8,99
600,532.8,3,23.7,99.2
615,541.68,1,23.6,99.6
630,555.84,5,23.8,99.8
645,572.64,5,23.9,99.9
700,589.92,3,23.9,99.8
715,625.68,2,23.9,99.8
730,651.6,2,24,99.5
745,697.2,0,23.9,99.6
800,743.28,2,23.9,99.6
815,781.92,3,23.9,99.4
830,802.08,3,23.9,99.8
845,817.92,4,23.9,99.6
900,809.76,0,24,99.5
915,827.76,3,24.3,98.9
930,847.92,4,24.5,98.1
945,864.48,3,24.8,96.5
1000,846.48,5,25.4,91.8
1015,832.32,1,25.7,90.1
1030,826.8,19,26.1,86
1045,822.24,7,26.1,85.8
1100,827.04,18,26.3,83.9
1115,816.72,34,26.5,83.7
1130,813.12,26,26.9,81.9
1145,817.44,13,26.6,83.3
1200,817.2,16,27.4,80.2
1215,824.64,21,27,81.4
1230,823.44,6,27.3,80
1245,813.36,6,27.6,78.2
1300,823.2,11,27.6,81.3
1315,845.04,13,27.5,81.7
1330,852.24,-999,-99.9,-99.9
1345,839.04,4,27,83.7
1400,816.72,20,27,84.7
1415,827.52,26,26.7,87.2
1430,849.12,34,26.5,89.1
1445,847.44,23,26.5,89.7
1500,827.04,18,26.7,90.3
1515,830.88,20,26.7,89.5
1530,834,12,27.8,85.5
1545,849.12,6,27.7,84.9
1600,828,12,27.8,85.5
1615,794.64,13,28.2,84
1630,792,22,28,81.3
1645,800.64,20,28.1,79.9
1700,813.36,12,28.2,81.1
1715,809.52,9,28.2,79.4
1730,771.6,7,28.9,77.8
1745,700.08,14,28.5,78.8
1800,661.68,12,28.6,79.9
1815,636.96,6,28.4,79.1
1830,631.2,10,28.7,77.9
1845,611.52,3,28.5,77.1
1900,610.8,12,29.1,76.7
1915,587.52,4,28.5,79.5
1930,588.96,3,28.3,82.6
1945,593.28,4,28.1,83.3
2000,581.52,15,27.9,84.6
2015,579.6,9,27.9,83.9
2030,586.56,3,27.7,86.1
2045,565.92,2,27.4,88.6
2100,556.08,9,27,88.7
2115,550.08,8,27.1,87.4
2130,558.48,5,26.9,87.7
2145,542.64,12,26.7,88.9
2200,540.48,3,26.8,88.4
2215,523.2,7,26.4,89.9
2230,523.44,3,26.1,92.3
2245,512.16,10,25.8,93.3
2300,506.88,5,25.8,92.5
2315,491.52,21,26.5,87.6
2330,495.36,10,26.3,89.2
2345,493.2,7,25.8,92.6
2400,483.36,14,26.6,87.3
45,459.36,12,25.7,91.9
100,450.96,3,25.4,94.1
115,446.88,6,25.2,94.4
130,457.68,6,25.6,92.1
145,448.32,9,25.6,91.3
200,439.92,3,26,89.1
215,445.44,3,25.8,90
230,446.16,15,25.8,90.3
245,449.76,11,25.6,91.7
300,442.8,4,25.5,92.9
315,447.12,3,25.3,93.9
330,443.52,6,25.1,94
345,441.12,4,25.3,93.7
400,444.72,4,25.4,92.3
415,457.68,1,25.4,91.8
430,459.12,7,25.3,92.2
445,464.4,6,25.2,91.9
500,491.28,0,25.3,91.7
515,504.24,14,25,93.5
530,519.6,12,25.3,91.2
545,521.28,23,25.4,89.8
600,528.96,12,25.4,89
615,533.76,18,25.4,88.2
630,548.16,14,25.3,87.9
645,580.08,21,25.3,88
700,587.28,17,25,90.1
715,602.16,2,24.7,91.9
730,650.16,2,24.8,90.1
745,682.08,4,24.3,91.6
800,721.92,7,24.2,93.2
815,763.92,1,24.4,92.4
830,784.8,6,24.6,90.8
845,809.04,5,24.6,90.8
900,831.84,10,24,94.7
915,830.4,13,23.7,96.4
930,822.24,0,23.8,94.6
945,813.6,4,23.5,96.9
1000,825.36,0,23.5,97.8
1015,825.6,0,23.7,99.1
1030,812.16,0,23.9,98.8
1045,808.56,3,24.4,96.9
1100,823.44,1,24.4,95.5
1115,815.76,2,24.5,94.5
1130,812.4,3,24.4,95.4
1145,811.68,9,24.6,92.9
1200,795.12,1,24.5,92
1215,795.6,7,24.6,91.8
1230,801.6,14,24.7,90.2
1245,800.88,7,24.6,90.9
1300,794.64,23,24.3,90.4
1315,788.4,12,24,91.3
1330,809.76,7,24,90.5
1345,809.76,3,24.3,91.3
1400,818.64,2,24.5,90.9
1415,810,0,24.4,91.4
1430,797.04,0,24.6,91.6
1445,811.92,3,24.5,91.9
1500,807.12,7,24.4,91.1
1515,810.24,6,24.8,89.1
1530,807.6,2,24.7,90.7
1545,805.2,5,24.9,87.5
1600,797.52,0,25,86.3
1615,804.72,1,25.1,86.8
1630,783.12,7,25.1,86
1645,766.08,7,25.4,84.7
1700,761.04,2,24.9,87.8
1715,734.64,5,25,88.6
1730,716.4,7,25.2,89
1745,673.92,15,25,89.7
1800,641.52,10,24.9,89.5
1815,613.2,11,24.9,89.1
1830,606.24,6,24.9,90.5
1845,589.92,10,24.7,91.4
1900,574.56,4,24.6,92.2
1915,564.48,2,24.5,92.9
1930,545.04,5,24.5,93.3
1945,540.48,6,24.4,94.1
2000,570.48,8,23.9,96
2015,559.44,4,23.8,97.7
2030,540.24,7,23.4,97.7
2045,531.12,15,23.4,98.2
2100,529.44,14,23.2,99.4
2115,504.96,16,23,99.9
2130,499.44,20,22.8,99
2145,492.96,8,22.7,99
2200,494.16,12,22.6,98.9
2215,483.84,18,22.6,98.6
2230,468.72,9,22.7,98.8
2245,475.92,8,22.6,99.5
2300,476.88,8,22.6,99.2
2315,460.56,0,22.5,99.7
2330,453.12,0,22.6,99.9
2345,449.04,8,22.5,99.9
2400,451.68,2,22.5,99.9
45,444.72,7,22.5,99.9
100,451.92,7,22.5,99.9
115,448.08,6,22.6,99.9
130,435.36,5,22.6,99.9
145,429.84,5,22.6,99.9
200,441.84,8,22.6,99.9
215,439.2,22,22,99.9
230,435.84,25,22.1,99.8
245,434.16,7,22.1,98.3
300,435.12,0,22.2,98.5
315,445.92,7,21.9,99.9
330,439.44,0,22.1,99.9
345,434.88,0,22,99.9
400,438,0,21.9,99.9
415,457.92,1,22.1,99.9
430,457.68,0,21.9,99.9
445,462.96,2,22,99.9
500,472.08,-999,-99.9,-99.9
515,502.56,7,21.9,99.9
530,525.6,5,21.9,99.9
545,514.8,1,21.9,99.9
600,523.2,4,21.9,99.9
615,531.12,5,21.7,99.9
630,540.96,9,21.8,99.9
645,554.4,1,21.8,99.9
700,589.44,0,21.8,99.9
715,605.52,5,21.6,99.9
730,634.8,10,21.6,99.9
745,659.52,7,21.7,99.9
800,700.8,0,21.7,99.9
815,720.48,6,21.5,99.9
830,728.16,7,21.5,99.9
845,758.64,1,21.6,99.9
900,784.08,0,21.6,99.9
915,783.12,0,21.5,99.9
930,782.88,1,21.6,99.9
945,780,2,21.7,99.9
1000,774,0,21.8,99.9
1015,782.4,0,21.7,99.9
1030,780.24,0,21.8,99.9
1045,769.44,0,22.2,99.9
1100,785.04,2,22.2,99.9
1115,798.24,2,22.5,99.9
1130,796.08,1,22.8,99.9
1145,798.48,3,22.9,99.9
1200,785.04,7,23.2,99.8
1215,780,1,23.1,99.9
1230,807.36,3,23.4,99.2
1245,796.08,4,23.9,95.6
1300,786.24,11,24,94
1315,773.76,5,24.4,91.6
1330,786.24,10,24.4,91.8
1345,790.32,5,24.1,93.1
1400,799.68,4,24.3,93
1415,795.12,5,24.5,92.5
1430,785.04,4,24.9,89.8
1445,790.8,10,25.2,87.3
1500,789.36,7,25.3,87.3
1515,786.24,11,25.7,85.4
1530,776.88,14,26.3,80.2
1545,779.76,0,25.8,79.4
1600,783.12,6,26.3,78.8
1615,783.6,5,26.5,75.9
1630,769.92,10,26.7,77.8
1645,752.16,5,26.7,75.8
1700,741.36,16,26.4,80.1
1715,745.92,4,26.4,82.1
1730,745.92,25,26.1,83.7
1745,699.84,20,26.2,82.5
1800,665.04,14,26.3,83.2
1815,621.6,21,26.3,82.3
1830,602.88,3,26.2,82.9
1845,607.44,9,26.2,83.7
1900,595.2,7,26.6,81
1915,563.28,16,27.2,76.6
1930,560.4,9,27.8,74.8
1945,554.88,5,27.3,78.4
2000,558,15,27.7,75.4
2015,556.08,4,27.4,77.2
2030,545.04,2,27.6,78
2045,535.2,5,27.7,78.1
2100,533.52,16,27.6,75.2
2115,518.4,5,26.9,81.1
2130,524.16,5,26.9,78.3
2145,520.08,6,26.8,79.2
2200,516,9,26.4,80.6
2215,495.84,5,25.6,88.3
2230,487.44,6,25.1,90.8
2245,482.88,4,24.9,92.2
2300,475.44,9,24.5,93
2315,478.8,14,24.1,93.9
2330,484.08,8,23.6,95
2345,470.16,1,23.8,95.2
2400,461.52,0,23.8,95.6
45,454.08,5,23.8,95.5
100,451.44,5,23.5,96.5
115,451.92,2,23.5,96.8
130,457.44,2,23.6,96.4
145,446.16,5,23.3,97
200,444.48,0,23.2,98.1
215,446.4,0,23.1,98.1
230,450.72,3,23.2,97.7
245,438.48,6,23.3,98
300,440.16,8,23.3,97.6
315,440.16,1,23.4,96.8
330,445.44,1,23.3,97.6
345,440.88,2,23.1,98
400,445.2,3,23.2,98.1
415,451.92,0,22.9,98.7
430,462.96,5,22.7,98.9
445,466.56,3,22.8,96.7
500,474,1,22.5,97.5
515,493.92,10,22.2,98.1
530,522.72,0,22.1,99
545,523.92,1,21.9,99.6
600,520.56,5,21.7,99.9
615,532.8,0,21.7,99.9
630,546.72,2,21.5,99.9
645,561.84,3,21.4,99.9
700,593.04,2,21.3,99.9
715,609.36,4,21.1,99.9
730,621.12,0,21,99.9
745,652.56,7,20.8,99.9
800,670.56,0,20.7,99.9
815,721.92,0,20.7,99.9
830,752.16,1,20.5,99.9
845,756.24,0,20.4,99.9
900,767.76,7,20.4,99.9
915,761.76,3,20.3,99.9
930,782.16,10,20.1,99.9
945,780.24,7,20.1,99.9
1000,795.36,3,19.9,99.9
1015,781.92,0,19.9,99.9
1030,779.76,5,20,99.9
1045,790.8,11,20.6,99.9
1100,792.24,5,21.3,97
1115,786,0,22.3,90
1130,794.16,3,22.8,85.3
1145,805.44,9,23.9,65.1
1200,795.84,0,24.1,65.9
1215,776.16,10,24.4,67.4
1230,773.04,9,24.7,66.1
1245,779.04,17,25.1,67.1
1300,785.28,14,25.7,61.9
1315,771.84,11,26,57.1
1330,774.24,19,26.1,57
1345,779.76,29,26.1,57.4
1400,787.44,7,26.5,56.4
1415,780.24,22,26.8,56.9
1430,767.04,18,26.9,55.8
1445,781.92,11,27,55.8
1500,781.44,18,27.8,55.1
1515,792,25,27.6,54.1
1530,788.88,8,28.1,55.5
1545,772.56,19,28.6,54.9
1600,773.52,22,28.8,53.6
1615,774.72,19,29,55.1
1630,774.96,20,29.1,54.5
1645,769.44,28,30.1,52.8
1700,740.16,9,28.9,55
1715,738.48,19,28.4,56.6
1730,717.36,19,28.8,54.6
1745,686.88,24,28.6,57.9
1800,652.32,17,28.8,57.1
1815,620.88,9,30,53.3
1830,585.6,12,29.3,53.8
1845,570,22,29,54.5
1900,562.32,0,29.5,54.8
1915,564.48,3,29.2,55.9
1930,558.24,12,30.1,53.7
1945,556.08,20,29.6,52.4
2000,543.36,21,30.5,50.8
2015,516.72,17,30.3,49.9
2030,508.08,18,30.2,51.5
2045,494.88,6,29.9,51.2
2100,504.24,12,29.4,52.8
2115,500.88,17,29.5,52.5
2130,491.28,14,29.5,52.5
2145,507.12,16,29.2,54
2200,487.44,13,29.1,54.3
2215,468.48,22,28.8,54.1
2230,467.52,9,28.3,56.4
2245,462.48,12,27.8,55
2300,443.28,13,27.1,56.2
2315,438.72,3,26.8,56.7
2330,439.68,7,26.6,56.3
2345,433.44,8,26.3,57.7
2400,433.44,21,26,56.5
45,432.72,12,25.9,56.9
100,430.56,12,25.1,60.9
115,428.16,13,25.4,58.3
130,425.76,6,25.2,59.2
145,429.6,6,25.1,59
200,426,17,24.9,58.6
215,421.92,4,24.5,62.4
230,421.92,31,24.6,59.9
245,429.84,14,23.9,63.7
300,424.32,18,23.2,67.6
315,415.2,7,24,62.8
330,415.68,3,23.5,65.6
345,422.16,7,23,66.6
400,425.76,7,23.2,66.6
415,428.88,14,23.4,64
430,445.2,8,23.2,64.9
445,446.88,0,21.9,70.9
500,462.24,9,21.5,71.8
515,477.6,5,21.6,73.2
530,486.48,8,22,70.8
545,492.96,6,22.4,69.2
600,502.32,10,22.4,68.6
615,498.48,7,22.4,69
630,512.4,3,22,72.1
645,527.28,9,20.9,74.7
700,525.84,1,21,75.5
715,525.84,0,21,74.7
730,533.76,2,20.5,77.7
745,535.44,0,20.3,78.1
800,561.12,3,20.1,78.8
815,589.68,5,20.3,78
830,619.44,9,21.1,73.5
845,636.24,14,21.2,73.3
900,635.76,3,21.5,71.4
915,642.96,3,21,75.6
930,650.16,0,20.7,75.9
945,649.68,5,20.1,77.1
1000,646.8,5,20,77.5
1015,634.08,3,20,77.8
1030,644.88,3,20.4,75.9
1045,657.12,3,20.2,78
1100,665.52,3,20.9,74.6
1115,666.24,2,21.3,72.4
1130,660,8,22.1,68.3
1145,661.68,10,22.2,72
1200,667.92,5,23.5,62.2
1215,643.92,8,24,58.7
1230,631.2,3,24.2,58.8
1245,612.24,14,24.8,55.5
1300,598.32,10,25.2,53.1
1315,583.44,24,25.9,50.8
1330,574.08,18,25,51.7
1345,551.52,6,26.2,49.4
1400,562.08,31,26.2,49.8
1415,572.64,38,26.6,48.5
1430,555.12,12,27.2,48.6
1445,560.16,26,27.5,49
1500,544.56,14,28,47.3
1515,537.36,11,27.8,48.5
1530,523.92,13,28,47.6
1545,531.84,26,28.6,47.6
1600,531.84,29,28.7,48
1615,545.28,33,29.5,47.1
1630,544.8,28,29.4,45.1
1645,534.72,17,29.7,44.3
1700,534,26,30.2,44
1715,535.92,18,30.2,43
1730,524.64,20,30.5,41.6
1745,533.52,25,30.7,41.3
1800,541.2,29,30.6,40.8
1815,510,9,30.5,41.7
1830,508.08,39,31.1,41.1
1845,512.64,11,30.6,42.7
1900,507.12,1,30.6,40.6
1915,506.16,8,30.7,38.7
1930,510.96,33,31.1,41
1945,518.64,11,31.2,40.9
2000,506.16,18,30.8,39.1
2015,491.04,21,30.6,39.6
2030,480.48,37,30.9,39.7
2045,478.8,23,29.8,41.5
2100,476.88,18,30.7,40.8
2115,477.12,24,30.2,41.6
2130,478.08,6,30.4,41.2
2145,467.04,10,30,41.4
2200,462.24,50,29,41.8
2215,461.04,23,28.5,42.4
2230,444.96,12,28.3,42.3
2245,445.68,32,28,42.9
2300,437.28,25,27.7,43.6
2315,446.64,11,27.4,45.6
2330,438.96,2,26.9,48.1
2345,430.32,5,26.7,48.6
2400,428.4,28,26.5,50.1
45,417.12,12,26.3,49.7
100,413.28,6,26.3,49.6
115,427.68,11,26.2,50.4
130,419.04,11,26,51
145,411.6,12,25.9,50.7
200,412.56,22,25.7,52.1
215,410.64,3,25.3,55.4
230,412.32,10,24.9,56.8
245,409.92,23,25.2,54.7
300,410.64,9,25.2,55.2
315,420.24,6,25.1,56.8
330,426.96,6,24.7,58
345,414.48,17,24.6,58.1
400,408.72,11,24.3,58.3
415,410.4,20,23.9,58.8
430,409.44,12,24,59.8
445,412.32,4,23.8,61
500,420,5,23.4,62
